iter,distribution,num queries,strategy,domain,leaf size,range size,num leafs,avg,min,max,tree time,update time,additional time,results separation,query execution,total time
0,normal,10,additional,1000000,100000,100000,8,75876,69762,100000,9.557e-06,3.661e-06,1.2383e-05,0.275376,0,0.275385
1,normal,10,additional,1000000,100000,100000,8,75876,69762,100000,7.061e-06,2.811e-06,9.469e-06,0.253749,0,0.253756
2,normal,10,additional,1000000,100000,100000,8,75876,69762,100000,9.919e-06,3.92e-06,1.3195e-05,0.258917,0,0.258927
3,normal,10,additional,1000000,100000,100000,8,75876,69762,100000,1.1921e-05,4.701e-06,1.2009e-05,0.281558,0,0.28157
4,normal,10,additional,1000000,100000,100000,8,75876,69762,100000,4.439e-06,2.006e-06,4.419e-06,0.276463,0,0.276468
0,normal,100,additional,1000000,100000,100000,15,64961,28305,96372,2.7999e-05,9.381e-06,1.4891e-05,0.533215,0,0.533243
1,normal,100,additional,1000000,100000,100000,15,64961,28305,96372,7.8386e-05,2.5926e-05,3.991e-05,0.511357,0,0.511435
2,normal,100,additional,1000000,100000,100000,15,64961,28305,96372,2.7341e-05,8.9e-06,1.4477e-05,0.499999,0,0.500026
3,normal,100,additional,1000000,100000,100000,15,64961,28305,96372,8.5971e-05,2.8386e-05,3.2304e-05,0.501778,0,0.501864
4,normal,100,additional,1000000,100000,100000,15,64961,28305,96372,7.5836e-05,2.456e-05,3.8263e-05,0.50615,0,0.506226
0,normal,1000,additional,1000000,100000,100000,15,66572,50760,95132,0.000215163,7.7477e-05,6.7013e-05,1.53443,0,1.53464
1,normal,1000,additional,1000000,100000,100000,15,66572,50760,95132,0.000211094,6.7772e-05,6.637e-05,1.51469,0,1.5149
2,normal,1000,additional,1000000,100000,100000,15,66572,50760,95132,0.000571668,0.000185191,0.000180099,1.53066,0,1.53124
3,normal,1000,additional,1000000,100000,100000,15,66572,50760,95132,0.000205478,6.5627e-05,6.8274e-05,1.52747,0,1.52768
4,normal,1000,additional,1000000,100000,100000,15,66572,50760,95132,0.000218654,6.6196e-05,6.6165e-05,1.52314,0,1.52335
0,normal,10000,additional,1000000,100000,100000,15,66664,50760,95132,0.00190589,0.000611387,0.000636123,12.7794,0,12.7813
1,normal,10000,additional,1000000,100000,100000,15,66664,50760,95132,0.00195169,0.000655757,0.000645555,12.8093,0,12.8113
2,normal,10000,additional,1000000,100000,100000,15,66664,50760,95132,0.00195689,0.00065641,0.000654847,12.841,0,12.843
3,normal,10000,additional,1000000,100000,100000,15,66664,50760,95132,0.00196083,0.000626546,0.000646019,12.8403,0,12.8422
4,normal,10000,additional,1000000,100000,100000,15,66664,50760,95132,0.0019194,0.00060801,0.00070846,12.8124,0,12.8143
0,normal,100000,additional,1000000,100000,100000,15,66665,50760,95132,0.0194366,0.0063269,0.00756855,142.818,0,142.838
1,normal,100000,additional,1000000,100000,100000,15,66665,50760,95132,0.0192327,0.00629086,0.00747198,142.628,0,142.647
2,normal,100000,additional,1000000,100000,100000,15,66665,50760,95132,0.0424796,0.0138504,0.00911025,142.615,0,142.658
3,normal,100000,additional,1000000,100000,100000,15,66665,50760,95132,0.0190676,0.00615049,0.00747883,142.735,0,142.754
4,normal,100000,additional,1000000,100000,100000,15,66665,50760,95132,0.0423161,0.0138045,0.00894462,142.473,0,142.515
