iter,distribution,num queries,strategy,domain,leaf size,range size,num leafs,avg,min,max,tree time,update time,additional time,results separation,query execution,total time
0,normal,10,lazy,1000000,100000,100000,8,75876,69762,100000,2.6048e-05,1.9328e-05,0,0.0192519,0.253296,0.272574
1,normal,10,lazy,1000000,100000,100000,8,75876,69762,100000,2.5985e-05,1.9111e-05,0,0.0188168,0.257922,0.276764
2,normal,10,lazy,1000000,100000,100000,8,75876,69762,100000,7.92e-06,5.856e-06,0,0.019091,0.227728,0.246827
3,normal,10,lazy,1000000,100000,100000,8,75876,69762,100000,2.6213e-05,1.949e-05,0,0.0187913,0.235306,0.254123
4,normal,10,lazy,1000000,100000,100000,8,75876,69762,100000,8.037e-06,5.817e-06,0,0.0192037,0.227275,0.246487
0,normal,100,lazy,1000000,100000,100000,15,64961,28305,96372,0.000119864,6.3632e-05,0,0.186709,0.373412,0.560241
1,normal,100,lazy,1000000,100000,100000,15,64961,28305,96372,4.213e-05,2.245e-05,0,0.185084,0.368043,0.553168
2,normal,100,lazy,1000000,100000,100000,15,64961,28305,96372,4.357e-05,2.2875e-05,0,0.187122,0.369019,0.556184
3,normal,100,lazy,1000000,100000,100000,15,64961,28305,96372,7.5573e-05,4.0085e-05,0,0.185966,0.377101,0.563143
4,normal,100,lazy,1000000,100000,100000,15,64961,28305,96372,0.000143949,8.1138e-05,0,0.183837,0.404101,0.588082
0,normal,1000,lazy,1000000,100000,100000,15,66572,50760,95132,0.000269183,0.00011323,0,1.82041,0.373547,2.19423
1,normal,1000,lazy,1000000,100000,100000,15,66572,50760,95132,0.000269955,0.000125711,0,1.79518,0.367671,2.16312
2,normal,1000,lazy,1000000,100000,100000,15,66572,50760,95132,0.000704169,0.00031073,0,1.79269,0.37633,2.16972
3,normal,1000,lazy,1000000,100000,100000,15,66572,50760,95132,0.000271212,0.000115337,0,1.79463,0.369197,2.1641
4,normal,1000,lazy,1000000,100000,100000,15,66572,50760,95132,0.000743445,0.000334327,0,1.79682,0.370629,2.16819
0,normal,10000,lazy,1000000,100000,100000,15,66664,50760,95132,0.00238409,0.00101422,0,17.8449,0.367369,18.2147
1,normal,10000,lazy,1000000,100000,100000,15,66664,50760,95132,0.00460066,0.00195038,0,17.8578,0.37509,18.2375
2,normal,10000,lazy,1000000,100000,100000,15,66664,50760,95132,0.00579967,0.0024595,0,17.8608,0.377423,18.2441
3,normal,10000,lazy,1000000,100000,100000,15,66664,50760,95132,0.00240858,0.00104328,0,17.8691,0.3701,18.2416
4,normal,10000,lazy,1000000,100000,100000,15,66664,50760,95132,0.00479972,0.00205794,0,17.9076,0.367852,18.2803
0,normal,100000,lazy,1000000,100000,100000,15,66665,50760,95132,0.0254499,0.0109328,0,178.833,0.369131,179.227
1,normal,100000,lazy,1000000,100000,100000,15,66665,50760,95132,0.0233323,0.0100611,0,178.654,0.368364,179.045
2,normal,100000,lazy,1000000,100000,100000,15,66665,50760,95132,0.0234382,0.0101812,0,178.803,0.368124,179.195
3,normal,100000,lazy,1000000,100000,100000,15,66665,50760,95132,0.0256797,0.0110858,0,178.855,0.378759,179.259
4,normal,100000,lazy,1000000,100000,100000,15,66665,50760,95132,0.0481586,0.0205045,0,178.798,0.370633,179.217
0,normal,10,eager,1000000,100000,100000,8,75876,69762,100000,2.4661e-05,1.7694e-05,0,0.0187161,0.247898,0.266638
1,normal,10,eager,1000000,100000,100000,8,75876,69762,100000,8.676e-06,5.741e-06,0,0.0186531,0.225188,0.243849
2,normal,10,eager,1000000,100000,100000,8,75876,69762,100000,8.908e-06,5.79e-06,0,0.0185492,0.223712,0.24227
3,normal,10,eager,1000000,100000,100000,8,75876,69762,100000,1.7986e-05,1.2418e-05,0,0.018472,0.2263,0.24479
4,normal,10,eager,1000000,100000,100000,8,75876,69762,100000,1.6405e-05,1.1788e-05,0,0.0187694,0.245123,0.263909
0,normal,100,eager,1000000,100000,100000,15,64961,28305,96372,4.2573e-05,2.2877e-05,0,0.181515,0.359881,0.541439
1,normal,100,eager,1000000,100000,100000,15,64961,28305,96372,0.000116206,6.2371e-05,0,0.181814,0.359725,0.541655
2,normal,100,eager,1000000,100000,100000,15,64961,28305,96372,4.354e-05,2.3723e-05,0,0.18194,0.359434,0.541418
3,normal,100,eager,1000000,100000,100000,15,64961,28305,96372,4.3443e-05,2.3706e-05,0,0.181156,0.357856,0.539056
4,normal,100,eager,1000000,100000,100000,15,64961,28305,96372,4.4431e-05,2.4683e-05,0,0.181395,0.359417,0.540856
0,normal,1000,eager,1000000,100000,100000,15,66572,50760,95132,0.000285149,0.000128034,0,1.79845,0.367119,2.16585
1,normal,1000,eager,1000000,100000,100000,15,66572,50760,95132,0.000271319,0.000124964,0,1.80257,0.367752,2.17059
2,normal,1000,eager,1000000,100000,100000,15,66572,50760,95132,0.00058735,0.000271825,0,1.80154,0.369079,2.17121
3,normal,1000,eager,1000000,100000,100000,15,66572,50760,95132,0.000732439,0.000337472,0,1.80137,0.368563,2.17067
4,normal,1000,eager,1000000,100000,100000,15,66572,50760,95132,0.000278918,0.000135777,0,1.79974,0.369028,2.16905
0,normal,10000,eager,1000000,100000,100000,15,66664,50760,95132,0.00484645,0.00225948,0,17.8924,0.370065,18.2673
1,normal,10000,eager,1000000,100000,100000,15,66664,50760,95132,0.00254603,0.00119911,0,17.9131,0.368299,18.284
2,normal,10000,eager,1000000,100000,100000,15,66664,50760,95132,0.00462039,0.00219554,0,17.9363,0.368334,18.3093
3,normal,10000,eager,1000000,100000,100000,15,66664,50760,95132,0.00467929,0.00218575,0,17.9249,0.368598,18.2982
4,normal,10000,eager,1000000,100000,100000,15,66664,50760,95132,0.00262524,0.00122101,0,17.9074,0.368545,18.2786
0,normal,100000,eager,1000000,100000,100000,15,66665,50760,95132,0.026258,0.0127421,0,179.142,0.368277,179.536
1,normal,100000,eager,1000000,100000,100000,15,66665,50760,95132,0.0263556,0.0127518,0,179.399,0.367722,179.793
2,normal,100000,eager,1000000,100000,100000,15,66665,50760,95132,0.0349254,0.0173717,0,178.83,0.367682,179.233
3,normal,100000,eager,1000000,100000,100000,15,66665,50760,95132,0.028501,0.0137714,0,179.342,0.368907,179.739
4,normal,100000,eager,1000000,100000,100000,15,66665,50760,95132,0.0522642,0.0251026,0,179.044,0.36885,179.466
0,normal,10,additional,1000000,100000,100000,8,75876,69762,100000,9.557e-06,3.661e-06,1.2383e-05,0.275376,0,0.275385
1,normal,10,additional,1000000,100000,100000,8,75876,69762,100000,7.061e-06,2.811e-06,9.469e-06,0.253749,0,0.253756
2,normal,10,additional,1000000,100000,100000,8,75876,69762,100000,9.919e-06,3.92e-06,1.3195e-05,0.258917,0,0.258927
3,normal,10,additional,1000000,100000,100000,8,75876,69762,100000,1.1921e-05,4.701e-06,1.2009e-05,0.281558,0,0.28157
4,normal,10,additional,1000000,100000,100000,8,75876,69762,100000,4.439e-06,2.006e-06,4.419e-06,0.276463,0,0.276468
0,normal,100,additional,1000000,100000,100000,15,64961,28305,96372,2.7999e-05,9.381e-06,1.4891e-05,0.533215,0,0.533243
1,normal,100,additional,1000000,100000,100000,15,64961,28305,96372,7.8386e-05,2.5926e-05,3.991e-05,0.511357,0,0.511435
2,normal,100,additional,1000000,100000,100000,15,64961,28305,96372,2.7341e-05,8.9e-06,1.4477e-05,0.499999,0,0.500026
3,normal,100,additional,1000000,100000,100000,15,64961,28305,96372,8.5971e-05,2.8386e-05,3.2304e-05,0.501778,0,0.501864
4,normal,100,additional,1000000,100000,100000,15,64961,28305,96372,7.5836e-05,2.456e-05,3.8263e-05,0.50615,0,0.506226
0,normal,1000,additional,1000000,100000,100000,15,66572,50760,95132,0.000215163,7.7477e-05,6.7013e-05,1.53443,0,1.53464
1,normal,1000,additional,1000000,100000,100000,15,66572,50760,95132,0.000211094,6.7772e-05,6.637e-05,1.51469,0,1.5149
2,normal,1000,additional,1000000,100000,100000,15,66572,50760,95132,0.000571668,0.000185191,0.000180099,1.53066,0,1.53124
3,normal,1000,additional,1000000,100000,100000,15,66572,50760,95132,0.000205478,6.5627e-05,6.8274e-05,1.52747,0,1.52768
4,normal,1000,additional,1000000,100000,100000,15,66572,50760,95132,0.000218654,6.6196e-05,6.6165e-05,1.52314,0,1.52335
0,normal,10000,additional,1000000,100000,100000,15,66664,50760,95132,0.00190589,0.000611387,0.000636123,12.7794,0,12.7813
1,normal,10000,additional,1000000,100000,100000,15,66664,50760,95132,0.00195169,0.000655757,0.000645555,12.8093,0,12.8113
2,normal,10000,additional,1000000,100000,100000,15,66664,50760,95132,0.00195689,0.00065641,0.000654847,12.841,0,12.843
3,normal,10000,additional,1000000,100000,100000,15,66664,50760,95132,0.00196083,0.000626546,0.000646019,12.8403,0,12.8422
4,normal,10000,additional,1000000,100000,100000,15,66664,50760,95132,0.0019194,0.00060801,0.00070846,12.8124,0,12.8143
0,normal,100000,additional,1000000,100000,100000,15,66665,50760,95132,0.0194366,0.0063269,0.00756855,142.818,0,142.838
1,normal,100000,additional,1000000,100000,100000,15,66665,50760,95132,0.0192327,0.00629086,0.00747198,142.628,0,142.647
2,normal,100000,additional,1000000,100000,100000,15,66665,50760,95132,0.0424796,0.0138504,0.00911025,142.615,0,142.658
3,normal,100000,additional,1000000,100000,100000,15,66665,50760,95132,0.0190676,0.00615049,0.00747883,142.735,0,142.754
4,normal,100000,additional,1000000,100000,100000,15,66665,50760,95132,0.0423161,0.0138045,0.00894462,142.473,0,142.515
