Experiment 1
iter,distribution,queries,strategy,domain,leaf size,range size,avg,min,max,tree time,update time,additional time,results separation,query execution,total time
0,normal,10,lazy,1000000,100000,100000,75876,69762,100000,3.0519e-05,2.2538e-05,0,0.257732,0.019413,0.277175
1,normal,10,lazy,1000000,100000,100000,75876,69762,100000,2.9133e-05,2.1201e-05,0,0.22992,0.0186178,0.248567
2,normal,10,lazy,1000000,100000,100000,75876,69762,100000,8.206e-06,5.878e-06,0,0.218868,0.0186751,0.237551
3,normal,10,lazy,1000000,100000,100000,75876,69762,100000,2.3211e-05,1.644e-05,0,0.245494,0.0189681,0.264485
4,normal,10,lazy,1000000,100000,100000,75876,69762,100000,7.892e-06,5.757e-06,0,0.219028,0.0185461,0.237582
0,normal,10,eager,1000000,100000,100000,75876,69762,100000,2.1556e-05,1.6027e-05,0,0.221769,0.0194003,0.24119
1,normal,10,eager,1000000,100000,100000,75876,69762,100000,8.284e-06,6.167e-06,0,0.220873,0.0196047,0.240486
2,normal,10,eager,1000000,100000,100000,75876,69762,100000,8.705e-06,6.077e-06,0,0.219547,0.0199022,0.239458
3,normal,10,eager,1000000,100000,100000,75876,69762,100000,2.4605e-05,1.7218e-05,0,0.22172,0.0197841,0.241529
4,normal,10,eager,1000000,100000,100000,75876,69762,100000,2.7517e-05,2.0269e-05,0,0.24677,0.0191613,0.265959





