iter,strategy,num queries,domain size,leaf size,range size,distribution,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,total time
0,additional,10,1000000,100000,100000,normal,75876,8,4,20,0,0,0,0,0,0,0,0,5.356e-06,2.475e-06,0,5.356e-06,7.831e-06
1,additional,10,1000000,100000,100000,normal,75876,8,4,20,0,0,0,0,0,0,0,0,4.645e-06,2.544e-06,0,4.645e-06,7.189e-06
2,additional,10,1000000,100000,100000,normal,75876,8,4,20,0,0,0,0,0,0,0,0,4.546e-06,2.461e-06,0,4.546e-06,7.007e-06
3,additional,10,1000000,100000,100000,normal,75876,8,4,20,0,0,0,0,0,0,0,0,4.4e-06,2.598e-06,0,4.4e-06,6.998e-06
4,additional,10,1000000,100000,100000,normal,75876,8,4,20,0,0,0,0,0,0,0,0,4.456e-06,2.554e-06,0,4.456e-06,7.01e-06
0,additional,100,1000000,100000,100000,normal,64961,15,6,259,0,0,0,0,0,0,0,0,2.1176e-05,2.1956e-05,0,2.1176e-05,4.3132e-05
1,additional,100,1000000,100000,100000,normal,64961,15,6,259,0,0,0,0,0,0,0,0,2.0964e-05,2.1758e-05,0,2.0964e-05,4.2722e-05
2,additional,100,1000000,100000,100000,normal,64961,15,6,259,0,0,0,0,0,0,0,0,2.0978e-05,2.2022e-05,0,2.0978e-05,4.3e-05
3,additional,100,1000000,100000,100000,normal,64961,15,6,259,0,0,0,0,0,0,0,0,2.3461e-05,2.2011e-05,0,2.3461e-05,4.5472e-05
4,additional,100,1000000,100000,100000,normal,64961,15,6,259,0,0,0,0,0,0,0,0,2.0724e-05,2.1974e-05,0,2.0724e-05,4.2698e-05
0,additional,1000,1000000,100000,100000,normal,62411,16,6,2587,0,0,0,0,0,0,0,0,0.000123016,0.000182396,0,0.000123016,0.000305412
1,additional,1000,1000000,100000,100000,normal,62411,16,6,2587,0,0,0,0,0,0,0,0,0.000122764,0.000183265,0,0.000122764,0.000306029
2,additional,1000,1000000,100000,100000,normal,62411,16,6,2587,0,0,0,0,0,0,0,0,0.000134283,0.000181924,0,0.000134283,0.000316207
3,additional,1000,1000000,100000,100000,normal,62411,16,6,2587,0,0,0,0,0,0,0,0,0.000131201,0.000201498,0,0.000131201,0.000332699
4,additional,1000,1000000,100000,100000,normal,62411,16,6,2587,0,0,0,0,0,0,0,0,0.000130838,0.000198919,0,0.000130838,0.000329757
