iter,strategy,num queries,domain size,leaf size,range size,distribution,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,total time
0,additional,1000000,1000000,100000,10000,normal,62664,16,5,1151451,0,0,0,0,0,0,0,0,0.0777798,0,0.0655507,0.143331
1,additional,1000000,1000000,100000,10000,normal,62664,16,5,1151451,0,0,0,0,0,0,0,0,0.0802213,0,0.063888,0.144109
2,additional,1000000,1000000,100000,10000,normal,62664,16,5,1151451,0,0,0,0,0,0,0,0,0.0770835,0,0.0617664,0.13885
3,additional,1000000,1000000,100000,10000,normal,62664,16,5,1151451,0,0,0,0,0,0,0,0,0.0789304,0,0.0627664,0.141697
4,additional,1000000,1000000,100000,10000,normal,62664,16,5,1151451,0,0,0,0,0,0,0,0,0.0773028,0,0.0616359,0.138939
0,additional,1000000,1000000,250000,10000,normal,199999,5,3,1040199,0,0,0,0,0,0,0,0,0.059402,0,0.0535843,0.112986
1,additional,1000000,1000000,250000,10000,normal,199999,5,3,1040199,0,0,0,0,0,0,0,0,0.0608775,0,0.052885,0.113763
2,additional,1000000,1000000,250000,10000,normal,199999,5,3,1040199,0,0,0,0,0,0,0,0,0.0623309,0,0.0530768,0.115408
3,additional,1000000,1000000,250000,10000,normal,199999,5,3,1040199,0,0,0,0,0,0,0,0,0.0594166,0,0.0530646,0.112481
4,additional,1000000,1000000,250000,10000,normal,199999,5,3,1040199,0,0,0,0,0,0,0,0,0.0621718,0,0.0536081,0.11578
0,additional,1000000,1000000,750000,10000,normal,499999,2,1,1010048,0,0,0,0,0,0,0,0,0.0512875,0,0.0507502,0.102038
1,additional,1000000,1000000,750000,10000,normal,499999,2,1,1010048,0,0,0,0,0,0,0,0,0.0516198,0,0.0503418,0.101962
2,additional,1000000,1000000,750000,10000,normal,499999,2,1,1010048,0,0,0,0,0,0,0,0,0.0516061,0,0.0518132,0.103419
3,additional,1000000,1000000,750000,10000,normal,499999,2,1,1010048,0,0,0,0,0,0,0,0,0.0530054,0,0.050672,0.103677
4,additional,1000000,1000000,750000,10000,normal,499999,2,1,1010048,0,0,0,0,0,0,0,0,0.0525344,0,0.0514757,0.10401
0,lazy,1000000,1000000,100000,10000,normal,62664,16,5,1151491,1151430,134,2,116,0.045296,0.000125,0.000008,0.001799,0.081358,0.0472269,0,0.128585
1,lazy,1000000,1000000,100000,10000,normal,62664,16,5,1151491,1151430,134,2,116,0.044840,0.000101,0.000008,0.001730,0.0810006,0.0466792,0,0.12768
2,lazy,1000000,1000000,100000,10000,normal,62664,16,5,1151491,1151430,134,2,116,0.044432,0.000162,0.000008,0.001757,0.0802746,0.0463586,0,0.126633
3,lazy,1000000,1000000,100000,10000,normal,62664,16,5,1151491,1151430,134,2,116,0.043651,0.000087,0.000008,0.001694,0.0786877,0.0454405,0,0.124128
4,lazy,1000000,1000000,100000,10000,normal,62664,16,5,1151491,1151430,134,2,116,0.043637,0.000095,0.000008,0.001707,0.0827171,0.0454474,0,0.128164
0,lazy,1000000,1000000,250000,10000,normal,199999,5,3,1040244,1040197,62,1,53,0.037556,0.000206,0.000006,0.004883,0.0602015,0.0426513,0,0.102853
1,lazy,1000000,1000000,250000,10000,normal,199999,5,3,1040244,1040197,62,1,53,0.036918,0.000239,0.000007,0.004854,0.0596393,0.0420186,0,0.101658
2,lazy,1000000,1000000,250000,10000,normal,199999,5,3,1040244,1040197,62,1,53,0.037293,0.000197,0.000006,0.004690,0.0599376,0.0421866,0,0.102124
3,lazy,1000000,1000000,250000,10000,normal,199999,5,3,1040244,1040197,62,1,53,0.037897,0.000273,0.000006,0.004881,0.0610486,0.0430575,0,0.104106
4,lazy,1000000,1000000,250000,10000,normal,199999,5,3,1040244,1040197,62,1,53,0.039762,0.000340,0.000006,0.004871,0.061958,0.0449795,0,0.106938
0,lazy,1000000,1000000,750000,10000,normal,499999,2,1,1010048,1010048,48,0,38,0.035126,0.001068,0.000000,0.011421,0.0503638,0.0476151,0,0.0979789
1,lazy,1000000,1000000,750000,10000,normal,499999,2,1,1010048,1010048,48,0,38,0.035442,0.000997,0.000000,0.011392,0.0503016,0.0478306,0,0.0981322
2,lazy,1000000,1000000,750000,10000,normal,499999,2,1,1010048,1010048,48,0,38,0.035207,0.001017,0.000000,0.011392,0.0510747,0.0476151,0,0.0986899
3,lazy,1000000,1000000,750000,10000,normal,499999,2,1,1010048,1010048,48,0,38,0.039274,0.001313,0.000000,0.011979,0.0522651,0.0525668,0,0.104832
4,lazy,1000000,1000000,750000,10000,normal,499999,2,1,1010048,1010048,48,0,38,0.035493,0.001098,0.000000,0.011794,0.0508109,0.0483849,0,0.0991958
0,eager,1000000,1000000,100000,10000,normal,62664,16,5,1151436,1151430,134,2,116,0.053535,0.003330,0.000009,0.004991,0.0793683,0.0618643,0,0.141233
1,eager,1000000,1000000,100000,10000,normal,62664,16,5,1151436,1151430,134,2,116,0.053771,0.003346,0.000009,0.004921,0.0802955,0.0620468,0,0.142342
2,eager,1000000,1000000,100000,10000,normal,62664,16,5,1151436,1151430,134,2,116,0.053689,0.003585,0.000009,0.005061,0.0799095,0.0623441,0,0.142254
3,eager,1000000,1000000,100000,10000,normal,62664,16,5,1151436,1151430,134,2,116,0.053126,0.003317,0.000009,0.004959,0.0793866,0.0614103,0,0.140797
4,eager,1000000,1000000,100000,10000,normal,62664,16,5,1151436,1151430,134,2,116,0.053941,0.003317,0.000009,0.005017,0.0802568,0.0622844,0,0.142541
0,eager,1000000,1000000,250000,10000,normal,199999,5,3,1040199,1040197,62,1,53,0.050596,0.005992,0.000016,0.012671,0.0600737,0.069275,0,0.129349
