iter,strategy,num queries,domain size,leaf size,range size,distribution,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,total time
0,additional,1000000,1000000,100000,10000,normal,76923,13,9,9863432,0,0,0,0,0,0,0,0,1.21774,0,0.240397,1.45813
1,additional,1000000,1000000,100000,10000,normal,76923,13,9,9863432,0,0,0,0,0,0,0,0,1.22387,0,0.242396,1.46626
2,additional,1000000,1000000,100000,10000,normal,76923,13,9,9863432,0,0,0,0,0,0,0,0,1.21246,0,0.243029,1.45549
3,additional,1000000,1000000,100000,10000,normal,76923,13,9,9863432,0,0,0,0,0,0,0,0,1.21988,0,0.244822,1.4647
4,additional,1000000,1000000,100000,10000,normal,76923,13,9,9863432,0,0,0,0,0,0,0,0,1.21621,0,0.240797,1.45701
0,additional,1000000,1000000,250000,10000,normal,199999,5,3,4893730,0,0,0,0,0,0,0,0,0.469429,0,0.115655,0.585084
1,additional,1000000,1000000,250000,10000,normal,199999,5,3,4893730,0,0,0,0,0,0,0,0,0.47318,0,0.113944,0.587124
2,additional,1000000,1000000,250000,10000,normal,199999,5,3,4893730,0,0,0,0,0,0,0,0,0.469858,0,0.113982,0.58384
3,additional,1000000,1000000,250000,10000,normal,199999,5,3,4893730,0,0,0,0,0,0,0,0,0.468899,0,0.158018,0.626918
4,additional,1000000,1000000,250000,10000,normal,199999,5,3,4893730,0,0,0,0,0,0,0,0,0.469745,0,0.114588,0.584333
0,additional,1000000,1000000,750000,10000,normal,499999,2,1,2000000,0,0,0,0,0,0,0,0,0.0909591,0,0.0641955,0.155155
1,additional,1000000,1000000,750000,10000,normal,499999,2,1,2000000,0,0,0,0,0,0,0,0,0.0910857,0,0.0652562,0.156342
2,additional,1000000,1000000,750000,10000,normal,499999,2,1,2000000,0,0,0,0,0,0,0,0,0.0903544,0,0.0645165,0.154871
3,additional,1000000,1000000,750000,10000,normal,499999,2,1,2000000,0,0,0,0,0,0,0,0,0.0900325,0,0.0646757,0.154708
4,additional,1000000,1000000,750000,10000,normal,499999,2,1,2000000,0,0,0,0,0,0,0,0,0.0902023,0,0.0643989,0.154601
0,lazy,1000000,1000000,100000,10000,normal,76923,13,9,9863470,9863426,34,11,22,0.361042,0.000313,0.000010,0.004254,1.25196,0.36562,0,1.61758
1,lazy,1000000,1000000,100000,10000,normal,76923,13,9,9863470,9863426,34,11,22,0.360438,0.000318,0.000010,0.004267,1.2636,0.365034,0,1.62863
2,lazy,1000000,1000000,100000,10000,normal,76923,13,9,9863470,9863426,34,11,22,0.361209,0.000317,0.000012,0.004299,1.27259,0.365838,0,1.63842
3,lazy,1000000,1000000,100000,10000,normal,76923,13,9,9863470,9863426,34,11,22,0.361248,0.000294,0.000011,0.004253,1.26719,0.365805,0,1.63299
4,lazy,1000000,1000000,100000,10000,normal,76923,13,9,9863470,9863426,34,11,22,0.361700,0.000316,0.000010,0.004443,1.25142,0.366469,0,1.61789
0,lazy,1000000,1000000,250000,10000,normal,199999,5,3,4893732,4893726,28,4,24,0.174855,0.001145,0.000003,0.018334,0.476892,0.194337,0,0.671229
1,lazy,1000000,1000000,250000,10000,normal,199999,5,3,4893732,4893726,28,4,24,0.176599,0.001178,0.000006,0.018578,0.485354,0.196361,0,0.681714
2,lazy,1000000,1000000,250000,10000,normal,199999,5,3,4893732,4893726,28,4,24,0.175706,0.001151,0.000003,0.018595,0.474101,0.195455,0,0.669557
3,lazy,1000000,1000000,250000,10000,normal,199999,5,3,4893732,4893726,28,4,24,0.174188,0.001125,0.000006,0.018566,0.479657,0.193885,0,0.673542
4,lazy,1000000,1000000,250000,10000,normal,199999,5,3,4893732,4893726,28,4,24,0.174514,0.001150,0.000003,0.018561,0.47485,0.194228,0,0.669078
0,lazy,1000000,1000000,750000,10000,normal,499999,2,1,2000000,1999998,26,1,25,0.075466,0.001175,0.000001,0.020756,0.090172,0.0973986,0,0.187571
1,lazy,1000000,1000000,750000,10000,normal,499999,2,1,2000000,1999998,26,1,25,0.075487,0.001247,0.000001,0.020849,0.0901467,0.0975843,0,0.187731
2,lazy,1000000,1000000,750000,10000,normal,499999,2,1,2000000,1999998,26,1,25,0.075647,0.001148,0.000001,0.020909,0.0906545,0.0977054,0,0.18836
3,lazy,1000000,1000000,750000,10000,normal,499999,2,1,2000000,1999998,26,1,25,0.076699,0.001214,0.000001,0.021036,0.0914304,0.0989501,0,0.190381
4,lazy,1000000,1000000,750000,10000,normal,499999,2,1,2000000,1999998,26,1,25,0.075723,0.001179,0.000001,0.020768,0.0902066,0.0976723,0,0.187879
0,eager,1000000,1000000,100000,10000,normal,76923,13,9,9863448,9863426,34,11,22,0.463190,0.006222,0.000013,0.012664,1.23754,0.482088,0,1.71963
1,eager,1000000,1000000,100000,10000,normal,76923,13,9,9863448,9863426,34,11,22,0.464138,0.006288,0.000013,0.012701,1.21909,0.483139,0,1.70223
2,eager,1000000,1000000,100000,10000,normal,76923,13,9,9863448,9863426,34,11,22,0.463651,0.006348,0.000012,0.012681,1.22899,0.482692,0,1.71168
3,eager,1000000,1000000,100000,10000,normal,76923,13,9,9863448,9863426,34,11,22,0.464432,0.006244,0.000012,0.012601,1.22772,0.483289,0,1.71101
4,eager,1000000,1000000,100000,10000,normal,76923,13,9,9863448,9863426,34,11,22,0.463707,0.006243,0.000012,0.012639,1.22705,0.482602,0,1.70965
0,eager,1000000,1000000,250000,10000,normal,199999,5,3,4893732,4893726,28,4,24,0.243527,0.030158,0.000003,0.056459,0.489441,0.330146,0,0.819588
1,eager,1000000,1000000,250000,10000,normal,199999,5,3,4893732,4893726,28,4,24,0.243934,0.029821,0.000003,0.056669,0.49263,0.330427,0,0.823057
2,eager,1000000,1000000,250000,10000,normal,199999,5,3,4893732,4893726,28,4,24,0.244456,0.029843,0.000003,0.056064,0.500566,0.330367,0,0.830933
3,eager,1000000,1000000,250000,10000,normal,199999,5,3,4893732,4893726,28,4,24,0.244202,0.029898,0.000002,0.057226,0.489069,0.331328,0,0.820397
4,eager,1000000,1000000,250000,10000,normal,199999,5,3,4893732,4893726,28,4,24,0.245012,0.030674,0.000003,0.057010,0.495489,0.332698,0,0.828187
0,eager,1000000,1000000,750000,10000,normal,499999,2,1,2000000,1999998,26,1,25,0.111819,0.023141,0.000001,0.060447,0.0920307,0.195408,0,0.287439
1,eager,1000000,1000000,750000,10000,normal,499999,2,1,2000000,1999998,26,1,25,0.110844,0.023248,0.000001,0.060358,0.091166,0.19445,0,0.285616
2,eager,1000000,1000000,750000,10000,normal,499999,2,1,2000000,1999998,26,1,25,0.111781,0.023169,0.000001,0.060626,0.0920225,0.195578,0,0.2876
3,eager,1000000,1000000,750000,10000,normal,499999,2,1,2000000,1999998,26,1,25,0.111328,0.023446,0.000001,0.061101,0.091722,0.195876,0,0.287598
4,eager,1000000,1000000,750000,10000,normal,499999,2,1,2000000,1999998,26,1,25,0.110539,0.023256,0.000001,0.060463,0.0908643,0.194259,0,0.285123
