iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time, mapping + tree building time,post filtering time,db execution time,total time
0,additional,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,0,0,0,0,0,0,0,0,2.747E-06,0,4.386E-06,7.133E-06,0.0196143,0.217856,0.237477433
1,additional,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,0,0,0,0,0,0,0,0,2.554E-06,0,3.514E-06,6.068E-06,0.0195773,0.217261,0.236844368
2,additional,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,0,0,0,0,0,0,0,0,2.521E-06,0,3.493E-06,6.014E-06,0.019573,0.21835,0.237929014
3,additional,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,0,0,0,0,0,0,0,0,2.568E-06,0,3.688E-06,6.256E-06,0.019467,0.21815,0.237623256
4,additional,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,0,0,0,0,0,0,0,0,2.534E-06,0,3.523E-06,6.057E-06,0.0196001,0.218459,0.238065157
0,additional,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,0,0,0,0,0,0,0,0,2.2274E-05,0,2.0644E-05,4.2918E-05,0.0198475,0.218992,0.238882418
1,additional,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,0,0,0,0,0,0,0,0,2.1998E-05,0,2.0246E-05,4.2244E-05,0.0193594,0.218197,0.237598644
2,additional,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,0,0,0,0,0,0,0,0,2.1958E-05,0,2.0888E-05,4.2846E-05,0.0192789,0.218257,0.237578746
3,additional,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,0,0,0,0,0,0,0,0,2.1885E-05,0,2.0577E-05,4.2462E-05,0.0194323,0.219538,0.239012762
4,additional,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,0,0,0,0,0,0,0,0,2.2076E-05,0,2.1195E-05,4.3271E-05,0.0194319,0.218823,0.238298171
0,additional,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,0,0,0,0,0,0,0,0,0.000163614,0,0.000117498,0.000281112,0.0195098,0.221201,0.240991912
1,additional,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,0,0,0,0,0,0,0,0,0.000164363,0,0.000117228,0.000281591,0.0197256,0.224981,0.244988191
2,additional,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,0,0,0,0,0,0,0,0,0.000164672,0,0.000117468,0.00028214,0.0197795,0.221295,0.24135664
3,additional,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,0,0,0,0,0,0,0,0,0.000163181,0,0.000115935,0.000279116,0.0195212,0.221241,0.241041316
4,additional,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,0,0,0,0,0,0,0,0,0.000179531,0,0.000126819,0.00030635,0.01997,0.220216,0.24049235
0,additional,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26180,0,0,0,0,0,0,0,0,0.00173198,0,0.00103148,0.00276346,0.190721,0.382698,0.57618246
1,additional,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26180,0,0,0,0,0,0,0,0,0.0018616,0,0.0010146,0.00287621,0.190554,0.347167,0.54059721
2,additional,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26180,0,0,0,0,0,0,0,0,0.0018643,0,0.00102363,0.00288793,0.189985,0.347513,0.54038593
3,additional,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26180,0,0,0,0,0,0,0,0,0.00189759,0,0.00103812,0.0029357,0.191427,0.347952,0.5423147
4,additional,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26180,0,0,0,0,0,0,0,0,0.00186579,0,0.00102133,0.00288712,0.191267,0.348034,0.54218812
0,additional,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,0,0,0,0,0,0,0,0,0.015885,0,0.00979985,0.0256849,0.189317,0.348907,0.5639089
1,additional,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,0,0,0,0,0,0,0,0,0.0158718,0,0.00977867,0.0256505,0.188513,0.349049,0.5632125
2,additional,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,0,0,0,0,0,0,0,0,0.0158508,0,0.00971338,0.0255642,0.189812,0.383916,0.5992922
3,additional,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,0,0,0,0,0,0,0,0,0.0161902,0,0.0097216,0.0259118,0.18831,0.383402,0.5976238
4,additional,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,0,0,0,0,0,0,0,0,0.0157142,0,0.00990409,0.0256183,0.189548,0.350409,0.5655753
0,additional,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,16,5,2610520,0,0,0,0,0,0,0,0,0.156609,0,0.0947846,0.251393,0.192115,0.354321,0.797829
1,additional,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,16,5,2610520,0,0,0,0,0,0,0,0,0.156072,0,0.093843,0.249915,0.189223,0.350937,0.790075
2,additional,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,16,5,2610520,0,0,0,0,0,0,0,0,0.158673,0,0.0954341,0.254107,0.189143,0.350758,0.794008
3,additional,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,16,5,2610520,0,0,0,0,0,0,0,0,0.158541,0,0.0941531,0.252694,0.190006,0.350575,0.793275
4,additional,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,16,5,2610520,0,0,0,0,0,0,0,0,0.157761,0,0.0947548,0.252515,0.189834,0.352608,0.794957
0,additional,normal,10000000,1000000,100000,100000,100000,100000,100000,62499,16,5,26103747,0,0,0,0,0,0,0,0,1.55257,0,0.964584,2.51715,1.90008,0.357069,4.774299
1,additional,normal,10000000,1000000,100000,100000,100000,100000,100000,62499,16,5,26103747,0,0,0,0,0,0,0,0,1.54368,0,0.968657,2.51234,1.90002,0.356006,4.768366
2,additional,normal,10000000,1000000,100000,100000,100000,100000,100000,62499,16,5,26103747,0,0,0,0,0,0,0,0,1.54501,0,0.96372,2.50873,1.89997,0.356703,4.765403
3,additional,normal,10000000,1000000,100000,100000,100000,100000,100000,62499,16,5,26103747,0,0,0,0,0,0,0,0,1.58134,0,0.965921,2.54727,1.89497,0.355951,4.798191
4,additional,normal,10000000,1000000,100000,100000,100000,100000,100000,62499,16,5,26103747,0,0,0,0,0,0,0,0,1.56849,0,0.97427,2.54276,1.89671,0.379562,4.819032
0,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,24,11,8,5,0,0.000002,0.000001,0.000003,0.000000,2.94E-06,6.422E-06,0,9.362E-06,1.88043,0.392174,2.272613362
1,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,24,11,8,5,0,0.000001,0.000001,0.000003,0.000000,2.5E-06,5.798E-06,0,8.298E-06,1.87228,0.355598,2.227886298
2,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,24,11,8,5,0,0.000001,0.000001,0.000003,0.000000,2.564E-06,5.962E-06,0,8.526E-06,1.87148,0.354858,2.226346526
3,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,24,11,8,5,0,0.000002,0.000001,0.000003,0.000000,2.705E-06,6.129E-06,0,8.834E-06,1.88182,0.356178,2.238006834
4,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,24,11,8,5,0,0.000003,0.000001,0.000003,0.000000,2.696E-06,7.823E-06,0,1.0519E-05,1.87884,0.359818,2.238668519
0,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,278,234,23,12,8,0.000013,0.000006,0.000009,0.000004,2.294E-05,3.2371E-05,0,5.5311E-05,1.8954,0.359344,2.254799311
1,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,278,234,23,12,8,0.000012,0.000006,0.000009,0.000004,2.2959E-05,3.0654E-05,0,5.3613E-05,1.88328,0.359339,2.242672613
2,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,278,234,23,12,8,0.000014,0.000006,0.000009,0.000004,2.3338E-05,3.3698E-05,0,5.7036E-05,1.89665,0.397365,2.294072036
3,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,278,234,23,12,8,0.000012,0.000006,0.000009,0.000004,2.3312E-05,3.1841E-05,0,5.5153E-05,1.88134,0.393453,2.274848153
4,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,278,234,23,12,8,0.000037,0.000019,0.000009,0.000004,2.2761E-05,6.9348E-05,0,9.2109E-05,1.88173,0.358757,2.240579109
0,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2631,2587,29,12,14,0.000109,0.000005,0.000008,0.000008,0.000166376,0.00012989,0,0.000296266,18.8862,0.384293,19.270789266
1,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2631,2587,29,12,14,0.000121,0.000005,0.000008,0.000008,0.000179545,0.000141457,0,0.000321002,18.9259,0.354129,19.280350002
2,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2631,2587,29,12,14,0.000113,0.000005,0.000008,0.000008,0.000162925,0.000133683,0,0.000296608,18.8185,0.355094,19.173890608
3,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2631,2587,29,12,14,0.000108,0.000005,0.000008,0.000008,0.000164494,0.000128991,0,0.000293485,18.8557,0.3835,19.239493485
4,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2631,2587,29,12,14,0.000109,0.000005,0.000008,0.000008,0.000164693,0.000130013,0,0.000294706,18.8471,0.38396,19.231354706
0,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26200,26156,31,12,16,0.001038,0.000005,0.000008,0.000015,0.00166913,0.0010664,0,0.00273553,18.6654,0.369141,19.03727653
1,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26200,26156,31,12,16,0.000962,0.000005,0.000008,0.000016,0.00170056,0.000991488,0,0.00269205,18.6799,0.382299,19.06489105
2,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26200,26156,31,12,16,0.000980,0.000005,0.000008,0.000016,0.00164914,0.00100861,0,0.00265775,18.6691,0.356559,19.02831675
3,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26200,26156,31,12,16,0.000978,0.000005,0.000008,0.000016,0.00157715,0.00100743,0,0.00258458,18.6492,0.354406,19.00619058
4,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26200,26156,31,12,16,0.000995,0.000005,0.000008,0.000016,0.0016744,0.00102437,0,0.00269877,18.6684,0.355113,19.02621177
0,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261147,261103,35,12,20,0.010171,0.000012,0.000008,0.000195,0.0172658,0.0103865,0,0.0276522,18.7247,0.358264,19.1106162
1,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261147,261103,35,12,20,0.010124,0.000012,0.000008,0.000191,0.0166314,0.0103348,0,0.0269662,18.749,0.358689,19.1346552
2,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261147,261103,35,12,20,0.010125,0.000012,0.000008,0.000189,0.0158933,0.0103348,0,0.0262281,18.832,0.358009,19.2162371
3,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261147,261103,35,12,20,0.010139,0.000015,0.000008,0.000193,0.0166999,0.0103551,0,0.027055,18.6849,0.384105,19.09606
4,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261147,261103,35,12,20,0.010145,0.000014,0.000008,0.000191,0.0167643,0.0103585,0,0.0271228,19.0964,0.389174,19.5126968
0,lazy,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,16,5,2610540,2610496,38,12,23,0.099442,0.000059,0.000008,0.001055,0.166342,0.100564,0,0.266907,188.195,0.353754,188.815661
