iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,total time
0,additional,normal,100000,1000000,max_range,10,1,2,10,3,79001,30,107286,0,0,0,0,0,0,0,0,0.0432842,0,0.0612791,0.104563
1,additional,normal,100000,1000000,max_range,10,1,2,10,3,79001,30,107286,0,0,0,0,0,0,0,0,0.0447443,0,0.0610467,0.105791
2,additional,normal,100000,1000000,max_range,10,1,2,10,3,79001,30,107286,0,0,0,0,0,0,0,0,0.0434122,0,0.0598018,0.103214
3,additional,normal,100000,1000000,max_range,10,1,2,10,3,79001,30,107286,0,0,0,0,0,0,0,0,0.0442078,0,0.0600371,0.104245
4,additional,normal,100000,1000000,max_range,10,1,2,10,3,79001,30,107286,0,0,0,0,0,0,0,0,0.0458723,0,0.0639736,0.109846
0,additional,normal,100000,1000000,max_range,100,1,20,100,36,24121,28,128693,0,0,0,0,0,0,0,0,0.0405109,0,0.0374855,0.0779964
1,additional,normal,100000,1000000,max_range,100,1,20,100,36,24121,28,128693,0,0,0,0,0,0,0,0,0.0409471,0,0.0344169,0.0753639
2,additional,normal,100000,1000000,max_range,100,1,20,100,36,24121,28,128693,0,0,0,0,0,0,0,0,0.0406645,0,0.0331854,0.07385
3,additional,normal,100000,1000000,max_range,100,1,20,100,36,24121,28,128693,0,0,0,0,0,0,0,0,0.0413693,0,0.0338692,0.0752386
4,additional,normal,100000,1000000,max_range,100,1,20,100,36,24121,28,128693,0,0,0,0,0,0,0,0,0.0409303,0,0.0336019,0.0745322
0,additional,normal,100000,1000000,max_range,1000,1,201,1000,552,1810,22,135327,0,0,0,0,0,0,0,0,0.0212277,0,0.0164181,0.0376458
1,additional,normal,100000,1000000,max_range,1000,1,201,1000,552,1810,22,135327,0,0,0,0,0,0,0,0,0.0215008,0,0.0161028,0.0376036
2,additional,normal,100000,1000000,max_range,1000,1,201,1000,552,1810,22,135327,0,0,0,0,0,0,0,0,0.0214107,0,0.0165686,0.0379793
3,additional,normal,100000,1000000,max_range,1000,1,201,1000,552,1810,22,135327,0,0,0,0,0,0,0,0,0.0213447,0,0.0160512,0.0373959
