iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,total time
0,additional,normal,100000,1000000,max_range,1000000,10000,55058,99999,66666,15,6,181095,0,0,0,0,0,0,0,0,0.011292,0,0.00776089,0.0190529
1,additional,normal,100000,1000000,max_range,1000000,10000,55058,99999,66666,15,6,181095,0,0,0,0,0,0,0,0,0.011365,0,0.00762535,0.0189903
2,additional,normal,100000,1000000,max_range,1000000,10000,55058,99999,66666,15,6,181095,0,0,0,0,0,0,0,0,0.0113805,0,0.00772891,0.0191094
3,additional,normal,100000,1000000,max_range,1000000,10000,55058,99999,66666,15,6,181095,0,0,0,0,0,0,0,0,0.0114217,0,0.00751782,0.0189395
4,additional,normal,100000,1000000,max_range,1000000,10000,55058,99999,66666,15,6,181095,0,0,0,0,0,0,0,0,0.0113024,0,0.00755477,0.0188571
0,additional,normal,100000,1000000,500000,1000000,10000,55058,99999,333333,3,2,111742,0,0,0,0,0,0,0,0,0.00590868,0,0.00514528,0.011054
1,additional,normal,100000,1000000,500000,1000000,10000,55058,99999,333333,3,2,111742,0,0,0,0,0,0,0,0,0.00594661,0,0.00522201,0.0111686
2,additional,normal,100000,1000000,500000,1000000,10000,55058,99999,333333,3,2,111742,0,0,0,0,0,0,0,0,0.00599079,0,0.00522156,0.0112124
3,additional,normal,100000,1000000,500000,1000000,10000,55058,99999,333333,3,2,111742,0,0,0,0,0,0,0,0,0.00597005,0,0.00522768,0.0111977
4,additional,normal,100000,1000000,500000,1000000,10000,55058,99999,333333,3,2,111742,0,0,0,0,0,0,0,0,0.00596864,0,0.00517148,0.0111401
0,additional,normal,100000,1000000,250000,1000000,10000,55058,99999,166666,6,3,128370,0,0,0,0,0,0,0,0,0.00737489,0,0.0060329,0.0134078
1,additional,normal,100000,1000000,250000,1000000,10000,55058,99999,166666,6,3,128370,0,0,0,0,0,0,0,0,0.00777106,0,0.00606488,0.0138359
2,additional,normal,100000,1000000,250000,1000000,10000,55058,99999,166666,6,3,128370,0,0,0,0,0,0,0,0,0.00736633,0,0.00601335,0.0133797
3,additional,normal,100000,1000000,250000,1000000,10000,55058,99999,166666,6,3,128370,0,0,0,0,0,0,0,0,0.00746463,0,0.00601765,0.0134823
4,additional,normal,100000,1000000,250000,1000000,10000,55058,99999,166666,6,3,128370,0,0,0,0,0,0,0,0,0.0074966,0,0.0060502,0.0135468
0,additional,normal,100000,1000000,100000,1000000,10000,55058,99999,66666,15,6,181095,0,0,0,0,0,0,0,0,0.0115731,0,0.00764113,0.0192143
1,additional,normal,100000,1000000,100000,1000000,10000,55058,99999,66666,15,6,181095,0,0,0,0,0,0,0,0,0.0114453,0,0.00767335,0.0191187
2,additional,normal,100000,1000000,100000,1000000,10000,55058,99999,66666,15,6,181095,0,0,0,0,0,0,0,0,0.0113385,0,0.00761739,0.0189559
3,additional,normal,100000,1000000,100000,1000000,10000,55058,99999,66666,15,6,181095,0,0,0,0,0,0,0,0,0.0114698,0,0.00765539,0.0191251
4,additional,normal,100000,1000000,100000,1000000,10000,55058,99999,66666,15,6,181095,0,0,0,0,0,0,0,0,0.0114463,0,0.00759056,0.0190368
0,additional,normal,100000,1000000,10000,1000000,10000,55058,99999,8196,122,28,769264,0,0,0,0,0,0,0,0,0.147399,0,0.0316625,0.179061
1,additional,normal,100000,1000000,10000,1000000,10000,55058,99999,8196,122,28,769264,0,0,0,0,0,0,0,0,0.145899,0,0.03128,0.177179
2,additional,normal,100000,1000000,10000,1000000,10000,55058,99999,8196,122,28,769264,0,0,0,0,0,0,0,0,0.14654,0,0.032051,0.178591
3,additional,normal,100000,1000000,10000,1000000,10000,55058,99999,8196,122,28,769264,0,0,0,0,0,0,0,0,0.146267,0,0.0316749,0.177942
4,additional,normal,100000,1000000,10000,1000000,10000,55058,99999,8196,122,28,769264,0,0,0,0,0,0,0,0,0.145895,0,0.0315441,0.177439
0,additional,normal,100000,1000000,1000,1000000,10000,55058,99999,974,1026,247,5733571,0,0,0,0,0,0,0,0,2.73205,0,0.371277,3.10333
1,additional,normal,100000,1000000,1000,1000000,10000,55058,99999,974,1026,247,5733571,0,0,0,0,0,0,0,0,2.74392,0,0.370574,3.11449
2,additional,normal,100000,1000000,1000,1000000,10000,55058,99999,974,1026,247,5733571,0,0,0,0,0,0,0,0,2.74936,0,0.37033,3.11969
3,additional,normal,100000,1000000,1000,1000000,10000,55058,99999,974,1026,247,5733571,0,0,0,0,0,0,0,0,2.74113,0,0.370248,3.11138
4,additional,normal,100000,1000000,1000,1000000,10000,55058,99999,974,1026,247,5733571,0,0,0,0,0,0,0,0,2.73576,0,0.370604,3.10637
0,lazy,normal,100000,1000000,max_range,1000000,10000,55058,99999,66666,15,6,181100,181089,45,4,31,0.007009,0.000009,0.000003,0.000057,0.0114715,0.00707805,0,0.0185495
1,lazy,normal,100000,1000000,max_range,1000000,10000,55058,99999,66666,15,6,181100,181089,45,4,31,0.007138,0.000009,0.000003,0.000071,0.0122424,0.00722065,0,0.0194631
2,lazy,normal,100000,1000000,max_range,1000000,10000,55058,99999,66666,15,6,181100,181089,45,4,31,0.007051,0.000009,0.000003,0.000057,0.0121022,0.00712059,0,0.0192228
3,lazy,normal,100000,1000000,max_range,1000000,10000,55058,99999,66666,15,6,181100,181089,45,4,31,0.007037,0.000009,0.000003,0.000058,0.0114778,0.00710684,0,0.0185846
4,lazy,normal,100000,1000000,max_range,1000000,10000,55058,99999,66666,15,6,181100,181089,45,4,31,0.007066,0.000009,0.000003,0.000057,0.0115773,0.0071354,0,0.0187127
0,lazy,normal,100000,1000000,500000,1000000,10000,55058,99999,333333,3,2,111752,111752,43,0,40,0.003963,0.000045,0.000000,0.000463,0.00597113,0.00447194,0,0.0104431
1,lazy,normal,100000,1000000,500000,1000000,10000,55058,99999,333333,3,2,111752,111752,43,0,40,0.004020,0.000049,0.000000,0.000509,0.00610718,0.00457757,0,0.0106848
2,lazy,normal,100000,1000000,500000,1000000,10000,55058,99999,333333,3,2,111752,111752,43,0,40,0.003965,0.000045,0.000000,0.000519,0.00606331,0.00452935,0,0.0105927
3,lazy,normal,100000,1000000,500000,1000000,10000,55058,99999,333333,3,2,111752,111752,43,0,40,0.003960,0.000047,0.000000,0.000489,0.00666801,0.00449614,0,0.0111641
4,lazy,normal,100000,1000000,500000,1000000,10000,55058,99999,333333,3,2,111752,111752,43,0,40,0.004072,0.000045,0.000000,0.000462,0.00623777,0.00457907,0,0.0108168
0,lazy,normal,100000,1000000,250000,1000000,10000,55058,99999,166666,6,3,128375,128375,45,0,40,0.006078,0.000011,0.000000,0.000085,0.00812969,0.0061738,0,0.0143035
1,lazy,normal,100000,1000000,250000,1000000,10000,55058,99999,166666,6,3,128375,128375,45,0,40,0.005387,0.000010,0.000000,0.000082,0.0078991,0.00547922,0,0.0133783
2,lazy,normal,100000,1000000,250000,1000000,10000,55058,99999,166666,6,3,128375,128375,45,0,40,0.005143,0.000009,0.000000,0.000078,0.00744105,0.00523002,0,0.0126711
3,lazy,normal,100000,1000000,250000,1000000,10000,55058,99999,166666,6,3,128375,128375,45,0,40,0.005196,0.000009,0.000000,0.000080,0.00783129,0.00528482,0,0.0131161
4,lazy,normal,100000,1000000,250000,1000000,10000,55058,99999,166666,6,3,128375,128375,45,0,40,0.005221,0.000009,0.000000,0.000077,0.00753462,0.00530684,0,0.0128415
0,lazy,normal,100000,1000000,100000,1000000,10000,55058,99999,66666,15,6,181100,181089,45,4,31,0.007017,0.000009,0.000003,0.000057,0.0117518,0.00708598,0,0.0188378
1,lazy,normal,100000,1000000,100000,1000000,10000,55058,99999,66666,15,6,181100,181089,45,4,31,0.007135,0.000009,0.000003,0.000058,0.0118983,0.00720549,0,0.0191037
2,lazy,normal,100000,1000000,100000,1000000,10000,55058,99999,66666,15,6,181100,181089,45,4,31,0.007038,0.000009,0.000003,0.000058,0.0117996,0.00710817,0,0.0189078
3,lazy,normal,100000,1000000,100000,1000000,10000,55058,99999,66666,15,6,181100,181089,45,4,31,0.007091,0.000009,0.000003,0.000057,0.0120664,0.0071594,0,0.0192258
4,lazy,normal,100000,1000000,100000,1000000,10000,55058,99999,66666,15,6,181100,181089,45,4,31,0.007017,0.000009,0.000003,0.000057,0.0116883,0.00708658,0,0.0187749
0,lazy,normal,100000,1000000,10000,1000000,10000,55058,99999,8196,122,28,769321,769235,136,95,15,0.033712,0.000021,0.000037,0.000014,0.151182,0.033785,0,0.184966
1,lazy,normal,100000,1000000,10000,1000000,10000,55058,99999,8196,122,28,769321,769235,136,95,15,0.033350,0.000021,0.000038,0.000015,0.150555,0.0334238,0,0.183978
2,lazy,normal,100000,1000000,10000,1000000,10000,55058,99999,8196,122,28,769321,769235,136,95,15,0.033525,0.000021,0.000037,0.000014,0.150742,0.0335964,0,0.184339
3,lazy,normal,100000,1000000,10000,1000000,10000,55058,99999,8196,122,28,769321,769235,136,95,15,0.033850,0.000020,0.000037,0.000014,0.151351,0.0339222,0,0.185274
4,lazy,normal,100000,1000000,10000,1000000,10000,55058,99999,8196,122,28,769321,769235,136,95,15,0.033516,0.000020,0.000037,0.000014,0.149614,0.0335867,0,0.183201
0,lazy,normal,100000,1000000,1000,1000000,10000,55058,99999,974,1026,247,5733815,5733541,1033,962,8,0.310097,0.000136,0.000327,0.000007,2.90053,0.310567,0,3.2111
1,lazy,normal,100000,1000000,1000,1000000,10000,55058,99999,974,1026,247,5733815,5733541,1033,962,8,0.304074,0.000129,0.000313,0.000008,2.87398,0.304525,0,3.17851
2,lazy,normal,100000,1000000,1000,1000000,10000,55058,99999,974,1026,247,5733815,5733541,1033,962,8,0.305124,0.000133,0.000323,0.000008,2.88189,0.305587,0,3.18748
3,lazy,normal,100000,1000000,1000,1000000,10000,55058,99999,974,1026,247,5733815,5733541,1033,962,8,0.305043,0.000133,0.000325,0.000008,2.89226,0.305509,0,3.19777
