iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,total time
0,additional,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,6060540,165,14,116275,0,0,0,0,0,0,0,0,0.0120763,0,0.00832467,0.0204009
1,additional,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,6060540,165,14,116275,0,0,0,0,0,0,0,0,0.0116754,0,0.00835704,0.0200324
2,additional,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,6060540,165,14,116275,0,0,0,0,0,0,0,0,0.0119397,0,0.00829028,0.0202299
3,additional,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,6060540,165,14,116275,0,0,0,0,0,0,0,0,0.0116539,0,0.00870055,0.0203544
4,additional,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,6060540,165,14,116275,0,0,0,0,0,0,0,0,0.0115761,0,0.00858898,0.0201651
0,additional,normal,100000,1000000000,1000000,1000000,1000000,1000000,1000000,686805,1456,21,245248,0,0,0,0,0,0,0,0,0.0331867,0,0.0251474,0.0583342
1,additional,normal,100000,1000000000,1000000,1000000,1000000,1000000,1000000,686805,1456,21,245248,0,0,0,0,0,0,0,0,0.0330664,0,0.0245504,0.0576168
2,additional,normal,100000,1000000000,1000000,1000000,1000000,1000000,1000000,686805,1456,21,245248,0,0,0,0,0,0,0,0,0.033268,0,0.0246759,0.0579439
3,additional,normal,100000,1000000000,1000000,1000000,1000000,1000000,1000000,686805,1456,21,245248,0,0,0,0,0,0,0,0,0.0331268,0,0.0245312,0.057658
4,additional,normal,100000,1000000000,1000000,1000000,1000000,1000000,1000000,686805,1456,21,245248,0,0,0,0,0,0,0,0,0.0335185,0,0.0248269,0.0583455
0,additional,normal,100000,1000000000,100000,1000000,1000000,1000000,1000000,91364,10945,105,1194559,0,0,0,0,0,0,0,0,0.46505,0,0.131088,0.596138
1,additional,normal,100000,1000000000,100000,1000000,1000000,1000000,1000000,91364,10945,105,1194559,0,0,0,0,0,0,0,0,0.467787,0,0.131813,0.599601
