iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,total time
0,additional,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,102911,0,0,0,0,0,0,0,0,0.0433094,0,0.0341947,0.0775041
1,additional,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,102911,0,0,0,0,0,0,0,0,0.043528,0,0.0349106,0.0784386
2,additional,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,102911,0,0,0,0,0,0,0,0,0.0441209,0,0.0347963,0.0789172
3,additional,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,102911,0,0,0,0,0,0,0,0,0.0443326,0,0.0353493,0.079682
4,additional,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,102911,0,0,0,0,0,0,0,0,0.0444356,0,0.0348223,0.0792579
0,additional,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,102961,0,0,0,0,0,0,0,0,0.0444398,0,0.0356421,0.0800819
1,additional,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,102961,0,0,0,0,0,0,0,0,0.0445712,0,0.0376908,0.082262
2,additional,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,102961,0,0,0,0,0,0,0,0,0.0459443,0,0.0358265,0.0817709
3,additional,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,102961,0,0,0,0,0,0,0,0,0.0441337,0,0.0352934,0.079427
4,additional,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,102961,0,0,0,0,0,0,0,0,0.0440507,0,0.0348814,0.0789321
0,additional,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,103646,0,0,0,0,0,0,0,0,0.0456796,0,0.037248,0.0829276
1,additional,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,103646,0,0,0,0,0,0,0,0,0.0449508,0,0.0366584,0.0816092
2,additional,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,103646,0,0,0,0,0,0,0,0,0.0447782,0,0.0384622,0.0832405
3,additional,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,103646,0,0,0,0,0,0,0,0,0.0473013,0,0.0399857,0.087287
4,additional,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,103646,0,0,0,0,0,0,0,0,0.0447966,0,0.0364679,0.0812645
0,additional,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,199989,0,0,0,0,0,0,0,0,0.0519038,0,0.0829895,0.134893
1,additional,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,199989,0,0,0,0,0,0,0,0,0.0515303,0,0.0812732,0.132803
2,additional,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,199989,0,0,0,0,0,0,0,0,0.0538914,0,0.0858427,0.139734
3,additional,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,199989,0,0,0,0,0,0,0,0,0.0519065,0,0.0819213,0.133828
4,additional,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,199989,0,0,0,0,0,0,0,0,0.0503185,0,0.0814341,0.131753
0,lazy,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,107072,107072,86760,0,48400,0.011215,0.020698,0.000000,0.017509,0.0476395,0.0494223,0,0.0970618
1,lazy,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,107072,107072,86760,0,48400,0.011932,0.021510,0.000000,0.018094,0.0484171,0.0515373,0,0.0999544
2,lazy,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,107072,107072,86760,0,48400,0.011173,0.020293,0.000000,0.017481,0.0476745,0.0489469,0,0.0966214
3,lazy,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,107072,107072,86760,0,48400,0.011275,0.020513,0.000000,0.017435,0.0473565,0.0492223,0,0.0965788
4,lazy,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,107072,107072,86760,0,48400,0.011196,0.020225,0.000000,0.017480,0.0474503,0.0489017,0,0.0963519
0,lazy,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.011983,0.021677,0.000000,0.017732,0.0489925,0.0513923,0,0.100385
1,lazy,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.011185,0.020390,0.000000,0.017429,0.0475157,0.0490044,0,0.09652
2,lazy,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.011949,0.022123,0.000000,0.018056,0.0493503,0.0521285,0,0.101479
3,lazy,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.011318,0.021429,0.000000,0.017487,0.0481828,0.050234,0,0.0984168
4,lazy,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.011654,0.021851,0.000000,0.017571,0.0486612,0.0510759,0,0.0997371
0,lazy,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,107532,107444,88559,9,49475,0.011370,0.021106,0.000020,0.017156,0.0484692,0.0496511,0,0.0981204
1,lazy,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,107532,107444,88559,9,49475,0.011461,0.021675,0.000020,0.017196,0.0484654,0.0503524,0,0.0988178
