iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,total time
0,additional,normal,1000000,1000000000,max_range,1000,1,11,1000,11,988977,45,1000857,0,0,0,0,0,0,0,0,0.76221,0,1.52424,2.28645
1,additional,normal,1000000,1000000000,max_range,1000,1,11,1000,11,988977,45,1000857,0,0,0,0,0,0,0,0,0.754037,0,1.52589,2.27993
2,additional,normal,1000000,1000000000,max_range,1000,1,11,1000,11,988977,45,1000857,0,0,0,0,0,0,0,0,0.755031,0,1.52367,2.2787
3,additional,normal,1000000,1000000000,max_range,1000,1,11,1000,11,988977,45,1000857,0,0,0,0,0,0,0,0,0.755601,0,1.52509,2.28069
4,additional,normal,1000000,1000000000,max_range,1000,1,11,1000,11,988977,45,1000857,0,0,0,0,0,0,0,0,0.739107,0,1.49447,2.23358
0,additional,normal,1000000,1000000000,max_range,10000,1,101,10000,112,902496,45,1009836,0,0,0,0,0,0,0,0,0.735685,0,1.39703,2.13271
1,additional,normal,1000000,1000000000,max_range,10000,1,101,10000,112,902496,45,1009836,0,0,0,0,0,0,0,0,0.746367,0,1.40381,2.15018
2,additional,normal,1000000,1000000000,max_range,10000,1,101,10000,112,902496,45,1009836,0,0,0,0,0,0,0,0,0.751349,0,1.42786,2.17921
3,additional,normal,1000000,1000000000,max_range,10000,1,101,10000,112,902496,45,1009836,0,0,0,0,0,0,0,0,0.746846,0,1.40022,2.14707
4,additional,normal,1000000,1000000000,max_range,10000,1,101,10000,112,902496,45,1009836,0,0,0,0,0,0,0,0,0.738746,0,1.3966,2.13535
0,additional,normal,1000000,1000000000,max_range,100000,1,1003,100000,2235,308894,40,1016699,0,0,0,0,0,0,0,0,0.56823,0,0.620655,1.18888
1,additional,normal,1000000,1000000000,max_range,100000,1,1003,100000,2235,308894,40,1016699,0,0,0,0,0,0,0,0,0.558945,0,0.59821,1.15716
2,additional,normal,1000000,1000000000,max_range,100000,1,1003,100000,2235,308894,40,1016699,0,0,0,0,0,0,0,0,0.561592,0,0.621261,1.18285
3,additional,normal,1000000,1000000000,max_range,100000,1,1003,100000,2235,308894,40,1016699,0,0,0,0,0,0,0,0,0.551775,0,0.60596,1.15773
