iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,mapping + tree building time
0,additional,normal,100000,1000000000,1000,0,10000,55058,99999,978,1017065,821,5723400,0,0,0,0,0,0,0,0,9.10921,0,2.11794,11.2271
1,additional,normal,100000,1000000000,1000,0,10000,55058,99999,978,1017065,821,5723400,0,0,0,0,0,0,0,0,9.14391,0,2.11577,11.2597
2,additional,normal,100000,1000000000,1000,0,10000,55058,99999,978,1017065,821,5723400,0,0,0,0,0,0,0,0,9.09947,0,2.14986,11.2493
3,additional,normal,100000,1000000000,1000,0,10000,55058,99999,978,1017065,821,5723400,0,0,0,0,0,0,0,0,9.09187,0,2.11677,11.2086
4,additional,normal,100000,1000000000,1000,0,10000,55058,99999,978,1017065,821,5723400,0,0,0,0,0,0,0,0,9.11332,0,2.12682,11.2401
0,additional,normal,100000,1000000000,10000,0,10000,55058,99999,8435,117986,96,749189,0,0,0,0,0,0,0,0,0.309415,0,0.216525,0.525941
1,additional,normal,100000,1000000000,10000,0,10000,55058,99999,8435,117986,96,749189,0,0,0,0,0,0,0,0,0.316616,0,0.217125,0.533741
2,additional,normal,100000,1000000000,10000,0,10000,55058,99999,8435,117986,96,749189,0,0,0,0,0,0,0,0,0.313884,0,0.218685,0.532569
3,additional,normal,100000,1000000000,10000,0,10000,55058,99999,8435,117986,96,749189,0,0,0,0,0,0,0,0,0.313874,0,0.217026,0.5309
4,additional,normal,100000,1000000000,10000,0,10000,55058,99999,8435,117986,96,749189,0,0,0,0,0,0,0,0,0.310515,0,0.225774,0.536289
0,additional,normal,100000,1000000000,1000000,0,10000,55058,99999,546225,1827,20,106948,0,0,0,0,0,0,0,0,0.0244168,0,0.0139943,0.0384111
1,additional,normal,100000,1000000000,1000000,0,10000,55058,99999,546225,1827,20,106948,0,0,0,0,0,0,0,0,0.0248311,0,0.0131367,0.0379678
2,additional,normal,100000,1000000000,1000000,0,10000,55058,99999,546225,1827,20,106948,0,0,0,0,0,0,0,0,0.0239614,0,0.0136633,0.0376247
3,additional,normal,100000,1000000000,1000000,0,10000,55058,99999,546225,1827,20,106948,0,0,0,0,0,0,0,0,0.0242597,0,0.0135903,0.0378501
