iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,mapping + tree building time
0,additional,normal,100000,1000000000,1000,10000,10000,10000,10000,960,653268,190,1125138,0,0,0,0,0,0,0,0,0.601216,0,0.768795,1.37001
1,additional,normal,100000,1000000000,1000,10000,10000,10000,10000,960,653268,190,1125138,0,0,0,0,0,0,0,0,0.597752,0,0.782058,1.37981
2,additional,normal,100000,1000000000,1000,10000,10000,10000,10000,960,653268,190,1125138,0,0,0,0,0,0,0,0,0.599422,0,0.775108,1.37453
3,additional,normal,100000,1000000000,1000,10000,10000,10000,10000,960,653268,190,1125138,0,0,0,0,0,0,0,0,0.602837,0,0.765115,1.36795
4,additional,normal,100000,1000000000,1000,10000,10000,10000,10000,960,653268,190,1125138,0,0,0,0,0,0,0,0,0.602247,0,0.775648,1.37789
0,additional,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,199989,0,0,0,0,0,0,0,0,0.0512334,0,0.0865614,0.137795
1,additional,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,199989,0,0,0,0,0,0,0,0,0.0520884,0,0.0846882,0.136777
2,additional,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,199989,0,0,0,0,0,0,0,0,0.0512172,0,0.0878508,0.139068
3,additional,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,199989,0,0,0,0,0,0,0,0,0.0525781,0,0.0844495,0.137028
4,additional,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,199989,0,0,0,0,0,0,0,0,0.0500706,0,0.0858852,0.135956
0,additional,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,103646,0,0,0,0,0,0,0,0,0.0443526,0,0.0370917,0.0814443
1,additional,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,103646,0,0,0,0,0,0,0,0,0.0437664,0,0.038059,0.0818254
2,additional,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,103646,0,0,0,0,0,0,0,0,0.0443896,0,0.0378488,0.0822384
3,additional,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,103646,0,0,0,0,0,0,0,0,0.0457172,0,0.0377605,0.0834777
4,additional,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,103646,0,0,0,0,0,0,0,0,0.0434962,0,0.0374754,0.0809715
0,additional,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,102961,0,0,0,0,0,0,0,0,0.0433813,0,0.0361895,0.0795708
1,additional,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,102961,0,0,0,0,0,0,0,0,0.0444477,0,0.0363711,0.0808188
2,additional,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,102961,0,0,0,0,0,0,0,0,0.0432274,0,0.0358649,0.0790923
3,additional,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,102961,0,0,0,0,0,0,0,0,0.0439143,0,0.0381377,0.082052
4,additional,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,102961,0,0,0,0,0,0,0,0,0.0442408,0,0.0359247,0.0801655
0,additional,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,102911,0,0,0,0,0,0,0,0,0.0426969,0,0.0352523,0.0779492
1,additional,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,102911,0,0,0,0,0,0,0,0,0.0437658,0,0.03603,0.0797958
2,additional,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,102911,0,0,0,0,0,0,0,0,0.0429517,0,0.036198,0.0791497
3,additional,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,102911,0,0,0,0,0,0,0,0,0.044367,0,0.0356819,0.080049
4,additional,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,102911,0,0,0,0,0,0,0,0,0.0432723,0,0.0358444,0.0791167
0,lazy,normal,100000,1000000000,1000,10000,10000,10000,10000,960,653268,190,1262312,1068765,653827,553478,560,0.204877,0.213965,0.191856,0.000278,0.635986,0.610976,0,1.24696
1,lazy,normal,100000,1000000000,1000,10000,10000,10000,10000,960,653268,190,1262312,1068765,653827,553478,560,0.207848,0.216745,0.193315,0.000287,0.641876,0.618195,0,1.26007
2,lazy,normal,100000,1000000000,1000,10000,10000,10000,10000,960,653268,190,1262312,1068765,653827,553478,560,0.208155,0.217900,0.199952,0.000289,0.656367,0.626296,0,1.28266
3,lazy,normal,100000,1000000000,1000,10000,10000,10000,10000,960,653268,190,1262312,1068765,653827,553478,560,0.207950,0.216699,0.192247,0.000280,0.641334,0.617176,0,1.25851
4,lazy,normal,100000,1000000000,1000,10000,10000,10000,10000,960,653268,190,1262312,1068765,653827,553478,560,0.207909,0.216946,0.193035,0.000278,0.639166,0.618168,0,1.25733
0,lazy,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,224106,126107,89092,39370,6803,0.015727,0.023801,0.017054,0.002487,0.0580897,0.0590689,0,0.117159
1,lazy,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,224106,126107,89092,39370,6803,0.015870,0.024548,0.016612,0.002470,0.0600784,0.0594997,0,0.119578
2,lazy,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,224106,126107,89092,39370,6803,0.015786,0.024534,0.016595,0.002507,0.059183,0.0594223,0,0.118605
3,lazy,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,224106,126107,89092,39370,6803,0.015516,0.023910,0.016780,0.002525,0.0587113,0.0587308,0,0.117442
4,lazy,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,224106,126107,89092,39370,6803,0.015473,0.024179,0.016496,0.002454,0.0581564,0.0586024,0,0.116759
0,lazy,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,107532,107444,88559,9,49475,0.011377,0.021701,0.000021,0.017321,0.0487251,0.0504204,0,0.0991456
1,lazy,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,107532,107444,88559,9,49475,0.011390,0.021130,0.000020,0.017368,0.0484493,0.0499082,0,0.0983575
2,lazy,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,107532,107444,88559,9,49475,0.012274,0.021966,0.000022,0.017596,0.0515822,0.0518574,0,0.10344
3,lazy,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,107532,107444,88559,9,49475,0.011560,0.021748,0.000020,0.017325,0.0488977,0.050653,0,0.0995507
4,lazy,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,107532,107444,88559,9,49475,0.011485,0.021018,0.000022,0.017305,0.0487685,0.0498292,0,0.0985977
0,lazy,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.011658,0.021401,0.000000,0.017871,0.0490533,0.0509311,0,0.0999844
1,lazy,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.011419,0.020724,0.000000,0.017661,0.0486106,0.0498049,0,0.0984156
2,lazy,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.012207,0.022238,0.000000,0.018064,0.0503569,0.0525081,0,0.102865
3,lazy,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.011790,0.021751,0.000000,0.018105,0.0495603,0.0516463,0,0.101207
4,lazy,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.011667,0.021223,0.000000,0.017895,0.0490132,0.050785,0,0.0997982
