iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,mapping + tree building time
0,additional,normal,100000,1000000000,1000,1000,1000,1000,1000,954,99673,36,118537,0,0,0,0,0,0,0,0,0.0463765,0,0.0778496,0.124226
1,additional,normal,100000,1000000000,1000,1000,1000,1000,1000,954,99673,36,118537,0,0,0,0,0,0,0,0,0.0466049,0,0.0779571,0.124562
2,additional,normal,100000,1000000000,1000,1000,1000,1000,1000,954,99673,36,118537,0,0,0,0,0,0,0,0,0.0469925,0,0.0813199,0.128312
3,additional,normal,100000,1000000000,1000,1000,1000,1000,1000,954,99673,36,118537,0,0,0,0,0,0,0,0,0.0483187,0,0.0784171,0.126736
4,additional,normal,100000,1000000000,1000,1000,1000,1000,1000,954,99673,36,118537,0,0,0,0,0,0,0,0,0.0476145,0,0.0790012,0.126616
0,additional,normal,100000,1000000000,10000,1000,1000,1000,1000,1052,90416,35,100086,0,0,0,0,0,0,0,0,0.0465145,0,0.068244,0.114758
1,additional,normal,100000,1000000000,10000,1000,1000,1000,1000,1052,90416,35,100086,0,0,0,0,0,0,0,0,0.0470138,0,0.0698726,0.116886
2,additional,normal,100000,1000000000,10000,1000,1000,1000,1000,1052,90416,35,100086,0,0,0,0,0,0,0,0,0.0473377,0,0.0689749,0.116313
3,additional,normal,100000,1000000000,10000,1000,1000,1000,1000,1052,90416,35,100086,0,0,0,0,0,0,0,0,0.0464285,0,0.0691147,0.115543
4,additional,normal,100000,1000000000,10000,1000,1000,1000,1000,1052,90416,35,100086,0,0,0,0,0,0,0,0,0.0469245,0,0.0681103,0.115035
0,additional,normal,100000,1000000000,100000,1000,1000,1000,1000,1055,90376,35,100077,0,0,0,0,0,0,0,0,0.0474055,0,0.0699966,0.117402
1,additional,normal,100000,1000000000,100000,1000,1000,1000,1000,1055,90376,35,100077,0,0,0,0,0,0,0,0,0.0468031,0,0.0710581,0.117861
2,additional,normal,100000,1000000000,100000,1000,1000,1000,1000,1055,90376,35,100077,0,0,0,0,0,0,0,0,0.0484782,0,0.0678471,0.116325
3,additional,normal,100000,1000000000,100000,1000,1000,1000,1000,1055,90376,35,100077,0,0,0,0,0,0,0,0,0.0469968,0,0.0689044,0.115901
