iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,mapping + tree building time
0,additional,zipf,1000,1000000000,10000000,1000,1000,1000,1000,1378,9,6,1000,0,0,0,0,0,0,0,0,7.5892e-05,0,7.7939e-05,0.000153831
1,additional,zipf,1000,1000000000,10000000,1000,1000,1000,1000,1378,9,6,1000,0,0,0,0,0,0,0,0,6.5627e-05,0,6.4758e-05,0.000130385
2,additional,zipf,1000,1000000000,10000000,1000,1000,1000,1000,1378,9,6,1000,0,0,0,0,0,0,0,0,6.5839e-05,0,6.4495e-05,0.000130334
3,additional,zipf,1000,1000000000,10000000,1000,1000,1000,1000,1378,9,6,1000,0,0,0,0,0,0,0,0,6.5702e-05,0,6.4185e-05,0.000129887
4,additional,zipf,1000,1000000000,10000000,1000,1000,1000,1000,1378,9,6,1000,0,0,0,0,0,0,0,0,6.5819e-05,0,6.39e-05,0.000129719
0,additional,zipf,10000,1000000000,10000000,1000,1000,1000,1000,73454,7,4,10000,0,0,0,0,0,0,0,0,0.000636617,0,0.0006731,0.00130972
1,additional,zipf,10000,1000000000,10000000,1000,1000,1000,1000,73454,7,4,10000,0,0,0,0,0,0,0,0,0.000622657,0,0.000635171,0.00125783
2,additional,zipf,10000,1000000000,10000000,1000,1000,1000,1000,73454,7,4,10000,0,0,0,0,0,0,0,0,0.000623124,0,0.000634106,0.00125723
3,additional,zipf,10000,1000000000,10000000,1000,1000,1000,1000,73454,7,4,10000,0,0,0,0,0,0,0,0,0.000639547,0,0.000638879,0.00127843
4,additional,zipf,10000,1000000000,10000000,1000,1000,1000,1000,73454,7,4,10000,0,0,0,0,0,0,0,0,0.000626237,0,0.000640985,0.00126722
0,additional,zipf,100000,1000000000,10000000,1000,1000,1000,1000,6186,98,12,100000,0,0,0,0,0,0,0,0,0.00515324,0,0.00557497,0.0107282
1,additional,zipf,100000,1000000000,10000000,1000,1000,1000,1000,6186,98,12,100000,0,0,0,0,0,0,0,0,0.00513352,0,0.00548074,0.0106143
2,additional,zipf,100000,1000000000,10000000,1000,1000,1000,1000,6186,98,12,100000,0,0,0,0,0,0,0,0,0.00501911,0,0.00542113,0.0104402
3,additional,zipf,100000,1000000000,10000000,1000,1000,1000,1000,6186,98,12,100000,0,0,0,0,0,0,0,0,0.00506906,0,0.00556456,0.0106336
4,additional,zipf,100000,1000000000,10000000,1000,1000,1000,1000,6186,98,12,100000,0,0,0,0,0,0,0,0,0.00504049,0,0.00547699,0.0105175
0,lazy,zipf,1000,1000000000,10000000,1000,1000,1000,1000,1378,9,6,1001,1001,21,0,13,0.000038,0.000003,0.000000,0.000008,5.1101e-05,4.8881e-05,0,9.9982e-05
1,lazy,zipf,1000,1000000000,10000000,1000,1000,1000,1000,1378,9,6,1001,1001,21,0,13,0.000037,0.000003,0.000000,0.000008,5.0818e-05,4.8791e-05,0,9.9609e-05
2,lazy,zipf,1000,1000000000,10000000,1000,1000,1000,1000,1378,9,6,1001,1001,21,0,13,0.000037,0.000003,0.000000,0.000008,5.0977e-05,4.809e-05,0,9.9067e-05
3,lazy,zipf,1000,1000000000,10000000,1000,1000,1000,1000,1378,9,6,1001,1001,21,0,13,0.000037,0.000003,0.000000,0.000008,5.0938e-05,4.8109e-05,0,9.9047e-05
4,lazy,zipf,1000,1000000000,10000000,1000,1000,1000,1000,1378,9,6,1001,1001,21,0,13,0.000037,0.000003,0.000000,0.000008,5.0613e-05,4.7736e-05,0,9.8349e-05
0,lazy,zipf,10000,1000000000,10000000,1000,1000,1000,1000,73454,7,4,10003,10003,36,0,21,0.000364,0.000007,0.000000,0.000056,0.000482071,0.000426766,0,0.000908837
1,lazy,zipf,10000,1000000000,10000000,1000,1000,1000,1000,73454,7,4,10003,10003,36,0,21,0.000386,0.000008,0.000000,0.000056,0.000484797,0.000450188,0,0.000934985
2,lazy,zipf,10000,1000000000,10000000,1000,1000,1000,1000,73454,7,4,10003,10003,36,0,21,0.000362,0.000007,0.000000,0.000056,0.00048198,0.000425946,0,0.000907926
3,lazy,zipf,10000,1000000000,10000000,1000,1000,1000,1000,73454,7,4,10003,10003,36,0,21,0.000361,0.000007,0.000000,0.000056,0.000481396,0.000423697,0,0.000905093
4,lazy,zipf,10000,1000000000,10000000,1000,1000,1000,1000,73454,7,4,10003,10003,36,0,21,0.000360,0.000007,0.000000,0.000055,0.000494372,0.000422599,0,0.000916971
0,lazy,zipf,100000,1000000000,10000000,1000,1000,1000,1000,6186,98,12,100003,100003,130,0,24,0.004065,0.000036,0.000000,0.000059,0.00522864,0.00416015,0,0.00938879
1,lazy,zipf,100000,1000000000,10000000,1000,1000,1000,1000,6186,98,12,100003,100003,130,0,24,0.003972,0.000028,0.000000,0.000059,0.00527649,0.00405856,0,0.00933506
2,lazy,zipf,100000,1000000000,10000000,1000,1000,1000,1000,6186,98,12,100003,100003,130,0,24,0.003963,0.000027,0.000000,0.000059,0.00515243,0.00404855,0,0.00920098
3,lazy,zipf,100000,1000000000,10000000,1000,1000,1000,1000,6186,98,12,100003,100003,130,0,24,0.003984,0.000027,0.000000,0.000059,0.00515276,0.00406938,0,0.00922214
4,lazy,zipf,100000,1000000000,10000000,1000,1000,1000,1000,6186,98,12,100003,100003,130,0,24,0.003969,0.000032,0.000000,0.000058,0.00519395,0.00405871,0,0.00925265
0,eager,zipf,1000,1000000000,10000000,1000,1000,1000,1000,1378,9,6,1001,1001,21,0,13,0.000049,0.000010,0.000000,0.000012,5.1595e-05,7.0916e-05,0,0.000122511
1,eager,zipf,1000,1000000000,10000000,1000,1000,1000,1000,1378,9,6,1001,1001,21,0,13,0.000092,0.000009,0.000000,0.000012,5.1866e-05,0.000113053,0,0.000164919
2,eager,zipf,1000,1000000000,10000000,1000,1000,1000,1000,1378,9,6,1001,1001,21,0,13,0.000048,0.000009,0.000000,0.000012,5.1238e-05,6.9115e-05,0,0.000120353
3,eager,zipf,1000,1000000000,10000000,1000,1000,1000,1000,1378,9,6,1001,1001,21,0,13,0.000048,0.000009,0.000000,0.000012,5.1361e-05,6.9667e-05,0,0.000121028
4,eager,zipf,1000,1000000000,10000000,1000,1000,1000,1000,1378,9,6,1001,1001,21,0,13,0.000048,0.000009,0.000000,0.000013,5.1417e-05,6.9637e-05,0,0.000121054
0,eager,zipf,10000,1000000000,10000000,1000,1000,1000,1000,73454,7,4,10003,10003,36,0,21,0.000478,0.000125,0.000000,0.000149,0.000481822,0.000751664,0,0.00123349
1,eager,zipf,10000,1000000000,10000000,1000,1000,1000,1000,73454,7,4,10003,10003,36,0,21,0.000478,0.000124,0.000000,0.000111,0.000481153,0.000713641,0,0.00119479
2,eager,zipf,10000,1000000000,10000000,1000,1000,1000,1000,73454,7,4,10003,10003,36,0,21,0.000485,0.000127,0.000000,0.000114,0.000501294,0.000726827,0,0.00122812
3,eager,zipf,10000,1000000000,10000000,1000,1000,1000,1000,73454,7,4,10003,10003,36,0,21,0.000477,0.000125,0.000000,0.000111,0.000480429,0.000713612,0,0.00119404
4,eager,zipf,10000,1000000000,10000000,1000,1000,1000,1000,73454,7,4,10003,10003,36,0,21,0.000470,0.000126,0.000000,0.000112,0.000482001,0.000707924,0,0.00118993
0,eager,zipf,100000,1000000000,10000000,1000,1000,1000,1000,6186,98,12,100003,100003,130,0,24,0.005961,0.000276,0.000000,0.000117,0.0051269,0.00635395,0,0.0114808
1,eager,zipf,100000,1000000000,10000000,1000,1000,1000,1000,6186,98,12,100003,100003,130,0,24,0.006130,0.000273,0.000000,0.000115,0.00528874,0.0065172,0,0.0118059
2,eager,zipf,100000,1000000000,10000000,1000,1000,1000,1000,6186,98,12,100003,100003,130,0,24,0.005902,0.000267,0.000000,0.000115,0.00522879,0.00628355,0,0.0115123
3,eager,zipf,100000,1000000000,10000000,1000,1000,1000,1000,6186,98,12,100003,100003,130,0,24,0.005693,0.000301,0.000000,0.000116,0.00513093,0.00610986,0,0.0112408
4,eager,zipf,100000,1000000000,10000000,1000,1000,1000,1000,6186,98,12,100003,100003,130,0,24,0.005773,0.000267,0.000000,0.000117,0.00512143,0.00615655,0,0.011278
0,additional,normal,1000,1000000000,10000000,1000,1000,1000,1000,1000,1000,18,1000,0,0,0,0,0,0,0,0,0.000237975,0,0.000271087,0.000509062
1,additional,normal,1000,1000000000,10000000,1000,1000,1000,1000,1000,1000,18,1000,0,0,0,0,0,0,0,0,0.000237918,0,0.000267081,0.000504999
2,additional,normal,1000,1000000000,10000000,1000,1000,1000,1000,1000,1000,18,1000,0,0,0,0,0,0,0,0,0.000258737,0,0.000286546,0.000545283
3,additional,normal,1000,1000000000,10000000,1000,1000,1000,1000,1000,1000,18,1000,0,0,0,0,0,0,0,0,0.0002408,0,0.000267015,0.000507815
4,additional,normal,1000,1000000000,10000000,1000,1000,1000,1000,1000,1000,18,1000,0,0,0,0,0,0,0,0,0.000237389,0,0.000266562,0.000503951
0,additional,normal,10000,1000000000,10000000,1000,1000,1000,1000,1005,9895,29,10000,0,0,0,0,0,0,0,0,0.00305049,0,0.00397986,0.00703035
1,additional,normal,10000,1000000000,10000000,1000,1000,1000,1000,1005,9895,29,10000,0,0,0,0,0,0,0,0,0.00300008,0,0.00401901,0.00701909
2,additional,normal,10000,1000000000,10000000,1000,1000,1000,1000,1005,9895,29,10000,0,0,0,0,0,0,0,0,0.00318727,0,0.00456006,0.00774733
3,additional,normal,10000,1000000000,10000000,1000,1000,1000,1000,1005,9895,29,10000,0,0,0,0,0,0,0,0,0.00324148,0,0.00429279,0.00753427
4,additional,normal,10000,1000000000,10000000,1000,1000,1000,1000,1005,9895,29,10000,0,0,0,0,0,0,0,0,0.00322514,0,0.00422815,0.00745329
0,additional,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100076,0,0,0,0,0,0,0,0,0.0458685,0,0.0671253,0.112994
1,additional,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100076,0,0,0,0,0,0,0,0,0.0463839,0,0.0673491,0.113733
2,additional,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100076,0,0,0,0,0,0,0,0,0.0463994,0,0.0671708,0.11357
3,additional,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100076,0,0,0,0,0,0,0,0,0.046996,0,0.0683785,0.115374
4,additional,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100076,0,0,0,0,0,0,0,0,0.0461394,0,0.0976407,0.14378
0,lazy,normal,1000,1000000000,10000000,1000,1000,1000,1000,1000,1000,18,1000,1000,999,0,0,0.000068,0.000203,0.000000,0.000000,0.000270581,0.0002716,0,0.000542181
1,lazy,normal,1000,1000000000,10000000,1000,1000,1000,1000,1000,1000,18,1000,1000,999,0,0,0.000066,0.000193,0.000000,0.000000,0.000263064,0.000258791,0,0.000521855
2,lazy,normal,1000,1000000000,10000000,1000,1000,1000,1000,1000,1000,18,1000,1000,999,0,0,0.000065,0.000238,0.000000,0.000000,0.000259909,0.000303188,0,0.000563097
3,lazy,normal,1000,1000000000,10000000,1000,1000,1000,1000,1000,1000,18,1000,1000,999,0,0,0.000066,0.000191,0.000000,0.000000,0.000268043,0.000256639,0,0.000524682
4,lazy,normal,1000,1000000000,10000000,1000,1000,1000,1000,1000,1000,18,1000,1000,999,0,0,0.000065,0.000189,0.000000,0.000000,0.000255169,0.000253795,0,0.000508964
0,lazy,normal,10000,1000000000,10000000,1000,1000,1000,1000,1005,9895,29,10000,10000,9999,0,105,0.000807,0.002416,0.000000,0.000038,0.00481165,0.00326027,0,0.00807192
1,lazy,normal,10000,1000000000,10000000,1000,1000,1000,1000,1005,9895,29,10000,10000,9999,0,105,0.000792,0.002437,0.000000,0.000038,0.0036887,0.00326616,0,0.00695487
2,lazy,normal,10000,1000000000,10000000,1000,1000,1000,1000,1005,9895,29,10000,10000,9999,0,105,0.000734,0.002090,0.000000,0.000036,0.00350672,0.00285935,0,0.00636608
3,lazy,normal,10000,1000000000,10000000,1000,1000,1000,1000,1005,9895,29,10000,10000,9999,0,105,0.000830,0.002313,0.000000,0.000040,0.00386762,0.00318332,0,0.00705093
4,lazy,normal,10000,1000000000,10000000,1000,1000,1000,1000,1005,9895,29,10000,10000,9999,0,105,0.000730,0.002084,0.000000,0.000038,0.0037578,0.00285098,0,0.00660879
0,lazy,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100181,100181,99817,0,9409,0.012896,0.038261,0.000000,0.003246,0.0587178,0.0544037,0,0.113121
1,lazy,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100181,100181,99817,0,9409,0.010608,0.033350,0.000000,0.003113,0.0517074,0.0470716,0,0.0987789
2,lazy,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100181,100181,99817,0,9409,0.012825,0.038490,0.000000,0.003318,0.0608979,0.0546324,0,0.11553
3,lazy,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100181,100181,99817,0,9409,0.011836,0.036265,0.000000,0.003194,0.0565166,0.0512949,0,0.107812
4,lazy,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100181,100181,99817,0,9409,0.010798,0.035046,0.000000,0.003148,0.0528188,0.0489911,0,0.10181
0,eager,normal,1000,1000000000,10000000,1000,1000,1000,1000,1000,1000,18,1000,1000,999,0,0,0.000066,0.000208,0.000000,0.000000,0.000254663,0.000273555,0,0.000528218
1,eager,normal,1000,1000000000,10000000,1000,1000,1000,1000,1000,1000,18,1000,1000,999,0,0,0.000067,0.000212,0.000000,0.000000,0.000260898,0.000279342,0,0.00054024
2,eager,normal,1000,1000000000,10000000,1000,1000,1000,1000,1000,1000,18,1000,1000,999,0,0,0.000067,0.000208,0.000000,0.000000,0.000250909,0.000274859,0,0.000525768
3,eager,normal,1000,1000000000,10000000,1000,1000,1000,1000,1000,1000,18,1000,1000,999,0,0,0.000065,0.000206,0.000000,0.000000,0.00024814,0.0002707,0,0.00051884
4,eager,normal,1000,1000000000,10000000,1000,1000,1000,1000,1000,1000,18,1000,1000,999,0,0,0.000067,0.000208,0.000000,0.000000,0.000251214,0.000274575,0,0.000525789
0,eager,normal,10000,1000000000,10000000,1000,1000,1000,1000,1005,9895,29,10000,10000,9999,0,105,0.000847,0.002560,0.000000,0.000058,0.00371891,0.00346478,0,0.00718369
1,eager,normal,10000,1000000000,10000000,1000,1000,1000,1000,1005,9895,29,10000,10000,9999,0,105,0.000743,0.002257,0.000000,0.000054,0.00321309,0.00305423,0,0.00626732
2,eager,normal,10000,1000000000,10000000,1000,1000,1000,1000,1005,9895,29,10000,10000,9999,0,105,0.000739,0.002289,0.000000,0.000052,0.00328893,0.00308036,0,0.00636929
3,eager,normal,10000,1000000000,10000000,1000,1000,1000,1000,1005,9895,29,10000,10000,9999,0,105,0.000730,0.002303,0.000000,0.000052,0.00323249,0.0030843,0,0.00631679
4,eager,normal,10000,1000000000,10000000,1000,1000,1000,1000,1005,9895,29,10000,10000,9999,0,105,0.000743,0.002260,0.000000,0.000052,0.00320146,0.00305441,0,0.00625588
0,eager,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100181,100181,99817,0,9409,0.011281,0.038235,0.000000,0.004012,0.0521624,0.0535275,0,0.10569
1,eager,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100181,100181,99817,0,9409,0.010931,0.037901,0.000000,0.004007,0.0512945,0.0528386,0,0.104133
2,eager,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100181,100181,99817,0,9409,0.011084,0.038384,0.000000,0.004001,0.0515647,0.0534686,0,0.105033
3,eager,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100181,100181,99817,0,9409,0.011063,0.038134,0.000000,0.003976,0.0509589,0.0531729,0,0.104132
4,eager,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100181,100181,99817,0,9409,0.011354,0.038834,0.000000,0.004020,0.052131,0.0542086,0,0.10634
