iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,mapping + tree building time
0,additional,normal,100000,1000000000,1000,100000,100000,100000,100000,990,1009752,1487,10198190,0,0,0,0,0,0,0,0,28.292,0,3.02122,31.3132
1,additional,normal,100000,1000000000,1000,100000,100000,100000,100000,990,1009752,1487,10198190,0,0,0,0,0,0,0,0,28.1466,0,2.99493,31.1415
2,additional,normal,100000,1000000000,1000,100000,100000,100000,100000,990,1009752,1487,10198190,0,0,0,0,0,0,0,0,28.0587,0,2.96931,31.0281
3,additional,normal,100000,1000000000,1000,100000,100000,100000,100000,990,1009752,1487,10198190,0,0,0,0,0,0,0,0,28.0564,0,2.9846,31.041
4,additional,normal,100000,1000000000,1000,100000,100000,100000,100000,990,1009752,1487,10198190,0,0,0,0,0,0,0,0,28.1176,0,2.97211,31.0897
0,additional,normal,100000,1000000000,10000,100000,100000,100000,100000,9143,109357,155,1193256,0,0,0,0,0,0,0,0,0.588446,0,0.282643,0.871089
1,additional,normal,100000,1000000000,10000,100000,100000,100000,100000,9143,109357,155,1193256,0,0,0,0,0,0,0,0,0.588788,0,0.279052,0.86784
2,additional,normal,100000,1000000000,10000,100000,100000,100000,100000,9143,109357,155,1193256,0,0,0,0,0,0,0,0,0.597911,0,0.282496,0.880407
3,additional,normal,100000,1000000000,10000,100000,100000,100000,100000,9143,109357,155,1193256,0,0,0,0,0,0,0,0,0.594916,0,0.283488,0.878405
4,additional,normal,100000,1000000000,10000,100000,100000,100000,100000,9143,109357,155,1193256,0,0,0,0,0,0,0,0,0.591954,0,0.280337,0.872292
0,additional,normal,100000,1000000000,100000,100000,100000,100000,100000,67877,14731,31,244771,0,0,0,0,0,0,0,0,0.0486698,0,0.0434867,0.0921566
1,additional,normal,100000,1000000000,100000,100000,100000,100000,100000,67877,14731,31,244771,0,0,0,0,0,0,0,0,0.0485404,0,0.0437227,0.0922631
2,additional,normal,100000,1000000000,100000,100000,100000,100000,100000,67877,14731,31,244771,0,0,0,0,0,0,0,0,0.0484456,0,0.0434381,0.0918837
3,additional,normal,100000,1000000000,100000,100000,100000,100000,100000,67877,14731,31,244771,0,0,0,0,0,0,0,0,0.0484893,0,0.0429353,0.0914246
4,additional,normal,100000,1000000000,100000,100000,100000,100000,100000,67877,14731,31,244771,0,0,0,0,0,0,0,0,0.0487149,0,0.0434779,0.0921928
0,additional,normal,100000,1000000000,1000000,100000,100000,100000,100000,591313,1691,25,114344,0,0,0,0,0,0,0,0,0.0227816,0,0.0140502,0.0368318
1,additional,normal,100000,1000000000,1000000,100000,100000,100000,100000,591313,1691,25,114344,0,0,0,0,0,0,0,0,0.0219955,0,0.0136698,0.0356654
2,additional,normal,100000,1000000000,1000000,100000,100000,100000,100000,591313,1691,25,114344,0,0,0,0,0,0,0,0,0.0216133,0,0.0138363,0.0354496
3,additional,normal,100000,1000000000,1000000,100000,100000,100000,100000,591313,1691,25,114344,0,0,0,0,0,0,0,0,0.0216437,0,0.0133942,0.035038
4,additional,normal,100000,1000000000,1000000,100000,100000,100000,100000,591313,1691,25,114344,0,0,0,0,0,0,0,0,0.0218447,0,0.0135053,0.03535
0,additional,normal,100000,1000000000,10000000,100000,100000,100000,100000,5555353,180,16,101507,0,0,0,0,0,0,0,0,0.0148272,0,0.00780772,0.022635
1,additional,normal,100000,1000000000,10000000,100000,100000,100000,100000,5555353,180,16,101507,0,0,0,0,0,0,0,0,0.0144234,0,0.00765216,0.0220756
2,additional,normal,100000,1000000000,10000000,100000,100000,100000,100000,5555353,180,16,101507,0,0,0,0,0,0,0,0,0.0149553,0,0.00778065,0.022736
3,additional,normal,100000,1000000000,10000000,100000,100000,100000,100000,5555353,180,16,101507,0,0,0,0,0,0,0,0,0.0148969,0,0.00780019,0.0226971
4,additional,normal,100000,1000000000,10000000,100000,100000,100000,100000,5555353,180,16,101507,0,0,0,0,0,0,0,0,0.0149051,0,0.0078686,0.0227737
0,additional,normal,100000,1000000000,100000000,100000,100000,100000,100000,52630123,19,8,100130,0,0,0,0,0,0,0,0,0.0123757,0,0.00584204,0.0182177
1,additional,normal,100000,1000000000,100000000,100000,100000,100000,100000,52630123,19,8,100130,0,0,0,0,0,0,0,0,0.0121174,0,0.00591771,0.0180351
2,additional,normal,100000,1000000000,100000000,100000,100000,100000,100000,52630123,19,8,100130,0,0,0,0,0,0,0,0,0.0119372,0,0.00620788,0.018145
3,additional,normal,100000,1000000000,100000000,100000,100000,100000,100000,52630123,19,8,100130,0,0,0,0,0,0,0,0,0.011765,0,0.00606536,0.0178304
4,additional,normal,100000,1000000000,100000000,100000,100000,100000,100000,52630123,19,8,100130,0,0,0,0,0,0,0,0,0.0118351,0,0.00591578,0.0177509
0,additional,normal,100000,1000000000,1000000000,100000,100000,100000,100000,999972350,1,0,100000,0,0,0,0,0,0,0,0,0.00984567,0,0.0047655,0.0146112
1,additional,normal,100000,1000000000,1000000000,100000,100000,100000,100000,999972350,1,0,100000,0,0,0,0,0,0,0,0,0.00991478,0,0.00489887,0.0148137
2,additional,normal,100000,1000000000,1000000000,100000,100000,100000,100000,999972350,1,0,100000,0,0,0,0,0,0,0,0,0.00942281,0,0.00485814,0.014281
3,additional,normal,100000,1000000000,1000000000,100000,100000,100000,100000,999972350,1,0,100000,0,0,0,0,0,0,0,0,0.00949092,0,0.00474964,0.0142406
