iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,mapping + tree building time,exec time,post filtering time,total time
0,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,24,11,8,5,0,0.000006,0.000007,0.000016,0.000000,1.3748e-05,2.8391e-05,0,4.2139e-05,0.244495,0.00131287,0.24585
1,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,24,11,8,5,0,0.000006,0.000007,0.000018,0.000000,1.2062e-05,3.0791e-05,0,4.2853e-05,0.207627,0.00128482,0.208955
2,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,24,11,8,5,0,0.000006,0.000006,0.000017,0.000000,1.259e-05,2.891e-05,0,4.15e-05,0.207294,0.00125434,0.208589
3,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,24,11,8,5,0,0.000006,0.000007,0.000018,0.000000,1.4128e-05,3.1321e-05,0,4.5449e-05,0.215092,0.00138013,0.216518
4,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,24,11,8,5,0,0.000006,0.000006,0.000016,0.000000,1.2696e-05,2.8719e-05,0,4.1415e-05,0.240618,0.00125441,0.241914
0,eager,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,11,8,5,0,0.000006,0.000009,0.000017,0.000000,1.1068e-05,3.1559e-05,0,4.2627e-05,0.207636,0.0011892,0.208868
1,eager,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,11,8,5,0,0.000006,0.000009,0.000017,0.000000,1.2912e-05,3.194e-05,0,4.4852e-05,0.221809,0.00125965,0.223114
2,eager,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,11,8,5,0,0.000007,0.000009,0.000017,0.000000,1.1662e-05,3.1939e-05,0,4.3601e-05,0.207686,0.00115652,0.208886
3,eager,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,11,8,5,0,0.000006,0.000008,0.000016,0.000000,1.2086e-05,3.0676e-05,0,4.2762e-05,0.210919,0.00124585,0.212207
4,eager,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,11,8,5,0,0.000006,0.000009,0.000017,0.000000,1.2034e-05,3.1512e-05,0,4.3546e-05,0.208591,0.00125066,0.209886
