iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,mapping + tree building time,exec time,post filtering time,total time
0,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,24,11,8,5,0,0.000006,0.000008,0.000017,0.000000,1.4882e-05,3.0983e-05,0,4.5865e-05,0.226873,0.00127651,0.228195
1,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,24,11,8,5,0,0.000007,0.000008,0.000018,0.000000,1.3221e-05,3.3155e-05,0,4.6376e-05,0.232405,0.00145506,0.233906
2,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,24,11,8,5,0,0.000006,0.000006,0.000016,0.000000,1.4756e-05,2.7793e-05,0,4.2549e-05,0.229234,0.00138574,0.230662
3,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,24,11,8,5,0,0.000006,0.000007,0.000017,0.000000,1.4344e-05,3.0332e-05,0,4.4676e-05,0.196176,0.00123171,0.197452
4,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,24,11,8,5,0,0.000006,0.000007,0.000017,0.000000,1.4589e-05,3.0584e-05,0,4.5173e-05,0.197374,0.00156634,0.198985
0,eager,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,11,8,5,0,0.000006,0.000009,0.000020,0.000000,1.341e-05,3.469e-05,0,4.81e-05,0.232052,0.00129984,0.2334
1,eager,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,11,8,5,0,0.000006,0.000010,0.000019,0.000000,1.3804e-05,3.4266e-05,0,4.807e-05,0.230034,0.00123909,0.231321
2,eager,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,11,8,5,0,0.000005,0.000009,0.000018,0.000000,1.2664e-05,3.3066e-05,0,4.573e-05,0.228729,0.00127005,0.230045
3,eager,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,11,8,5,0,0.000007,0.000009,0.000020,0.000000,1.3979e-05,3.4893e-05,0,4.8872e-05,0.21064,0.0012614,0.21195
4,eager,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,11,8,5,0,0.000006,0.000010,0.000018,0.000000,1.4115e-05,3.4359e-05,0,4.8474e-05,0.230131,0.00123254,0.231412
0,additional,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,0,0,0,0,0,0,0,0,1.3664e-05,0,1.567e-05,2.9334e-05,0.228735,0.00126466,0.230032
1,additional,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,0,0,0,0,0,0,0,0,1.4672e-05,0,1.7623e-05,3.2295e-05,0.198644,0.00128494,0.199964
2,additional,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,0,0,0,0,0,0,0,0,1.4102e-05,0,1.759e-05,3.1692e-05,0.230427,0.00125941,0.231721
3,additional,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,0,0,0,0,0,0,0,0,1.5071e-05,0,1.7291e-05,3.2362e-05,0.199838,0.00126417,0.201137
4,additional,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,0,0,0,0,0,0,0,0,1.4338e-05,0,1.5843e-05,3.0181e-05,0.195562,0.00122664,0.196822
0,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,278,234,23,12,8,0.000055,0.000018,0.000040,0.000019,0.000112993,0.000131541,0,0.000244534,0.353971,0.00894385,0.363159
1,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,278,234,23,12,8,0.000056,0.000048,0.000039,0.000019,0.000113041,0.000162609,0,0.00027565,0.352543,0.00882575,0.361644
2,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,278,234,23,12,8,0.000058,0.000018,0.000041,0.000020,0.000112192,0.000137399,0,0.000249591,0.351741,0.00891264,0.360904
3,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,278,234,23,12,8,0.000055,0.000018,0.000043,0.000019,0.000111261,0.000135029,0,0.00024629,0.353031,0.00884751,0.362125
4,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,278,234,23,12,8,0.000056,0.000020,0.000043,0.000019,0.000112303,0.000138474,0,0.000250777,0.351803,0.00907603,0.36113
0,eager,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,234,23,12,8,0.000067,0.000029,0.000043,0.000023,0.000109952,0.000163728,0,0.00027368,0.353519,0.00880559,0.362599
1,eager,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,234,23,12,8,0.000068,0.000028,0.000040,0.000023,0.000106522,0.000160001,0,0.000266523,0.352326,0.00889657,0.361489
