iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,mapping + tree building time,exec time,post filtering time,total time
0,lazy,normal,10,100000,10000,10000,10000,10000,10000,8176,9,5,20,11,9,4,1,0.000005,0.000007,0.000011,0.000004,1.5144e-05,2.6668e-05,0,4.1812e-05,0.0610405,4.81e-07,0.0610828
1,lazy,normal,10,100000,10000,10000,10000,10000,10000,8176,9,5,20,11,9,4,1,0.000005,0.000008,0.000012,0.000004,1.4254e-05,2.852e-05,0,4.2774e-05,0.0589754,3.82e-07,0.0590186
2,lazy,normal,10,100000,10000,10000,10000,10000,10000,8176,9,5,20,11,9,4,1,0.000006,0.000008,0.000012,0.000003,1.683e-05,2.8593e-05,0,4.5423e-05,0.0619909,4.49e-07,0.0620368
3,lazy,normal,10,100000,10000,10000,10000,10000,10000,8176,9,5,20,11,9,4,1,0.000005,0.000008,0.000012,0.000004,1.5621e-05,2.9454e-05,0,4.5075e-05,0.0598667,3.76e-07,0.0599122
4,lazy,normal,10,100000,10000,10000,10000,10000,10000,8176,9,5,20,11,9,4,1,0.000006,0.000007,0.000011,0.000004,1.4764e-05,2.7866e-05,0,4.263e-05,0.0604482,4.05e-07,0.0604912
0,eager,normal,10,100000,10000,10000,10000,10000,10000,8176,9,5,18,11,9,4,1,0.000006,0.000011,0.000014,0.000004,1.3025e-05,3.4454e-05,0,4.7479e-05,0.060946,0.000201674,0.0611952
1,eager,normal,10,100000,10000,10000,10000,10000,10000,8176,9,5,18,11,9,4,1,0.000007,0.000011,0.000014,0.000004,1.4158e-05,3.5895e-05,0,5.0053e-05,0.0626471,0.000199727,0.0628969
2,eager,normal,10,100000,10000,10000,10000,10000,10000,8176,9,5,18,11,9,4,1,0.000006,0.000010,0.000015,0.000004,1.3596e-05,3.5481e-05,0,4.9077e-05,0.061065,0.000182444,0.0612965
3,eager,normal,10,100000,10000,10000,10000,10000,10000,8176,9,5,18,11,9,4,1,0.000001,0.000002,0.000003,0.000001,3.136e-06,7.741e-06,0,1.0877e-05,0.0250296,9.0072e-05,0.0251306
4,eager,normal,10,100000,10000,10000,10000,10000,10000,8176,9,5,18,11,9,4,1,0.000006,0.000010,0.000014,0.000004,1.4211e-05,3.4163e-05,0,4.8374e-05,0.0609317,0.000179398,0.0611595
0,additional,normal,10,100000,10000,10000,10000,10000,10000,8176,9,5,18,0,0,0,0,0,0,0,0,1.4685e-05,0,1.6798e-05,3.1483e-05,0.0616596,0.000187599,0.0618817
1,additional,normal,10,100000,10000,10000,10000,10000,10000,8176,9,5,18,0,0,0,0,0,0,0,0,3.555e-06,0,3.837e-06,7.392e-06,0.024299,9.7123e-05,0.0244041
