iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,mapping + tree building time,exec time,post filtering time,total time
0,lazy,normal,10,100000000,100,100,100,100,100,66,2,1,20,18,3,1,2,0.000008,0.000004,0.000005,0.000008,1.1742e-05,2.4039e-05,0,3.5781e-05,0.000915178,3.893e-06,0.000954852
1,lazy,normal,10,100000000,100,100,100,100,100,66,2,1,20,18,3,1,2,0.000008,0.000003,0.000004,0.000007,1.2062e-05,2.2003e-05,0,3.4065e-05,0.000904307,3.702e-06,0.000942074
2,lazy,normal,10,100000000,100,100,100,100,100,66,2,1,20,18,3,1,2,0.000007,0.000003,0.000005,0.000007,1.076e-05,2.1201e-05,0,3.1961e-05,0.000898773,3.911e-06,0.000934645
3,lazy,normal,10,100000000,100,100,100,100,100,66,2,1,20,18,3,1,2,0.000007,0.000003,0.000005,0.000007,1.024e-05,2.1912e-05,0,3.2152e-05,0.000906298,3.859e-06,0.000942309
4,lazy,normal,10,100000000,100,100,100,100,100,66,2,1,20,18,3,1,2,0.000007,0.000003,0.000004,0.000007,1.0968e-05,2.1343e-05,0,3.2311e-05,0.00088489,3.762e-06,0.000920963
0,eager,normal,10,100000000,100,100,100,100,100,66,2,1,20,18,3,1,2,0.000008,0.000005,0.000005,0.000009,9.795e-06,2.7549e-05,0,3.7344e-05,0.000886505,3.278e-06,0.000927127
1,eager,normal,10,100000000,100,100,100,100,100,66,2,1,20,18,3,1,2,0.000009,0.000004,0.000005,0.000009,1.0626e-05,2.6273e-05,0,3.6899e-05,0.000930992,3.079e-06,0.00097097
2,eager,normal,10,100000000,100,100,100,100,100,66,2,1,20,18,3,1,2,0.000008,0.000004,0.000005,0.000008,1.0551e-05,2.4678e-05,0,3.5229e-05,0.000899509,3.117e-06,0.000937855
3,eager,normal,10,100000000,100,100,100,100,100,66,2,1,20,18,3,1,2,0.000008,0.000005,0.000005,0.000008,1.058e-05,2.5824e-05,0,3.6404e-05,0.000893168,3.32e-06,0.000932892
4,eager,normal,10,100000000,100,100,100,100,100,66,2,1,20,18,3,1,2,0.000008,0.000004,0.000005,0.000008,1.0738e-05,2.4742e-05,0,3.548e-05,0.000959562,3.367e-06,0.000998409
0,additional,normal,10,100000000,100,100,100,100,100,66,2,1,20,0,0,0,0,0,0,0,0,1.1052e-05,0,1.0107e-05,2.1159e-05,0.000894653,3.281e-06,0.00092208
1,additional,normal,10,100000000,100,100,100,100,100,66,2,1,20,0,0,0,0,0,0,0,0,1.0515e-05,0,9.887e-06,2.0402e-05,0.000885691,3.28e-06,0.000912351
2,additional,normal,10,100000000,100,100,100,100,100,66,2,1,20,0,0,0,0,0,0,0,0,1.2228e-05,0,9.97e-06,2.2198e-05,0.000886175,3.681e-06,0.000914863
3,additional,normal,10,100000000,100,100,100,100,100,66,2,1,20,0,0,0,0,0,0,0,0,1.1813e-05,0,9.812e-06,2.1625e-05,0.000885753,3.141e-06,0.000913455
4,additional,normal,10,100000000,100,100,100,100,100,66,2,1,20,0,0,0,0,0,0,0,0,1.0547e-05,0,9.651e-06,2.0198e-05,0.000896827,3.38e-06,0.000923302
0,lazy,normal,100,100000000,100,100,100,100,100,76,8,5,251,198,9,4,2,0.000042,0.000007,0.000036,0.000007,6.1335e-05,9.191e-05,0,0.000153245,0.003474,3.41e-05,0.00366135
1,lazy,normal,100,100000000,100,100,100,100,100,76,8,5,251,198,9,4,2,0.000046,0.000007,0.000038,0.000006,6.0541e-05,9.7519e-05,0,0.00015806,0.00280264,1.1149e-05,0.00297184
2,lazy,normal,100,100000000,100,100,100,100,100,76,8,5,251,198,9,4,2,0.000044,0.000008,0.000041,0.000006,6.0978e-05,9.919e-05,0,0.000160168,0.00300316,2.2853e-05,0.00318618
3,lazy,normal,100,100000000,100,100,100,100,100,76,8,5,251,198,9,4,2,0.000045,0.000007,0.000038,0.000008,6.0998e-05,9.7284e-05,0,0.000158282,0.00341268,3.3566e-05,0.00360453
4,lazy,normal,100,100000000,100,100,100,100,100,76,8,5,251,198,9,4,2,0.000043,0.000007,0.000039,0.000006,6.1258e-05,9.5104e-05,0,0.000156362,0.00343292,3.3154e-05,0.00362243
0,eager,normal,100,100000000,100,100,100,100,100,76,8,5,206,198,9,4,2,0.000051,0.000012,0.000023,0.000008,6.2267e-05,9.4326e-05,0,0.000156593,0.00310274,8.638e-06,0.00326797
1,eager,normal,100,100000000,100,100,100,100,100,76,8,5,206,198,9,4,2,0.000050,0.000014,0.000024,0.000009,6.1412e-05,9.6368e-05,0,0.00015778,0.00342033,2.6234e-05,0.00360434
2,eager,normal,100,100000000,100,100,100,100,100,76,8,5,206,198,9,4,2,0.000044,0.000012,0.000021,0.000009,6.1888e-05,8.6153e-05,0,0.000148041,0.00341076,2.5984e-05,0.00358478
3,eager,normal,100,100000000,100,100,100,100,100,76,8,5,206,198,9,4,2,0.000048,0.000013,0.000023,0.000010,6.2604e-05,9.2587e-05,0,0.000155191,0.00341639,2.5771e-05,0.00359735
4,eager,normal,100,100000000,100,100,100,100,100,76,8,5,206,198,9,4,2,0.000045,0.000012,0.000023,0.000008,6.2324e-05,8.7321e-05,0,0.000149645,0.00343919,2.5965e-05,0.0036148
0,additional,normal,100,100000000,100,100,100,100,100,76,8,5,206,0,0,0,0,0,0,0,0,6.0289e-05,0,4.4174e-05,0.000104463,0.00338762,2.6454e-05,0.0035379
1,additional,normal,100,100000000,100,100,100,100,100,76,8,5,206,0,0,0,0,0,0,0,0,6.122e-05,0,4.4686e-05,0.000105906,0.00342708,2.6669e-05,0.0035787
2,additional,normal,100,100000000,100,100,100,100,100,76,8,5,206,0,0,0,0,0,0,0,0,6.2265e-05,0,4.5185e-05,0.00010745,0.00342966,2.644e-05,0.00358279
3,additional,normal,100,100000000,100,100,100,100,100,76,8,5,206,0,0,0,0,0,0,0,0,6.1722e-05,0,4.455e-05,0.000106272,0.00342735,2.679e-05,0.00357964
4,additional,normal,100,100000000,100,100,100,100,100,76,8,5,206,0,0,0,0,0,0,0,0,6.0273e-05,0,4.4342e-05,0.000104615,0.0034019,2.6185e-05,0.00355185
0,lazy,normal,1000,100000000,100,100,100,100,100,83,36,12,2144,2057,38,14,3,0.000354,0.000032,0.000068,0.000010,0.000543469,0.000464088,0,0.00100756,0.016629,0.000314761,0.0179513
1,lazy,normal,1000,100000000,100,100,100,100,100,83,36,12,2144,2057,38,14,3,0.000403,0.000032,0.000068,0.000011,0.00054755,0.000514667,0,0.00106222,0.00651493,6.9073e-05,0.00764622
2,lazy,normal,1000,100000000,100,100,100,100,100,83,36,12,2144,2057,38,14,3,0.000417,0.000035,0.000067,0.000013,0.000546726,0.000532218,0,0.00107894,0.0061922,6.9418e-05,0.00734056
3,lazy,normal,1000,100000000,100,100,100,100,100,83,36,12,2144,2057,38,14,3,0.000090,0.000007,0.000014,0.000002,0.000114059,0.000113992,0,0.000228051,0.00362884,8.4619e-05,0.00394151
4,lazy,normal,1000,100000000,100,100,100,100,100,83,36,12,2144,2057,38,14,3,0.000364,0.000033,0.000071,0.000010,0.000554094,0.00047753,0,0.00103162,0.0165843,0.000313842,0.0179298
