iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,mapping + tree building time,exec time,post filtering time,total time
0,additional,normal,10,100000000,100,100,100,100,100,100,10,5,10,0,0,0,0,0,0,0,0,1.0671e-05,0,1.5102e-05,2.5773e-05,0.00269481,4.687e-06,0.00272748
1,additional,normal,10,100000000,100,100,100,100,100,100,10,5,10,0,0,0,0,0,0,0,0,7.661e-06,0,9.99e-06,1.7651e-05,0.00189398,3.452e-06,0.00191656
2,additional,normal,10,100000000,100,100,100,100,100,100,10,5,10,0,0,0,0,0,0,0,0,1.1392e-05,0,1.567e-05,2.7062e-05,0.00272881,5.467e-06,0.00276352
0,additional,normal,1010,100000000,100,100,100,100,100,100,1010,16,1010,0,0,0,0,0,0,0,0,0.000242484,0,0.000259947,0.000502431,0.0583977,0.000167644,0.0591037
1,additional,normal,1010,100000000,100,100,100,100,100,100,1010,16,1010,0,0,0,0,0,0,0,0,0.00113544,0,0.0012212,0.00235664,0.0871316,0.000199088,0.0898574
2,additional,normal,1010,100000000,100,100,100,100,100,100,1010,16,1010,0,0,0,0,0,0,0,0,0.000809403,0,0.000235642,0.00104505,0.0543673,0.00012619,0.0556584
0,additional,normal,2010,100000000,100,100,100,100,100,99,2010,18,2018,0,0,0,0,0,0,0,0,0.00274004,0,0.00379279,0.00653283,0.137202,0.000439471,0.144565
1,additional,normal,2010,100000000,100,100,100,100,100,99,2010,18,2018,0,0,0,0,0,0,0,0,0.00129004,0,0.00196795,0.00325799,0.134439,0.000484891,0.138374
2,additional,normal,2010,100000000,100,100,100,100,100,99,2010,18,2018,0,0,0,0,0,0,0,0,0.000488527,0,0.000571264,0.00105979,0.10709,0.000339379,0.108559
0,additional,normal,3010,100000000,100,100,100,100,100,99,3010,20,3028,0,0,0,0,0,0,0,0,0.000835818,0,0.000962138,0.00179796,0.164568,0.000508254,0.166981
1,additional,normal,3010,100000000,100,100,100,100,100,99,3010,20,3028,0,0,0,0,0,0,0,0,0.000786973,0,0.000930569,0.00171754,0.180448,0.00060802,0.182878
2,additional,normal,3010,100000000,100,100,100,100,100,99,3010,20,3028,0,0,0,0,0,0,0,0,0.000841207,0,0.000930371,0.00177158,0.163737,0.000508341,0.166134
0,additional,normal,4010,100000000,100,100,100,100,100,99,4010,21,4044,0,0,0,0,0,0,0,0,0.00288057,0,0.00321404,0.0060946,0.240102,0.000814114,0.247349
1,additional,normal,4010,100000000,100,100,100,100,100,99,4010,21,4044,0,0,0,0,0,0,0,0,0.00157108,0,0.00179036,0.00336144,0.217314,0.00069945,0.221568
2,additional,normal,4010,100000000,100,100,100,100,100,99,4010,21,4044,0,0,0,0,0,0,0,0,0.00572164,0,0.00632068,0.0120423,0.243152,0.000896324,0.256774
0,additional,normal,5010,100000000,100,100,100,100,100,99,5010,22,5068,0,0,0,0,0,0,0,0,0.00710022,0,0.00842071,0.0155209,0.265105,0.000808201,0.282315
1,additional,normal,5010,100000000,100,100,100,100,100,99,5010,22,5068,0,0,0,0,0,0,0,0,0.00720434,0,0.00958427,0.0167886,0.27899,0.000844144,0.297469
2,additional,normal,5010,100000000,100,100,100,100,100,99,5010,22,5068,0,0,0,0,0,0,0,0,0.00144488,0,0.0017663,0.00321118,0.259302,0.000801058,0.263493
0,additional,normal,6010,100000000,100,100,100,100,100,99,6010,23,6094,0,0,0,0,0,0,0,0,0.00215367,0,0.00240886,0.00456252,0.310616,0.000909969,0.316342
1,additional,normal,6010,100000000,100,100,100,100,100,99,6010,23,6094,0,0,0,0,0,0,0,0,0.00871786,0,0.0102112,0.0189291,0.325413,0.000964754,0.346323
2,additional,normal,6010,100000000,100,100,100,100,100,99,6010,23,6094,0,0,0,0,0,0,0,0,0.00862246,0,0.0103328,0.0189552,0.324371,0.000969571,0.345311
0,additional,normal,7010,100000000,100,100,100,100,100,99,7010,23,7122,0,0,0,0,0,0,0,0,0.00575117,0,0.0025413,0.00829247,0.357714,0.00109279,0.36781
1,additional,normal,7010,100000000,100,100,100,100,100,99,7010,23,7122,0,0,0,0,0,0,0,0,0.0105283,0,0.0122788,0.0228071,0.364563,0.00112519,0.389679
2,additional,normal,7010,100000000,100,100,100,100,100,99,7010,23,7122,0,0,0,0,0,0,0,0,0.00213765,0,0.00253523,0.00467288,0.361138,0.00114136,0.3672
0,additional,normal,8010,100000000,100,100,100,100,100,99,8010,23,8152,0,0,0,0,0,0,0,0,0.0120565,0,0.0142452,0.0263017,0.428788,0.00127854,0.457728
1,additional,normal,8010,100000000,100,100,100,100,100,99,8010,23,8152,0,0,0,0,0,0,0,0,0.0120618,0,0.0121676,0.0242295,0.418597,0.00126935,0.445456
2,additional,normal,8010,100000000,100,100,100,100,100,99,8010,23,8152,0,0,0,0,0,0,0,0,0.0029361,0,0.00288415,0.00582025,0.406816,0.00128668,0.414275
0,additional,normal,9010,100000000,100,100,100,100,100,99,9010,23,9182,0,0,0,0,0,0,0,0,0.00318138,0,0.00345948,0.00664086,0.463478,0.0014543,0.471943
1,additional,normal,9010,100000000,100,100,100,100,100,99,9010,23,9182,0,0,0,0,0,0,0,0,0.0139406,0,0.0144303,0.0283709,0.469756,0.00147695,0.501128
2,additional,normal,9010,100000000,100,100,100,100,100,99,9010,23,9182,0,0,0,0,0,0,0,0,0.0136493,0,0.0149964,0.0286457,0.465025,0.00151332,0.496745
0,additional,normal,10010,100000000,100,100,100,100,100,99,10010,23,10228,0,0,0,0,0,0,0,0,0.00444675,0,0.00394962,0.00839638,0.513071,0.00165347,0.523614
1,additional,normal,10010,100000000,100,100,100,100,100,99,10010,23,10228,0,0,0,0,0,0,0,0,0.00674637,0,0.00390428,0.0106507,0.510674,0.00161902,0.52375
2,additional,normal,10010,100000000,100,100,100,100,100,99,10010,23,10228,0,0,0,0,0,0,0,0,0.0067785,0,0.00392078,0.0106993,0.508351,0.00161343,0.521472
0,additional,normal,11010,100000000,100,100,100,100,100,99,11009,24,11275,0,0,0,0,0,0,0,0,0.0177778,0,0.0165256,0.0343035,0.5659,0.00180227,0.603889
1,additional,normal,11010,100000000,100,100,100,100,100,99,11009,24,11275,0,0,0,0,0,0,0,0,0.00369383,0,0.00469345,0.00838728,0.563143,0.00177257,0.573694
2,additional,normal,11010,100000000,100,100,100,100,100,99,11009,24,11275,0,0,0,0,0,0,0,0,0.0172722,0,0.0153653,0.0326376,0.564782,0.00175076,0.601053
0,additional,normal,12010,100000000,100,100,100,100,100,99,12009,24,12319,0,0,0,0,0,0,0,0,0.00396376,0,0.00507618,0.00903994,0.617409,0.00193648,0.628811
1,additional,normal,12010,100000000,100,100,100,100,100,99,12009,24,12319,0,0,0,0,0,0,0,0,0.019075,0,0.0157734,0.0348483,0.652202,0.00198667,0.691059
2,additional,normal,12010,100000000,100,100,100,100,100,99,12009,24,12319,0,0,0,0,0,0,0,0,0.0187909,0,0.0165366,0.0353275,0.617603,0.0019554,0.656995
