iter,strategy,distribution,num queries,domain,leaf len,range size,max query value,min query value,avg query value,avg node len,min node len,max node len,leaf nodes,tree depth,indexing time (s)
0,lazy,normal,10,100000000,100,100,100,100,100,100,100,100,10,5,6.723e-06
1,lazy,normal,10,100000000,100,100,100,100,100,100,100,100,10,5,7.035e-06
0,lazy,normal,110,100000000,100,100,100,100,100,100,100,100,110,12,5.0663e-05
1,lazy,normal,110,100000000,100,100,100,100,100,100,100,100,110,12,5.2381e-05
0,lazy,normal,210,100000000,100,100,100,100,100,100,100,100,210,12,9.5195e-05
1,lazy,normal,210,100000000,100,100,100,100,100,100,100,100,210,12,9.5562e-05
0,lazy,normal,310,100000000,100,100,100,100,100,100,100,100,310,14,0.000142372
1,lazy,normal,310,100000000,100,100,100,100,100,100,100,100,310,14,0.00015843
0,lazy,normal,410,100000000,100,100,100,100,100,100,100,100,410,14,0.000194589
1,lazy,normal,410,100000000,100,100,100,100,100,100,100,100,410,14,0.000197587
0,lazy,normal,510,100000000,100,100,100,100,100,100,100,100,510,14,0.000236445
1,lazy,normal,510,100000000,100,100,100,100,100,100,100,100,510,14,0.000234607
0,lazy,normal,610,100000000,100,100,100,100,100,100,100,100,610,16,0.000299589
1,lazy,normal,610,100000000,100,100,100,100,100,100,100,100,610,16,0.000301562
0,lazy,normal,710,100000000,100,100,100,100,100,100,100,100,710,16,0.000349264
1,lazy,normal,710,100000000,100,100,100,100,100,100,100,100,710,16,0.00035169
0,lazy,normal,810,100000000,100,100,100,100,100,100,100,100,810,16,0.000410489
1,lazy,normal,810,100000000,100,100,100,100,100,100,100,100,810,16,0.000403421
0,lazy,normal,910,100000000,100,100,100,100,100,100,100,100,910,16,0.000454482
1,lazy,normal,910,100000000,100,100,100,100,100,100,100,100,910,16,0.000457032
0,lazy,normal,1010,100000000,100,100,100,100,100,100,100,100,1010,16,0.00050743
1,lazy,normal,1010,100000000,100,100,100,100,100,100,100,100,1010,16,0.000509795
0,lazy,normal,1110,100000000,100,100,100,100,100,100,100,100,1110,16,0.000570051
1,lazy,normal,1110,100000000,100,100,100,100,100,100,100,100,1110,16,0.000569583
0,lazy,normal,1210,100000000,100,100,100,100,100,99,76,100,1210,17,0.000629403
