iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,mapping + tree building time,exec time,post filtering time,total time
0,additional,normal,10,100000000,100,100,100,100,100,100,10,9,10,0,0,0,0,0,0,0,0,1.2961e-05,0,1.392e-05,2.6881e-05,0.00239316,5.82e-06,0.00242892
1,additional,normal,10,100000000,100,100,100,100,100,100,10,9,10,0,0,0,0,0,0,0,0,1.3263e-05,0,1.6111e-05,2.9374e-05,0.00243881,6.416e-06,0.00247766
2,additional,normal,10,100000000,100,100,100,100,100,100,10,9,10,0,0,0,0,0,0,0,0,1.2382e-05,0,1.4739e-05,2.7121e-05,0.00270782,9.822e-06,0.00274783
0,additional,normal,1010,100000000,100,100,100,100,100,100,1010,1009,1010,0,0,0,0,0,0,0,0,0.0223675,0,0.000852616,0.0232201,0.060265,0.000157829,0.0839162
1,additional,normal,1010,100000000,100,100,100,100,100,100,1010,1009,1010,0,0,0,0,0,0,0,0,0.00648956,0,0.000308994,0.00679855,0.0536212,0.000138458,0.0606244
2,additional,normal,1010,100000000,100,100,100,100,100,100,1010,1009,1010,0,0,0,0,0,0,0,0,0.0113479,0,0.000595595,0.0119435,0.0562727,0.0001421,0.0684932
0,additional,normal,2010,100000000,100,100,100,100,100,100,2010,2009,2010,0,0,0,0,0,0,0,0,0.0171339,0,0.000535514,0.0176694,0.0920606,0.000223957,0.110063
1,additional,normal,2010,100000000,100,100,100,100,100,100,2010,2009,2010,0,0,0,0,0,0,0,0,0.0514572,0,0.000724103,0.0521813,0.0942099,0.000232425,0.147043
2,additional,normal,2010,100000000,100,100,100,100,100,100,2010,2009,2010,0,0,0,0,0,0,0,0,0.047363,0,0.000834438,0.0481975,0.100479,0.000279742,0.149337
0,additional,normal,3010,100000000,100,100,100,100,100,100,3010,3009,3010,0,0,0,0,0,0,0,0,0.0544205,0,0.000918951,0.0553395,0.149248,0.000426374,0.20524
1,additional,normal,3010,100000000,100,100,100,100,100,100,3010,3009,3010,0,0,0,0,0,0,0,0,0.0585322,0,0.000813155,0.0593453,0.135352,0.000304809,0.195289
2,additional,normal,3010,100000000,100,100,100,100,100,100,3010,3009,3010,0,0,0,0,0,0,0,0,0.0408455,0,0.000816411,0.0416619,0.133231,0.00031467,0.175479
0,additional,normal,4010,100000000,100,100,100,100,100,100,4010,4009,4010,0,0,0,0,0,0,0,0,0.070646,0,0.00111087,0.0717569,0.181101,0.000411819,0.253545
1,additional,normal,4010,100000000,100,100,100,100,100,100,4010,4009,4010,0,0,0,0,0,0,0,0,0.106605,0,0.0010988,0.107704,0.178869,0.000417889,0.287543
2,additional,normal,4010,100000000,100,100,100,100,100,100,4010,4009,4010,0,0,0,0,0,0,0,0,0.0721207,0,0.00111493,0.0732356,0.178035,0.000394451,0.251993
0,additional,normal,5010,100000000,100,100,100,100,100,100,5010,5009,5010,0,0,0,0,0,0,0,0,0.113449,0,0.00139034,0.114839,0.22219,0.000507737,0.337944
1,additional,normal,5010,100000000,100,100,100,100,100,100,5010,5009,5010,0,0,0,0,0,0,0,0,0.109779,0,0.00139509,0.111174,0.222676,0.000535318,0.334751
2,additional,normal,5010,100000000,100,100,100,100,100,100,5010,5009,5010,0,0,0,0,0,0,0,0,0.113206,0,0.00142101,0.114627,0.226422,0.000513499,0.341943
0,additional,normal,6010,100000000,100,100,100,100,100,100,6010,6009,6010,0,0,0,0,0,0,0,0,0.165432,0,0.00174571,0.167178,0.270063,0.0006926,0.438508
1,additional,normal,6010,100000000,100,100,100,100,100,100,6010,6009,6010,0,0,0,0,0,0,0,0,0.157805,0,0.00177393,0.159579,0.266122,0.000633231,0.426728
2,additional,normal,6010,100000000,100,100,100,100,100,100,6010,6009,6010,0,0,0,0,0,0,0,0,0.161966,0,0.00170299,0.163669,0.269182,0.000613673,0.43392
0,additional,normal,7010,100000000,100,100,100,100,100,100,7010,7009,7010,0,0,0,0,0,0,0,0,0.258568,0,0.00212128,0.260689,0.312944,0.000717902,0.575093
1,additional,normal,7010,100000000,100,100,100,100,100,100,7010,7009,7010,0,0,0,0,0,0,0,0,0.223259,0,0.00221689,0.225476,0.311366,0.000761248,0.538153
2,additional,normal,7010,100000000,100,100,100,100,100,100,7010,7009,7010,0,0,0,0,0,0,0,0,0.218107,0,0.00208253,0.220189,0.314447,0.000735608,0.535873
0,additional,normal,8010,100000000,100,100,100,100,100,100,8010,8009,8010,0,0,0,0,0,0,0,0,0.31875,0,0.00235338,0.321103,0.361124,0.000881571,0.683917
1,additional,normal,8010,100000000,100,100,100,100,100,100,8010,8009,8010,0,0,0,0,0,0,0,0,0.291139,0,0.00240828,0.293547,0.356572,0.000819504,0.651506
2,additional,normal,8010,100000000,100,100,100,100,100,100,8010,8009,8010,0,0,0,0,0,0,0,0,0.290043,0,0.00240133,0.292445,0.359808,0.000826498,0.653749
0,additional,normal,9010,100000000,100,100,100,100,100,100,9010,9009,9010,0,0,0,0,0,0,0,0,0.365994,0,0.00274206,0.368736,0.403095,0.000964051,0.773472
1,additional,normal,9010,100000000,100,100,100,100,100,100,9010,9009,9010,0,0,0,0,0,0,0,0,0.369412,0,0.00271965,0.372132,0.410707,0.000950892,0.784433
2,additional,normal,9010,100000000,100,100,100,100,100,100,9010,9009,9010,0,0,0,0,0,0,0,0,0.371823,0,0.00278017,0.374603,0.403477,0.000922918,0.779712
0,additional,normal,10010,100000000,100,100,100,100,100,100,10010,10009,10010,0,0,0,0,0,0,0,0,0.454068,0,0.00309651,0.457165,0.445619,0.00101407,0.904514
1,additional,normal,10010,100000000,100,100,100,100,100,100,10010,10009,10010,0,0,0,0,0,0,0,0,0.451716,0,0.00307947,0.454795,0.446344,0.00108986,0.902922
2,additional,normal,10010,100000000,100,100,100,100,100,100,10010,10009,10010,0,0,0,0,0,0,0,0,0.444953,0,0.00308919,0.448042,0.447699,0.00111651,0.897544
0,additional,normal,11010,100000000,100,100,100,100,100,100,11010,11009,11010,0,0,0,0,0,0,0,0,0.554388,0,0.00336635,0.557754,0.491709,0.0011718,1.05141
1,additional,normal,11010,100000000,100,100,100,100,100,100,11010,11009,11010,0,0,0,0,0,0,0,0,0.589037,0,0.00342773,0.592465,0.491031,0.00118286,1.08568
2,additional,normal,11010,100000000,100,100,100,100,100,100,11010,11009,11010,0,0,0,0,0,0,0,0,0.549144,0,0.00344161,0.552585,0.499608,0.00121205,1.05415
0,additional,normal,12010,100000000,100,100,100,100,100,100,12010,12009,12010,0,0,0,0,0,0,0,0,0.689651,0,0.00378539,0.693436,0.538865,0.00130305,1.23466
1,additional,normal,12010,100000000,100,100,100,100,100,100,12010,12009,12010,0,0,0,0,0,0,0,0,0.642267,0,0.00380264,0.646069,0.539947,0.00128743,1.18803
2,additional,normal,12010,100000000,100,100,100,100,100,100,12010,12009,12010,0,0,0,0,0,0,0,0,0.667314,0,0.00389179,0.671205,0.547065,0.00133039,1.22051
0,additional,normal,13010,100000000,100,100,100,100,100,100,13010,13009,13010,0,0,0,0,0,0,0,0,0.774863,0,0.00411843,0.778981,0.586486,0.00138536,1.36775
1,additional,normal,13010,100000000,100,100,100,100,100,100,13010,13009,13010,0,0,0,0,0,0,0,0,0.777289,0,0.00412927,0.781418,0.586324,0.00133752,1.37012
2,additional,normal,13010,100000000,100,100,100,100,100,100,13010,13009,13010,0,0,0,0,0,0,0,0,0.782489,0,0.00410479,0.786594,0.584108,0.00140541,1.37301
0,additional,normal,14010,100000000,100,100,100,100,100,100,14010,14009,14010,0,0,0,0,0,0,0,0,0.875404,0,0.00463236,0.880037,0.630752,0.00149196,1.51323
1,additional,normal,14010,100000000,100,100,100,100,100,100,14010,14009,14010,0,0,0,0,0,0,0,0,0.893083,0,0.00449123,0.897574,0.639893,0.00148384,1.53987
