iter,distribution,num queries,strategy,domain,leaf size,range size,avg node range,num leafs,tree depth,tree building,query mapping,post filtering,db execution,total time
0,normal,10,lazy,1000000,100000,100000,75876,8,4,1.3348e-05,4.1184e-05,0.0196005,0.257956,0.277611
1,normal,10,lazy,1000000,100000,100000,75876,8,4,1.4227e-05,4.1461e-05,0.0193806,0.227906,0.247343
2,normal,10,lazy,1000000,100000,100000,75876,8,4,1.4241e-05,4.1009e-05,0.0193154,0.221227,0.240598
3,normal,10,lazy,1000000,100000,100000,75876,8,4,1.3474e-05,4.098e-05,0.0192224,0.220543,0.23982
4,normal,10,lazy,1000000,100000,100000,75876,8,4,1.3435e-05,4.0949e-05,0.0195303,0.22285,0.242435
0,normal,10,eager,1000000,100000,100000,75876,8,4,1.2704e-05,4.891e-05,0.01954,0.220942,0.240544
1,normal,10,eager,1000000,100000,100000,75876,8,4,1.2354e-05,5.3615e-05,0.0198774,0.220229,0.240173
2,normal,10,eager,1000000,100000,100000,75876,8,4,1.2409e-05,5.2503e-05,0.019668,0.221457,0.24119
3,normal,10,eager,1000000,100000,100000,75876,8,4,1.3664e-05,5.0305e-05,0.0193987,0.220168,0.23963
4,normal,10,eager,1000000,100000,100000,75876,8,4,1.2239e-05,5.1302e-05,0.0198262,0.257179,0.277069
0,normal,10,additional,1000000,100000,100000,75876,8,4,1.3215e-05,2.1122e-05,0.0199908,0.221676,0.241701
1,normal,10,additional,1000000,100000,100000,75876,8,4,1.3289e-05,2.1951e-05,0.0208119,0.222063,0.24291
2,normal,10,additional,1000000,100000,100000,75876,8,4,1.3035e-05,1.9841e-05,0.0197526,0.225775,0.24556
3,normal,10,additional,1000000,100000,100000,75876,8,4,1.3858e-05,2.0927e-05,0.0198654,0.225982,0.245883
4,normal,10,additional,1000000,100000,100000,75876,8,4,1.2906e-05,2.287e-05,0.0198053,0.221054,0.240895
0,normal,100,lazy,1000000,100000,100000,64961,15,6,0.000105896,0.000197548,0.188691,0.352461,0.541456
1,normal,100,lazy,1000000,100000,100000,64961,15,6,0.000107148,0.000196404,0.188075,0.389911,0.578289
2,normal,100,lazy,1000000,100000,100000,64961,15,6,0.000137692,0.000201907,0.190375,0.35487,0.545585
3,normal,100,lazy,1000000,100000,100000,64961,15,6,0.000108317,0.000204028,0.187901,0.35483,0.543043
4,normal,100,lazy,1000000,100000,100000,64961,15,6,0.000107819,0.000196283,0.188869,0.353447,0.54262
0,normal,100,eager,1000000,100000,100000,64961,15,6,0.000101435,0.000252946,0.191991,0.385731,0.578077
1,normal,100,eager,1000000,100000,100000,64961,15,6,0.000101147,0.000260887,0.190872,0.352674,0.543909
2,normal,100,eager,1000000,100000,100000,64961,15,6,0.000102084,0.000275742,0.188677,0.35201,0.541064
3,normal,100,eager,1000000,100000,100000,64961,15,6,0.000103952,0.000260857,0.189623,0.352132,0.54212
4,normal,100,eager,1000000,100000,100000,64961,15,6,0.00010441,0.000257718,0.19018,0.353308,0.543851
0,normal,100,additional,1000000,100000,100000,64961,15,6,0.00010086,7.9887e-05,0.194226,0.352868,0.547275
1,normal,100,additional,1000000,100000,100000,64961,15,6,0.000102227,7.9986e-05,0.193277,0.351132,0.544591
2,normal,100,additional,1000000,100000,100000,64961,15,6,0.000104613,8.1035e-05,0.19385,0.351862,0.545897
3,normal,100,additional,1000000,100000,100000,64961,15,6,0.000102252,8.2001e-05,0.191709,0.392544,0.584438
4,normal,100,additional,1000000,100000,100000,64961,15,6,0.000102631,7.928e-05,0.193661,0.359078,0.552921
0,normal,1000,lazy,1000000,100000,100000,62411,16,6,0.000802709,0.000619554,1.86417,0.360159,2.22575
1,normal,1000,lazy,1000000,100000,100000,62411,16,6,0.000796879,0.000583621,1.86665,0.36023,2.22826
2,normal,1000,lazy,1000000,100000,100000,62411,16,6,0.000830185,0.000574329,1.85904,0.359115,2.21956
3,normal,1000,lazy,1000000,100000,100000,62411,16,6,0.000800783,0.000586142,1.86498,0.361414,2.22778
4,normal,1000,lazy,1000000,100000,100000,62411,16,6,0.000796218,0.000572911,1.86525,0.394492,2.26111
0,normal,1000,eager,1000000,100000,100000,62411,16,6,0.000825063,0.000854202,1.88604,0.357976,2.2457
1,normal,1000,eager,1000000,100000,100000,62411,16,6,0.000801007,0.00086752,1.87882,0.394198,2.27469
2,normal,1000,eager,1000000,100000,100000,62411,16,6,0.000798046,0.000822052,1.87036,0.359742,2.23172
