iter,distribution,num queries,strategy,domain,leaf size,range size,avg node range,num leafs,tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops, mapping share ops, mapping merge ops,mapping insert time, mapping transfer time, mapping share time, mapping merge time, mapping total time, additional tree time, tree building time, mapping + tree building time,post filtering time,db execution time,total time
0,normal,10,lazy,1000000,100000,100000,75876,8,4,21,12,7,4,0,0.000009,0.000010,0.000014,0.000000,3.1774e-05,0,1.4089e-05,4.5863e-05,0.0196143,0.217856,0.237516
1,normal,10,lazy,1000000,100000,100000,75876,8,4,21,12,7,4,0,0.000008,0.000009,0.000015,0.000000,3.201e-05,0,1.3402e-05,4.5412e-05,0.0195773,0.217261,0.236884
2,normal,10,lazy,1000000,100000,100000,75876,8,4,21,12,7,4,0,0.000007,0.000008,0.000012,0.000000,2.7354e-05,0,1.3258e-05,4.0612e-05,0.019573,0.21835,0.237964
3,normal,10,lazy,1000000,100000,100000,75876,8,4,21,12,7,4,0,0.000007,0.000009,0.000014,0.000000,3.0073e-05,0,1.2681e-05,4.2754e-05,0.019467,0.21815,0.23766
4,normal,10,lazy,1000000,100000,100000,75876,8,4,21,12,7,4,0,0.000007,0.000009,0.000013,0.000000,2.9241e-05,0,1.3299e-05,4.254e-05,0.0196001,0.218459,0.238102
0,normal,10,eager,1000000,100000,100000,75876,8,4,20,12,7,4,0,0.000008,0.000010,0.000019,0.000000,3.8132e-05,0,1.0899e-05,4.9031e-05,0.0198475,0.218992,0.238889
1,normal,10,eager,1000000,100000,100000,75876,8,4,20,12,7,4,0,0.000009,0.000011,0.000018,0.000000,3.7721e-05,0,1.1292e-05,4.9013e-05,0.0193594,0.218197,0.237605
2,normal,10,eager,1000000,100000,100000,75876,8,4,20,12,7,4,0,0.000008,0.000010,0.000019,0.000000,3.7175e-05,0,1.1345e-05,4.852e-05,0.0192789,0.218257,0.237584
3,normal,10,eager,1000000,100000,100000,75876,8,4,20,12,7,4,0,0.000007,0.000010,0.000020,0.000000,3.7025e-05,0,1.1405e-05,4.843e-05,0.0194323,0.219538,0.239018
4,normal,10,eager,1000000,100000,100000,75876,8,4,20,12,7,4,0,0.000009,0.000010,0.000020,0.000000,4.0124e-05,0,1.3332e-05,5.3456e-05,0.0194319,0.218823,0.238308
0,normal,10,additional,1000000,100000,100000,75876,8,4,20,0,0,0,0,0,0,0,0,0,2.1653e-05,1.4196e-05,3.5849e-05,0.0195098,0.221201,0.240728
1,normal,10,additional,1000000,100000,100000,75876,8,4,20,0,0,0,0,0,0,0,0,0,2.0218e-05,1.2488e-05,3.2706e-05,0.0197256,0.224981,0.244722
2,normal,10,additional,1000000,100000,100000,75876,8,4,20,0,0,0,0,0,0,0,0,0,2.087e-05,1.5125e-05,3.5995e-05,0.0197795,0.221295,0.241093
3,normal,10,additional,1000000,100000,100000,75876,8,4,20,0,0,0,0,0,0,0,0,0,2.1015e-05,1.3267e-05,3.4282e-05,0.0195212,0.221241,0.240778
4,normal,10,additional,1000000,100000,100000,75876,8,4,20,0,0,0,0,0,0,0,0,0,2.152e-05,4.0752e-05,6.2272e-05,0.01997,0.220216,0.24023
0,normal,100,lazy,1000000,100000,100000,64961,15,6,282,231,21,11,7,0.000058,0.000020,0.000049,0.000019,0.0001455,0,0.000105864,0.000251364,0.190721,0.382698,0.57367
1,normal,100,lazy,1000000,100000,100000,64961,15,6,282,231,21,11,7,0.000057,0.000020,0.000049,0.000018,0.000143247,0,0.000106708,0.000249955,0.190554,0.347167,0.537971
2,normal,100,lazy,1000000,100000,100000,64961,15,6,282,231,21,11,7,0.000057,0.000018,0.000050,0.000017,0.000142762,0,0.000108635,0.000251397,0.189985,0.347513,0.537749
3,normal,100,lazy,1000000,100000,100000,64961,15,6,282,231,21,11,7,0.000061,0.000021,0.000051,0.000019,0.00015312,0,0.000106322,0.000259442,0.191427,0.347952,0.539638
4,normal,100,lazy,1000000,100000,100000,64961,15,6,282,231,21,11,7,0.000060,0.000019,0.000047,0.000018,0.000144207,0,0.000107058,0.000251265,0.191267,0.348034,0.539552
0,normal,100,eager,1000000,100000,100000,64961,15,6,259,231,21,11,7,0.000068,0.000029,0.000061,0.000022,0.000179162,0,0.000101558,0.00028072,0.189317,0.348907,0.538505
1,normal,100,eager,1000000,100000,100000,64961,15,6,259,231,21,11,7,0.000067,0.000027,0.000063,0.000022,0.00017932,0,0.000105466,0.000284786,0.188513,0.349049,0.537846
2,normal,100,eager,1000000,100000,100000,64961,15,6,259,231,21,11,7,0.000068,0.000027,0.000060,0.000022,0.000177213,0,0.000100793,0.000278006,0.189812,0.383916,0.574006
3,normal,100,eager,1000000,100000,100000,64961,15,6,259,231,21,11,7,0.000068,0.000028,0.000063,0.000021,0.000179665,0,0.000102006,0.000281671,0.18831,0.383402,0.571993
4,normal,100,eager,1000000,100000,100000,64961,15,6,259,231,21,11,7,0.000068,0.000026,0.000059,0.000021,0.000174997,0,0.000101765,0.000276762,0.189548,0.350409,0.540234
0,normal,100,additional,1000000,100000,100000,64961,15,6,259,0,0,0,0,0,0,0,0,0,8.1557e-05,0.000102619,0.000184176,0.192115,0.354321,0.546563
1,normal,100,additional,1000000,100000,100000,64961,15,6,259,0,0,0,0,0,0,0,0,0,7.9269e-05,0.000104826,0.000184095,0.189223,0.350937,0.540289
2,normal,100,additional,1000000,100000,100000,64961,15,6,259,0,0,0,0,0,0,0,0,0,7.9459e-05,0.000104828,0.000184287,0.189143,0.350758,0.54003
3,normal,100,additional,1000000,100000,100000,64961,15,6,259,0,0,0,0,0,0,0,0,0,7.9222e-05,0.000120636,0.000199858,0.190006,0.350575,0.540731
4,normal,100,additional,1000000,100000,100000,64961,15,6,259,0,0,0,0,0,0,0,0,0,7.9928e-05,0.000103268,0.000183196,0.189834,0.352608,0.542569
0,normal,1000,lazy,1000000,100000,100000,62411,16,6,2626,2543,27,12,12,0.000476,0.000025,0.000065,0.000037,0.000602985,0,0.000836982,0.00143997,1.90008,0.357069,2.25859
1,normal,1000,lazy,1000000,100000,100000,62411,16,6,2626,2543,27,12,12,0.000506,0.000026,0.000066,0.000035,0.000633325,0,0.000797027,0.00143035,1.90002,0.356006,2.25745
2,normal,1000,lazy,1000000,100000,100000,62411,16,6,2626,2543,27,12,12,0.000480,0.000024,0.000098,0.000034,0.000636381,0,0.000828914,0.00146529,1.89997,0.356703,2.25814
3,normal,1000,lazy,1000000,100000,100000,62411,16,6,2626,2543,27,12,12,0.000461,0.000025,0.000064,0.000035,0.000585455,0,0.000807213,0.00139267,1.89497,0.355951,2.25231
4,normal,1000,lazy,1000000,100000,100000,62411,16,6,2626,2543,27,12,12,0.000471,0.000025,0.000065,0.000034,0.00059475,0,0.000813938,0.00140869,1.89671,0.379562,2.27768
0,normal,1000,eager,1000000,100000,100000,62411,16,6,2587,2543,27,12,12,0.000572,0.000039,0.000086,0.000045,0.000742302,0,0.000815341,0.00155764,1.88043,0.392174,2.27416
1,normal,1000,eager,1000000,100000,100000,62411,16,6,2587,2543,27,12,12,0.000585,0.000040,0.000087,0.000046,0.000758235,0,0.000822635,0.00158087,1.87228,0.355598,2.22946
2,normal,1000,eager,1000000,100000,100000,62411,16,6,2587,2543,27,12,12,0.000584,0.000041,0.000088,0.000045,0.00075831,0,0.000810823,0.00156913,1.87148,0.354858,2.22791
3,normal,1000,eager,1000000,100000,100000,62411,16,6,2587,2543,27,12,12,0.000563,0.000040,0.000087,0.000046,0.000736782,0,0.000813105,0.00154989,1.88182,0.356178,2.23955
4,normal,1000,eager,1000000,100000,100000,62411,16,6,2587,2543,27,12,12,0.000595,0.000041,0.000087,0.000045,0.000769406,0,0.000803849,0.00157325,1.87884,0.359818,2.24023
0,normal,1000,additional,1000000,100000,100000,62411,16,6,2587,0,0,0,0,0,0,0,0,0,0.00045384,0.000807229,0.00126107,1.8954,0.359344,2.25578
1,normal,1000,additional,1000000,100000,100000,62411,16,6,2587,0,0,0,0,0,0,0,0,0,0.000443454,0.000832511,0.00127597,1.88328,0.359339,2.24368
2,normal,1000,additional,1000000,100000,100000,62411,16,6,2587,0,0,0,0,0,0,0,0,0,0.000444091,0.000808535,0.00125263,1.89665,0.397365,2.29505
3,normal,1000,additional,1000000,100000,100000,62411,16,6,2587,0,0,0,0,0,0,0,0,0,0.000477691,0.00081122,0.00128891,1.88134,0.393453,2.27583
4,normal,1000,additional,1000000,100000,100000,62411,16,6,2587,0,0,0,0,0,0,0,0,0,0.000441859,0.000804377,0.00124624,1.88173,0.358757,2.24151
0,normal,10000,lazy,1000000,100000,100000,62497,16,6,25747,25664,32,12,17,0.004891,0.000031,0.000064,0.000158,0.00514356,0,0.00768564,0.0128292,18.8862,0.384293,19.2833
1,normal,10000,lazy,1000000,100000,100000,62497,16,6,25747,25664,32,12,17,0.001767,0.000028,0.000065,0.000068,0.00192847,0,0.00275186,0.00468032,18.9259,0.354129,19.2847
