iter,distribution,queries,strategy,avg,min,max,tree time,update time,additional time,results separation,query execution,total time
0,normal,10,lazy,75876,69762,100000,3.9132e-05,2.9214e-05,0,0.22238,0.0190039,0.241423
1,normal,10,lazy,75876,69762,100000,2.43e-05,1.7517e-05,0,0.22281,0.018959,0.241794
2,normal,10,lazy,75876,69762,100000,1.8829e-05,1.3876e-05,0,0.222132,0.0190068,0.241157
3,normal,10,lazy,75876,69762,100000,2.7802e-05,2.0003e-05,0,0.231527,0.019128,0.250683
4,normal,10,lazy,75876,69762,100000,1.118e-05,8.341e-06,0,0.228386,0.0191176,0.247515
0,normal,10,eager,75876,69762,100000,3.4437e-05,2.5931e-05,0,0.22338,0.0187427,0.242158
1,normal,10,eager,75876,69762,100000,9.612e-06,7.014e-06,0,0.219871,0.0186528,0.238534
2,normal,10,eager,75876,69762,100000,3.3143e-05,2.5184e-05,0,0.250189,0.0192435,0.269466
3,normal,10,eager,75876,69762,100000,1.9892e-05,1.4619e-05,0,0.227153,0.0187721,0.245945
4,normal,10,eager,75876,69762,100000,8.229e-06,5.833e-06,0,0.219841,0.0188334,0.238682
