iter,strategy,num queries,domain size,leaf size,range size,distribution,queries indexed,insert ops,transfer ops,share ops,merge ops,insert time,transfer time,share time,merge time,mapping time,tree time,total time
0,additional,1000,1000000,100000,100000,normal,2587,0,0,0,0,0,0,0,0,0.000112111,0.000162886,0.000321202
1,additional,1000,1000000,100000,100000,normal,2587,0,0,0,0,0,0,0,0,0.000115599,0.000162867,0.000324571
2,additional,1000,1000000,100000,100000,normal,2587,0,0,0,0,0,0,0,0,0.000111161,0.000163046,0.000320167
3,additional,1000,1000000,100000,100000,normal,2587,0,0,0,0,0,0,0,0,0.000110768,0.000160816,0.00031772
4,additional,1000,1000000,100000,100000,normal,2587,0,0,0,0,0,0,0,0,0.000109428,0.000162813,0.000318283
0,lazy,1000,1000000,100000,100000,normal,2626,2543,27,12,12,0.000112,0.000005,0.000013,0.000008,0.000138093,0.000165311,0.000303404
1,lazy,1000,1000000,100000,100000,normal,2626,2543,27,12,12,0.000111,0.000005,0.000013,0.000007,0.00013704,0.000166118,0.000303158
2,lazy,1000,1000000,100000,100000,normal,2626,2543,27,12,12,0.000112,0.000005,0.000013,0.000007,0.00013796,0.000165914,0.000303874
3,lazy,1000,1000000,100000,100000,normal,2626,2543,27,12,12,0.000155,0.000005,0.000013,0.000007,0.000180181,0.000166298,0.000346479
4,lazy,1000,1000000,100000,100000,normal,2626,2543,27,12,12,0.000112,0.000005,0.000013,0.000007,0.000136747,0.000165101,0.000301848
0,eager,1000,1000000,100000,100000,normal,2587,2543,27,12,12,0.000137,0.000009,0.000016,0.000009,0.000171387,0.00016373,0.000335117
1,eager,1000,1000000,100000,100000,normal,2587,2543,27,12,12,0.000150,0.000009,0.000017,0.000010,0.000186708,0.000177794,0.000364502
2,eager,1000,1000000,100000,100000,normal,2587,2543,27,12,12,0.000146,0.000009,0.000017,0.000010,0.000182961,0.000178616,0.000361577
3,eager,1000,1000000,100000,100000,normal,2587,2543,27,12,12,0.000148,0.000009,0.000017,0.000010,0.000184484,0.000177674,0.000362158
4,eager,1000,1000000,100000,100000,normal,2587,2543,27,12,12,0.000161,0.000010,0.000019,0.000011,0.000200789,0.000194737,0.000395526
0,additional,10000,1000000,100000,100000,normal,25708,0,0,0,0,0,0,0,0,0.001111,0.00196798,0.00364191
1,additional,10000,1000000,100000,100000,normal,25708,0,0,0,0,0,0,0,0,0.00133541,0.00227123,0.00427041
