iter,strategy,num queries,domain size,leaf size,range size,distribution,avg node length,# leaf nodes,max tree depth,queries indexed,insert ops,transfer ops,share ops,merge ops,insert time,transfer time,share time,merge time,mapping time,tree time,total time
0,additional,1000,1000000,100000,100000,normal,62411,16,6,2587,0,0,0,0,0,0,0,0,0.000137191,0.000168383,0.000305574
1,additional,1000,1000000,100000,100000,normal,62411,16,6,2587,0,0,0,0,0,0,0,0,0.000115173,0.000172771,0.000287944
2,additional,1000,1000000,100000,100000,normal,62411,16,6,2587,0,0,0,0,0,0,0,0,0.000115618,0.000169966,0.000285584
3,additional,1000,1000000,100000,100000,normal,62411,16,6,2587,0,0,0,0,0,0,0,0,0.000114556,0.000169941,0.000284497
4,additional,1000,1000000,100000,100000,normal,62411,16,6,2587,0,0,0,0,0,0,0,0,0.000113945,0.000169875,0.00028382
0,additional,10000,1000000,100000,100000,normal,62497,16,6,25708,0,0,0,0,0,0,0,0,0.000983434,0.00170766,0.0026911
1,additional,10000,1000000,100000,100000,normal,62497,16,6,25708,0,0,0,0,0,0,0,0,0.000910968,0.00167028,0.00258125
2,additional,10000,1000000,100000,100000,normal,62497,16,6,25708,0,0,0,0,0,0,0,0,0.000910788,0.0016439,0.00255469
3,additional,10000,1000000,100000,100000,normal,62497,16,6,25708,0,0,0,0,0,0,0,0,0.000890056,0.00166257,0.00255262
4,additional,10000,1000000,100000,100000,normal,62497,16,6,25708,0,0,0,0,0,0,0,0,0.000886063,0.0016577,0.00254376
0,additional,100000,1000000,100000,100000,normal,62498,16,6,257594,0,0,0,0,0,0,0,0,0.00996385,0.0196606,0.0296245
1,additional,100000,1000000,100000,100000,normal,62498,16,6,257594,0,0,0,0,0,0,0,0,0.00926711,0.0159295,0.0251966
2,additional,100000,1000000,100000,100000,normal,62498,16,6,257594,0,0,0,0,0,0,0,0,0.0107794,0.0157863,0.0265657
3,additional,100000,1000000,100000,100000,normal,62498,16,6,257594,0,0,0,0,0,0,0,0,0.0110396,0.0155791,0.0266188
4,additional,100000,1000000,100000,100000,normal,62498,16,6,257594,0,0,0,0,0,0,0,0,0.00938931,0.0157486,0.0251379
0,additional,1000000,1000000,100000,100000,normal,62499,16,6,2577938,0,0,0,0,0,0,0,0,0.0904007,0.15602,0.246421
1,additional,1000000,1000000,100000,100000,normal,62499,16,6,2577938,0,0,0,0,0,0,0,0,0.0903562,0.154805,0.245161
2,additional,1000000,1000000,100000,100000,normal,62499,16,6,2577938,0,0,0,0,0,0,0,0,0.092609,0.154668,0.247277
3,additional,1000000,1000000,100000,100000,normal,62499,16,6,2577938,0,0,0,0,0,0,0,0,0.0902991,0.154685,0.244984
4,additional,1000000,1000000,100000,100000,normal,62499,16,6,2577938,0,0,0,0,0,0,0,0,0.0935805,0.156886,0.250467
0,additional,10000000,1000000,100000,100000,normal,62499,16,6,25780741,0,0,0,0,0,0,0,0,0.912571,1.52923,2.4418
1,additional,10000000,1000000,100000,100000,normal,62499,16,6,25780741,0,0,0,0,0,0,0,0,0.917398,1.52062,2.43802
2,additional,10000000,1000000,100000,100000,normal,62499,16,6,25780741,0,0,0,0,0,0,0,0,0.9138,1.52659,2.44039
3,additional,10000000,1000000,100000,100000,normal,62499,16,6,25780741,0,0,0,0,0,0,0,0,0.914727,1.53732,2.45205
4,additional,10000000,1000000,100000,100000,normal,62499,16,6,25780741,0,0,0,0,0,0,0,0,0.916124,1.52718,2.44331
0,additional,100000000,1000000,100000,100000,normal,62499,16,6,257800689,0,0,0,0,0,0,0,0,11.1091,15.199,26.3081
1,additional,100000000,1000000,100000,100000,normal,62499,16,6,257800689,0,0,0,0,0,0,0,0,11.1309,15.5263,26.6571
2,additional,100000000,1000000,100000,100000,normal,62499,16,6,257800689,0,0,0,0,0,0,0,0,11.1886,15.2329,26.4215
3,additional,100000000,1000000,100000,100000,normal,62499,16,6,257800689,0,0,0,0,0,0,0,0,11.1365,15.1959,26.3325
4,additional,100000000,1000000,100000,100000,normal,62499,16,6,257800689,0,0,0,0,0,0,0,0,11.1072,15.3236,26.4308
