iter,strategy,num queries,domain size,leaf size,range size,distribution,avg node length,# leaf nodes,max tree depth,queries indexed,insert ops,transfer ops,share ops,merge ops,insert time,transfer time,share time,merge time,mapping time,tree time,total time
0,additional,100000,100000,10000,1000,normal,5882,17,6,116123,0,0,0,0,0,0,0,0,0.00858079,0.0101868,0.0215603
1,additional,100000,100000,10000,1000,normal,5882,17,6,116123,0,0,0,0,0,0,0,0,0.00890824,0.0101915,0.0218771
2,additional,100000,100000,10000,1000,normal,5882,17,6,116123,0,0,0,0,0,0,0,0,0.00849903,0.0101681,0.0214402
3,additional,100000,100000,10000,1000,normal,5882,17,6,116123,0,0,0,0,0,0,0,0,0.0086272,0.0102301,0.0216719
4,additional,100000,100000,10000,1000,normal,5882,17,6,116123,0,0,0,0,0,0,0,0,0.00868173,0.0105659,0.0220181
0,additional,100000,100000,10000,10000,normal,6666,15,6,248713,0,0,0,0,0,0,0,0,0.0102979,0.0148274,0.0296052
1,additional,100000,100000,10000,10000,normal,6666,15,6,248713,0,0,0,0,0,0,0,0,0.00916637,0.0147546,0.0283563
2,additional,100000,100000,10000,10000,normal,6666,15,6,248713,0,0,0,0,0,0,0,0,0.00916667,0.0148648,0.0284883
3,additional,100000,100000,10000,10000,normal,6666,15,6,248713,0,0,0,0,0,0,0,0,0.0091674,0.0150217,0.0286726
4,additional,100000,100000,10000,10000,normal,6666,15,6,248713,0,0,0,0,0,0,0,0,0.00978304,0.0147175,0.0289396
0,lazy,100000,100000,10000,1000,normal,5882,17,6,116191,116119,115,4,94,0.004223,0.000021,0.000012,0.000148,0.00440438,0.00750539,0.0119098
1,lazy,100000,100000,10000,1000,normal,5882,17,6,116191,116119,115,4,94,0.004427,0.000021,0.000010,0.000148,0.00460582,0.00766673,0.0122725
2,lazy,100000,100000,10000,1000,normal,5882,17,6,116191,116119,115,4,94,0.004233,0.000021,0.000011,0.000150,0.00441462,0.00763535,0.01205
3,lazy,100000,100000,10000,1000,normal,5882,17,6,116191,116119,115,4,94,0.004261,0.000020,0.000010,0.000148,0.00443976,0.007559,0.0119988
4,lazy,100000,100000,10000,1000,normal,5882,17,6,116191,116119,115,4,94,0.004349,0.000029,0.000010,0.000162,0.00454931,0.00771327,0.0122626
0,lazy,100000,100000,10000,10000,normal,6666,15,6,248723,248691,37,10,23,0.009655,0.000010,0.000006,0.000104,0.00977446,0.0144442,0.0242187
1,lazy,100000,100000,10000,10000,normal,6666,15,6,248723,248691,37,10,23,0.009863,0.000014,0.000008,0.000109,0.00999275,0.0147035,0.0246963
2,lazy,100000,100000,10000,10000,normal,6666,15,6,248723,248691,37,10,23,0.009947,0.000009,0.000006,0.000103,0.0100652,0.0147333,0.0247985
3,lazy,100000,100000,10000,10000,normal,6666,15,6,248723,248691,37,10,23,0.009708,0.000009,0.000006,0.000104,0.00982721,0.0145578,0.024385
4,lazy,100000,100000,10000,10000,normal,6666,15,6,248723,248691,37,10,23,0.009845,0.000010,0.000007,0.000107,0.00997027,0.0148314,0.0248016
0,eager,100000,100000,10000,1000,normal,5882,17,6,116124,116119,115,4,94,0.005644,0.000296,0.000015,0.000432,0.0063869,0.00809498,0.0144819
1,eager,100000,100000,10000,1000,normal,5882,17,6,116124,116119,115,4,94,0.005049,0.000188,0.000015,0.000344,0.00559599,0.00784533,0.0134413
2,eager,100000,100000,10000,1000,normal,5882,17,6,116124,116119,115,4,94,0.005390,0.000165,0.000015,0.000330,0.00589948,0.00771595,0.0136154
3,eager,100000,100000,10000,1000,normal,5882,17,6,116124,116119,115,4,94,0.005117,0.000187,0.000015,0.000332,0.00565095,0.0078157,0.0134667
4,eager,100000,100000,10000,1000,normal,5882,17,6,116124,116119,115,4,94,0.005145,0.000166,0.000015,0.000330,0.00565653,0.00788634,0.0135429
0,eager,100000,100000,10000,10000,normal,6666,15,6,248713,248691,37,10,23,0.011825,0.000183,0.000010,0.000233,0.0122519,0.0147756,0.0270275
1,eager,100000,100000,10000,10000,normal,6666,15,6,248713,248691,37,10,23,0.012276,0.000153,0.000008,0.000270,0.0127073,0.0150639,0.0277712
2,eager,100000,100000,10000,10000,normal,6666,15,6,248713,248691,37,10,23,0.012418,0.000123,0.000008,0.000227,0.0127757,0.0147235,0.0274992
3,eager,100000,100000,10000,10000,normal,6666,15,6,248713,248691,37,10,23,0.011722,0.000124,0.000008,0.000230,0.0120839,0.0148956,0.0269796
4,eager,100000,100000,10000,10000,normal,6666,15,6,248713,248691,37,10,23,0.011777,0.000142,0.000008,0.000223,0.0121503,0.0147043,0.0268546
