iter,strategy,num queries,domain size,leaf size,range size,distribution,avg node length,# leaf nodes,max tree depth,queries indexed,insert ops,transfer ops,share ops,merge ops,insert time,transfer time,share time,merge time,mapping time,tree time,total time
0,additional,10000,1000000,100000,100000,normal,62497,16,6,25708,0,0,0,0,0,0,0,0,0.000867035,0.00158926,0.0024563
1,additional,10000,1000000,100000,100000,normal,62497,16,6,25708,0,0,0,0,0,0,0,0,0.000856225,0.00159026,0.00244648
2,additional,10000,1000000,100000,100000,normal,62497,16,6,25708,0,0,0,0,0,0,0,0,0.000842873,0.00156119,0.00240406
3,additional,10000,1000000,100000,100000,normal,62497,16,6,25708,0,0,0,0,0,0,0,0,0.000880606,0.00156167,0.00244228
4,additional,10000,1000000,100000,100000,normal,62497,16,6,25708,0,0,0,0,0,0,0,0,0.000832407,0.00157867,0.00241108
0,additional,10000,1000000,250000,100000,normal,199992,5,3,14425,0,0,0,0,0,0,0,0,0.00061583,0.000795146,0.00141098
1,additional,10000,1000000,250000,100000,normal,199992,5,3,14425,0,0,0,0,0,0,0,0,0.000594076,0.000790619,0.00138469
2,additional,10000,1000000,250000,100000,normal,199992,5,3,14425,0,0,0,0,0,0,0,0,0.000574265,0.00079073,0.00136499
3,additional,10000,1000000,250000,100000,normal,199992,5,3,14425,0,0,0,0,0,0,0,0,0.000608536,0.000807308,0.00141584
4,additional,10000,1000000,250000,100000,normal,199992,5,3,14425,0,0,0,0,0,0,0,0,0.000583229,0.000788682,0.00137191
0,additional,10000,1000000,500000,100000,normal,333320,3,2,12285,0,0,0,0,0,0,0,0,0.000514564,0.000638979,0.00115354
1,additional,10000,1000000,500000,100000,normal,333320,3,2,12285,0,0,0,0,0,0,0,0,0.00058023,0.000697642,0.00127787
2,additional,10000,1000000,500000,100000,normal,333320,3,2,12285,0,0,0,0,0,0,0,0,0.000562451,0.000709349,0.0012718
3,additional,10000,1000000,500000,100000,normal,333320,3,2,12285,0,0,0,0,0,0,0,0,0.000563591,0.000698481,0.00126207
4,additional,10000,1000000,500000,100000,normal,333320,3,2,12285,0,0,0,0,0,0,0,0,0.000569954,0.000705927,0.00127588
0,additional,10000,1000000,750000,100000,normal,499981,2,1,11125,0,0,0,0,0,0,0,0,0.000493117,0.000584621,0.00107774
1,additional,10000,1000000,750000,100000,normal,499981,2,1,11125,0,0,0,0,0,0,0,0,0.000535717,0.000635921,0.00117164
2,additional,10000,1000000,750000,100000,normal,499981,2,1,11125,0,0,0,0,0,0,0,0,0.000529404,0.000637953,0.00116736
3,additional,10000,1000000,750000,100000,normal,499981,2,1,11125,0,0,0,0,0,0,0,0,0.000594876,0.000705596,0.00130047
4,additional,10000,1000000,750000,100000,normal,499981,2,1,11125,0,0,0,0,0,0,0,0,0.000694541,0.000775764,0.00147031
0,additional,10000,1000000,1000000,100000,normal,999962,1,0,10000,0,0,0,0,0,0,0,0,0.000641134,0.000611729,0.00125286
1,additional,10000,1000000,1000000,100000,normal,999962,1,0,10000,0,0,0,0,0,0,0,0,0.000718857,0.000630896,0.00134975
2,additional,10000,1000000,1000000,100000,normal,999962,1,0,10000,0,0,0,0,0,0,0,0,0.000770785,0.000697479,0.00146826
3,additional,10000,1000000,1000000,100000,normal,999962,1,0,10000,0,0,0,0,0,0,0,0,0.000734839,0.000690998,0.00142584
4,additional,10000,1000000,1000000,100000,normal,999962,1,0,10000,0,0,0,0,0,0,0,0,0.000769458,0.000706345,0.0014758
0,lazy,10000,1000000,100000,100000,normal,62497,16,6,25747,25664,32,12,17,0.001615,0.000011,0.000020,0.000060,0.00170591,0.00255475,0.00426066
1,lazy,10000,1000000,100000,100000,normal,62497,16,6,25747,25664,32,12,17,0.001841,0.000012,0.000025,0.000068,0.00194665,0.00292542,0.00487207
2,lazy,10000,1000000,100000,100000,normal,62497,16,6,25747,25664,32,12,17,0.001846,0.000012,0.000025,0.000068,0.0019508,0.00290827,0.00485907
3,lazy,10000,1000000,100000,100000,normal,62497,16,6,25747,25664,32,12,17,0.001862,0.000012,0.000026,0.000068,0.00196782,0.00288789,0.00485571
4,lazy,10000,1000000,100000,100000,normal,62497,16,6,25747,25664,32,12,17,0.001909,0.000013,0.000022,0.000069,0.00201365,0.00299304,0.00500669
0,lazy,10000,1000000,250000,100000,normal,199992,5,3,14427,14422,32,1,28,0.000999,0.000024,0.000002,0.000204,0.00122917,0.0015186,0.00274777
1,lazy,10000,1000000,250000,100000,normal,199992,5,3,14427,14422,32,1,28,0.001006,0.000024,0.000002,0.000204,0.00123597,0.00149067,0.00272664
2,lazy,10000,1000000,250000,100000,normal,199992,5,3,14427,14422,32,1,28,0.001012,0.000024,0.000002,0.000199,0.00123728,0.00149162,0.00272891
3,lazy,10000,1000000,250000,100000,normal,199992,5,3,14427,14422,32,1,28,0.001006,0.000024,0.000002,0.000200,0.00123237,0.00149703,0.0027294
4,lazy,10000,1000000,250000,100000,normal,199992,5,3,14427,14422,32,1,28,0.001167,0.000028,0.000003,0.000232,0.00142911,0.00173032,0.00315943
0,lazy,10000,1000000,500000,100000,normal,333320,3,2,12296,12282,29,1,27,0.000938,0.000036,0.000006,0.000311,0.00129109,0.00146721,0.0027583
1,lazy,10000,1000000,500000,100000,normal,333320,3,2,12296,12282,29,1,27,0.000912,0.000035,0.000006,0.000309,0.00126177,0.00140452,0.00266629
2,lazy,10000,1000000,500000,100000,normal,333320,3,2,12296,12282,29,1,27,0.000890,0.000033,0.000005,0.000311,0.00123999,0.0013965,0.0026365
3,lazy,10000,1000000,500000,100000,normal,333320,3,2,12296,12282,29,1,27,0.000893,0.000033,0.000005,0.000306,0.00123744,0.00141895,0.00265639
4,lazy,10000,1000000,500000,100000,normal,333320,3,2,12296,12282,29,1,27,0.000900,0.000034,0.000009,0.000302,0.00124503,0.00143107,0.0026761
0,lazy,10000,1000000,750000,100000,normal,499981,2,1,11125,11125,29,0,28,0.000788,0.000052,0.000000,0.000526,0.00136725,0.00117788,0.00254513
1,lazy,10000,1000000,750000,100000,normal,499981,2,1,11125,11125,29,0,28,0.000791,0.000054,0.000000,0.000518,0.00136213,0.00117615,0.00253829
2,lazy,10000,1000000,750000,100000,normal,499981,2,1,11125,11125,29,0,28,0.000793,0.000055,0.000000,0.000520,0.00136773,0.0012214,0.00258913
3,lazy,10000,1000000,750000,100000,normal,499981,2,1,11125,11125,29,0,28,0.000789,0.000052,0.000000,0.000517,0.00135836,0.00117762,0.00253598
4,lazy,10000,1000000,750000,100000,normal,499981,2,1,11125,11125,29,0,28,0.000791,0.000052,0.000000,0.000515,0.00135806,0.00118543,0.0025435
0,lazy,10000,1000000,1000000,100000,normal,999962,1,0,10000,10000,18,0,18,0.000826,0.000124,0.000000,0.000931,0.00188162,0.000924126,0.00280575
1,lazy,10000,1000000,1000000,100000,normal,999962,1,0,10000,10000,18,0,18,0.000814,0.000124,0.000000,0.000933,0.00187036,0.000919127,0.00278949
2,lazy,10000,1000000,1000000,100000,normal,999962,1,0,10000,10000,18,0,18,0.000814,0.000125,0.000000,0.000939,0.00187729,0.000927008,0.0028043
3,lazy,10000,1000000,1000000,100000,normal,999962,1,0,10000,10000,18,0,18,0.000847,0.000132,0.000000,0.000966,0.00194494,0.000942185,0.00288712
4,lazy,10000,1000000,1000000,100000,normal,999962,1,0,10000,10000,18,0,18,0.000842,0.000130,0.000000,0.000951,0.00192313,0.000957036,0.00288017
0,eager,10000,1000000,100000,100000,normal,62497,16,6,25708,25664,32,12,17,0.002590,0.000075,0.000034,0.000134,0.00283219,0.00338247,0.00621465
1,eager,10000,1000000,100000,100000,normal,62497,16,6,25708,25664,32,12,17,0.002464,0.000069,0.000035,0.000113,0.00268048,0.00332774,0.00600822
2,eager,10000,1000000,100000,100000,normal,62497,16,6,25708,25664,32,12,17,0.002103,0.000061,0.000027,0.000105,0.00229712,0.00275578,0.0050529
3,eager,10000,1000000,100000,100000,normal,62497,16,6,25708,25664,32,12,17,0.002217,0.000073,0.000028,0.000109,0.0024271,0.00285104,0.00527813
4,eager,10000,1000000,100000,100000,normal,62497,16,6,25708,25664,32,12,17,0.002099,0.000061,0.000028,0.000106,0.00229376,0.00276366,0.00505742
0,eager,10000,1000000,250000,100000,normal,199992,5,3,14425,14422,32,1,28,0.001353,0.000296,0.000003,0.000589,0.00224128,0.00159548,0.00383676
1,eager,10000,1000000,250000,100000,normal,199992,5,3,14425,14422,32,1,28,0.001661,0.000361,0.000004,0.000699,0.00272509,0.00194603,0.00467112
2,eager,10000,1000000,250000,100000,normal,199992,5,3,14425,14422,32,1,28,0.001651,0.000364,0.000004,0.000706,0.00272481,0.00194684,0.00467166
3,eager,10000,1000000,250000,100000,normal,199992,5,3,14425,14422,32,1,28,0.001772,0.000379,0.000004,0.000713,0.00286703,0.00199287,0.00485989
4,eager,10000,1000000,250000,100000,normal,199992,5,3,14425,14422,32,1,28,0.001648,0.000363,0.000004,0.000699,0.00271443,0.00197919,0.00469362
0,eager,10000,1000000,500000,100000,normal,333320,3,2,12285,12282,29,1,27,0.001376,0.000518,0.000008,0.000885,0.00278706,0.00157786,0.00436492
1,eager,10000,1000000,500000,100000,normal,333320,3,2,12285,12282,29,1,27,0.001383,0.000520,0.000008,0.000883,0.00279426,0.00157141,0.00436567
2,eager,10000,1000000,500000,100000,normal,333320,3,2,12285,12282,29,1,27,0.001396,0.000522,0.000008,0.000885,0.00281119,0.00158717,0.00439836
3,eager,10000,1000000,500000,100000,normal,333320,3,2,12285,12282,29,1,27,0.001441,0.000524,0.000009,0.000880,0.00285348,0.00157411,0.00442759
4,eager,10000,1000000,500000,100000,normal,333320,3,2,12285,12282,29,1,27,0.001383,0.000520,0.000008,0.000894,0.00280558,0.00157064,0.00437622
0,eager,10000,1000000,750000,100000,normal,499981,2,1,11125,11125,29,0,28,0.001165,0.000952,0.000000,0.001766,0.00388357,0.00131898,0.00520255
1,eager,10000,1000000,750000,100000,normal,499981,2,1,11125,11125,29,0,28,0.001175,0.000952,0.000000,0.001767,0.00389358,0.00132027,0.00521385
2,eager,10000,1000000,750000,100000,normal,499981,2,1,11125,11125,29,0,28,0.001173,0.000967,0.000000,0.001815,0.00395475,0.00136037,0.00531511
3,eager,10000,1000000,750000,100000,normal,499981,2,1,11125,11125,29,0,28,0.001232,0.000966,0.000000,0.001752,0.00394886,0.0013676,0.00531646
4,eager,10000,1000000,750000,100000,normal,499981,2,1,11125,11125,29,0,28,0.001158,0.000964,0.000000,0.001764,0.00388586,0.00132356,0.00520943
0,eager,10000,1000000,1000000,100000,normal,999962,1,0,10000,10000,18,0,18,0.001545,0.001218,0.000000,0.002891,0.00565321,0.00103877,0.00669198
1,eager,10000,1000000,1000000,100000,normal,999962,1,0,10000,10000,18,0,18,0.001576,0.001219,0.000000,0.002978,0.00577262,0.00103643,0.00680905
2,eager,10000,1000000,1000000,100000,normal,999962,1,0,10000,10000,18,0,18,0.001572,0.001300,0.000000,0.002939,0.00581044,0.00112237,0.00693281
3,eager,10000,1000000,1000000,100000,normal,999962,1,0,10000,10000,18,0,18,0.001564,0.001215,0.000000,0.002885,0.00566471,0.00103662,0.00670133
4,eager,10000,1000000,1000000,100000,normal,999962,1,0,10000,10000,18,0,18,0.001531,0.001210,0.000000,0.002879,0.00561994,0.00103566,0.00665561
