iter,distribution,num queries,strategy,domain,leaf size,range size,avg node range,num leafs,tree depth,tree building,query mapping,post filtering,db execution,total time
0,zipf,10,lazy,1000000,100000,100000,69384,3,2,1.0253e-05,3.0858e-05,0.0184316,0.110613,0.129086
1,zipf,10,lazy,1000000,100000,100000,69384,3,2,1.1799e-05,3.0959e-05,0.0175188,0.0803027,0.0978642
2,zipf,10,lazy,1000000,100000,100000,69384,3,2,1.1495e-05,3.0676e-05,0.0185211,0.111474,0.130038
3,zipf,10,lazy,1000000,100000,100000,69384,3,2,1.0366e-05,3.2036e-05,0.0183589,0.109838,0.128239
4,zipf,10,lazy,1000000,100000,100000,69384,3,2,1.1477e-05,3.1763e-05,0.0171259,0.0769981,0.0941673
0,zipf,10,eager,1000000,100000,100000,69384,3,2,1.0146e-05,3.8402e-05,0.0172264,0.0760609,0.0933358
1,zipf,10,eager,1000000,100000,100000,69384,3,2,1.0845e-05,3.764e-05,0.0184563,0.108649,0.127154
2,zipf,10,eager,1000000,100000,100000,69384,3,2,1.1205e-05,3.6056e-05,0.0174123,0.0771686,0.0946282
3,zipf,10,eager,1000000,100000,100000,69384,3,2,1.0129e-05,3.6485e-05,0.0175212,0.0765228,0.0940906
4,zipf,10,eager,1000000,100000,100000,69384,3,2,1.1035e-05,3.736e-05,0.0175354,0.0773281,0.0949119
0,zipf,10,additional,1000000,100000,100000,69384,3,2,9.795e-06,1.4089e-05,0.0171831,0.0763252,0.0935322
1,zipf,10,additional,1000000,100000,100000,69384,3,2,1.0514e-05,1.2974e-05,0.0176541,0.0773139,0.0949915
2,zipf,10,additional,1000000,100000,100000,69384,3,2,1.0314e-05,1.3308e-05,0.0195226,0.11373,0.133276
3,zipf,10,additional,1000000,100000,100000,69384,3,2,1.0592e-05,1.3627e-05,0.0178422,0.0778771,0.0957435
4,zipf,10,additional,1000000,100000,100000,69384,3,2,1.0365e-05,1.476e-05,0.0185966,0.110076,0.128698
0,zipf,100,lazy,1000000,100000,100000,73328,10,6,6.8114e-05,0.000118781,0.171591,0.265473,0.437251
1,zipf,100,lazy,1000000,100000,100000,73328,10,6,6.8506e-05,0.000118704,0.172605,0.266644,0.439436
2,zipf,100,lazy,1000000,100000,100000,73328,10,6,6.5761e-05,0.000118634,0.172497,0.266487,0.439169
3,zipf,100,lazy,1000000,100000,100000,73328,10,6,6.7754e-05,0.000118355,0.173104,0.301549,0.474839
4,zipf,100,lazy,1000000,100000,100000,73328,10,6,6.7078e-05,0.000121146,0.174441,0.265407,0.440037
0,zipf,100,eager,1000000,100000,100000,73328,10,6,6.5588e-05,0.000145562,0.173261,0.295446,0.468917
1,zipf,100,eager,1000000,100000,100000,73328,10,6,6.768e-05,0.000148463,0.175996,0.267794,0.444006
2,zipf,100,eager,1000000,100000,100000,73328,10,6,6.5861e-05,0.000148766,0.173806,0.266681,0.440701
3,zipf,100,eager,1000000,100000,100000,73328,10,6,6.5715e-05,0.000146369,0.175317,0.264957,0.440486
4,zipf,100,eager,1000000,100000,100000,73328,10,6,6.6328e-05,0.000148477,0.174204,0.266971,0.44139
0,zipf,100,additional,1000000,100000,100000,73328,10,6,6.494e-05,4.985e-05,0.177373,0.266172,0.44366
1,zipf,100,additional,1000000,100000,100000,73328,10,6,6.4504e-05,4.9574e-05,0.176172,0.267711,0.443997
2,zipf,100,additional,1000000,100000,100000,73328,10,6,6.4577e-05,5.0543e-05,0.175362,0.264937,0.440414
3,zipf,100,additional,1000000,100000,100000,73328,10,6,6.4635e-05,5.1479e-05,0.178531,0.266095,0.444743
