iter,distribution,num queries,strategy,domain,leaf size,range size,num leafs,avg,min,max,tree time,update time,additional time,results separation,query execution,total time
0,normal,10,lazy,1000000,100000,100000,8,75876,69762,100000,8.21e-06,5.843e-06,0,0.0192438,0.224705,0.243957
1,normal,10,lazy,1000000,100000,100000,8,75876,69762,100000,8.849e-06,6.27e-06,0,0.0192081,0.222839,0.242056
2,normal,10,lazy,1000000,100000,100000,8,75876,69762,100000,2.7577e-05,2.0772e-05,0,0.0192954,0.225173,0.244496
3,normal,10,lazy,1000000,100000,100000,8,75876,69762,100000,7.77e-06,5.748e-06,0,0.0191276,0.22325,0.242385
4,normal,10,lazy,1000000,100000,100000,8,75876,69762,100000,8.555e-06,6.199e-06,0,0.0194617,0.225467,0.244938
0,normal,10,eager,1000000,100000,100000,8,75876,69762,100000,1.8479e-05,1.3444e-05,0,0.0192955,0.227203,0.246517
1,normal,10,eager,1000000,100000,100000,8,75876,69762,100000,8.672e-06,5.893e-06,0,0.0201738,0.225779,0.245962
2,normal,10,eager,1000000,100000,100000,8,75876,69762,100000,1.1636e-05,8.726e-06,0,0.0192954,0.224461,0.243768
3,normal,10,eager,1000000,100000,100000,8,75876,69762,100000,1.8237e-05,1.3131e-05,0,0.0195397,0.235608,0.255166
4,normal,10,eager,1000000,100000,100000,8,75876,69762,100000,1.8862e-05,1.3584e-05,0,0.018934,0.226074,0.245027
0,normal,10,additional,1000000,100000,100000,8,75876,69762,100000,2.94e-06,1.198e-06,4.339e-06,0.0169297,0.227046,0.243979
1,normal,10,additional,1000000,100000,100000,8,75876,69762,100000,3.144e-06,1.089e-06,3.959e-06,0.0167857,0.229315,0.246104
2,normal,10,additional,1000000,100000,100000,8,75876,69762,100000,6.556e-06,2.508e-06,8.352e-06,0.0166253,0.228198,0.24483
3,normal,10,additional,1000000,100000,100000,8,75876,69762,100000,7.976e-06,3.094e-06,1.0435e-05,0.0167,0.230782,0.24749
4,normal,10,additional,1000000,100000,100000,8,75876,69762,100000,8.175e-06,3.204e-06,1.0319e-05,0.0171571,0.240386,0.257551
0,normal,100,lazy,1000000,100000,100000,15,64961,28305,96372,0.000118399,6.281e-05,0,0.183788,0.379974,0.56388
1,normal,100,lazy,1000000,100000,100000,15,64961,28305,96372,0.000100478,5.3308e-05,0,0.183794,0.357024,0.540919
2,normal,100,lazy,1000000,100000,100000,15,64961,28305,96372,7.3232e-05,2.3345e-05,0,0.182907,0.354161,0.537141
3,normal,100,lazy,1000000,100000,100000,15,64961,28305,96372,9.383e-05,5.0701e-05,0,0.183455,0.356779,0.540327
4,normal,100,lazy,1000000,100000,100000,15,64961,28305,96372,9.0719e-05,4.8486e-05,0,0.182877,0.360827,0.543795
0,normal,100,eager,1000000,100000,100000,15,64961,28305,96372,0.000114326,6.1729e-05,0,0.187341,0.368822,0.556277
1,normal,100,eager,1000000,100000,100000,15,64961,28305,96372,0.000120006,6.5674e-05,0,0.186423,0.356585,0.543128
2,normal,100,eager,1000000,100000,100000,15,64961,28305,96372,0.000116119,6.2432e-05,0,0.186106,0.357913,0.544135
