iter,strategy,num queries,domain size,leaf size,range size,distribution,avg node length,# leaf nodes,max tree depth,queries indexed,insert ops,transfer ops,share ops,merge ops,insert time,transfer time,share time,merge time,mapping time,tree time,total time
0,additional,1000000,1000000,100000,1000,normal,66666,15,5,1013935,0,0,0,0,0,0,0,0,0.0571352,0.0660136,0.123149
1,additional,1000000,1000000,100000,1000,normal,66666,15,5,1013935,0,0,0,0,0,0,0,0,0.0571041,0.0650256,0.12213
2,additional,1000000,1000000,100000,1000,normal,66666,15,5,1013935,0,0,0,0,0,0,0,0,0.0571293,0.0660501,0.123179
3,additional,1000000,1000000,100000,1000,normal,66666,15,5,1013935,0,0,0,0,0,0,0,0,0.0583212,0.0670489,0.12537
4,additional,1000000,1000000,100000,1000,normal,66666,15,5,1013935,0,0,0,0,0,0,0,0,0.0570814,0.0658265,0.122908
0,additional,1000000,1000000,100000,10000,normal,62664,16,5,1151451,0,0,0,0,0,0,0,0,0.0617757,0.0738666,0.135642
1,additional,1000000,1000000,100000,10000,normal,62664,16,5,1151451,0,0,0,0,0,0,0,0,0.0625236,0.0749067,0.13743
2,additional,1000000,1000000,100000,10000,normal,62664,16,5,1151451,0,0,0,0,0,0,0,0,0.0620911,0.0763772,0.138468
3,additional,1000000,1000000,100000,10000,normal,62664,16,5,1151451,0,0,0,0,0,0,0,0,0.0608943,0.0757556,0.13665
4,additional,1000000,1000000,100000,10000,normal,62664,16,5,1151451,0,0,0,0,0,0,0,0,0.0610025,0.0737052,0.134708
0,lazy,1000000,1000000,100000,1000,normal,66666,15,5,1013939,1013939,233,0,167,0.036152,0.000048,0.000000,0.000453,0.0366527,0.0661895,0.102842
1,lazy,1000000,1000000,100000,1000,normal,66666,15,5,1013939,1013939,233,0,167,0.036023,0.000047,0.000000,0.000452,0.0365225,0.0668429,0.103365
2,lazy,1000000,1000000,100000,1000,normal,66666,15,5,1013939,1013939,233,0,167,0.036123,0.000047,0.000000,0.000456,0.0366265,0.0662514,0.102878
3,lazy,1000000,1000000,100000,1000,normal,66666,15,5,1013939,1013939,233,0,167,0.035641,0.000052,0.000000,0.000482,0.0361758,0.0652698,0.101446
4,lazy,1000000,1000000,100000,1000,normal,66666,15,5,1013939,1013939,233,0,167,0.035952,0.000054,0.000000,0.000453,0.0364591,0.0669803,0.103439
0,lazy,1000000,1000000,100000,10000,normal,62664,16,5,1151491,1151430,134,2,116,0.042986,0.000085,0.000008,0.001679,0.0447584,0.0750551,0.119814
1,lazy,1000000,1000000,100000,10000,normal,62664,16,5,1151491,1151430,134,2,116,0.042885,0.000091,0.000011,0.001694,0.0446799,0.0751863,0.119866
2,lazy,1000000,1000000,100000,10000,normal,62664,16,5,1151491,1151430,134,2,116,0.042906,0.000085,0.000008,0.001666,0.0446642,0.0748356,0.1195
3,lazy,1000000,1000000,100000,10000,normal,62664,16,5,1151491,1151430,134,2,116,0.042981,0.000084,0.000008,0.001697,0.04477,0.0751521,0.119922
4,lazy,1000000,1000000,100000,10000,normal,62664,16,5,1151491,1151430,134,2,116,0.042862,0.000083,0.000010,0.001679,0.0446349,0.0748043,0.119439
0,eager,1000000,1000000,100000,1000,normal,66666,15,5,1013939,1013939,233,0,167,0.045942,0.000681,0.000000,0.001108,0.0477319,0.0666913,0.114423
1,eager,1000000,1000000,100000,1000,normal,66666,15,5,1013939,1013939,233,0,167,0.046020,0.000655,0.000000,0.001073,0.0477485,0.0660298,0.113778
2,eager,1000000,1000000,100000,1000,normal,66666,15,5,1013939,1013939,233,0,167,0.046081,0.000682,0.000000,0.001148,0.0479118,0.0666265,0.114538
3,eager,1000000,1000000,100000,1000,normal,66666,15,5,1013939,1013939,233,0,167,0.045869,0.000662,0.000000,0.001094,0.047624,0.0666845,0.114309
4,eager,1000000,1000000,100000,1000,normal,66666,15,5,1013939,1013939,233,0,167,0.045993,0.000662,0.000000,0.001086,0.0477406,0.0669777,0.114718
0,eager,1000000,1000000,100000,10000,normal,62664,16,5,1151436,1151430,134,2,116,0.053366,0.003066,0.000013,0.004603,0.0610479,0.0751873,0.136235
1,eager,1000000,1000000,100000,10000,normal,62664,16,5,1151436,1151430,134,2,116,0.053719,0.003172,0.000013,0.004700,0.061603,0.0753719,0.136975
2,eager,1000000,1000000,100000,10000,normal,62664,16,5,1151436,1151430,134,2,116,0.053506,0.003082,0.000012,0.004673,0.0612737,0.0758211,0.137095
3,eager,1000000,1000000,100000,10000,normal,62664,16,5,1151436,1151430,134,2,116,0.053229,0.003081,0.000013,0.004601,0.0609244,0.0757094,0.136634
4,eager,1000000,1000000,100000,10000,normal,62664,16,5,1151436,1151430,134,2,116,0.053264,0.003031,0.000012,0.004574,0.060881,0.0756953,0.136576
