iter,strategy,num queries,domain size,leaf size,range size,distribution,avg node length,# leaf nodes,max tree depth,queries indexed,insert ops,transfer ops,share ops,merge ops,insert time,transfer time,share time,merge time,mapping time,tree time,total time
0,additional,1000,1000000,100000,100000,normal,62411,16,6,2587,0,0,0,0,0,0,0,0,0.000153352,0.00022591,0.000379262
1,additional,1000,1000000,100000,100000,normal,62411,16,6,2587,0,0,0,0,0,0,0,0,0.000151945,0.000226244,0.000378189
2,additional,1000,1000000,100000,100000,normal,62411,16,6,2587,0,0,0,0,0,0,0,0,0.000150942,0.000225044,0.000375986
3,additional,1000,1000000,100000,100000,normal,62411,16,6,2587,0,0,0,0,0,0,0,0,0.000149428,0.000223659,0.000373087
4,additional,1000,1000000,100000,100000,normal,62411,16,6,2587,0,0,0,0,0,0,0,0,0.000153563,0.000225511,0.000379074
0,additional,1000,1000000,250000,100000,normal,199718,5,3,1466,0,0,0,0,0,0,0,0,9.7854e-05,0.000117643,0.000215497
1,additional,1000,1000000,250000,100000,normal,199718,5,3,1466,0,0,0,0,0,0,0,0,9.8255e-05,0.00011768,0.000215935
2,additional,1000,1000000,250000,100000,normal,199718,5,3,1466,0,0,0,0,0,0,0,0,9.7494e-05,0.000116901,0.000214395
3,additional,1000,1000000,250000,100000,normal,199718,5,3,1466,0,0,0,0,0,0,0,0,9.7745e-05,0.000118536,0.000216281
4,additional,1000,1000000,250000,100000,normal,199718,5,3,1466,0,0,0,0,0,0,0,0,9.9162e-05,0.000117502,0.000216664
0,additional,1000,1000000,500000,100000,normal,332863,3,2,1213,0,0,0,0,0,0,0,0,8.2162e-05,9.5075e-05,0.000177237
1,additional,1000,1000000,500000,100000,normal,332863,3,2,1213,0,0,0,0,0,0,0,0,8.0423e-05,9.308e-05,0.000173503
2,additional,1000,1000000,500000,100000,normal,332863,3,2,1213,0,0,0,0,0,0,0,0,0.000101373,0.000103993,0.000205366
3,additional,1000,1000000,500000,100000,normal,332863,3,2,1213,0,0,0,0,0,0,0,0,9.1219e-05,0.000104557,0.000195776
4,additional,1000,1000000,500000,100000,normal,332863,3,2,1213,0,0,0,0,0,0,0,0,9.1443e-05,0.00010334,0.000194783
0,additional,1000,1000000,750000,100000,normal,499295,2,1,1095,0,0,0,0,0,0,0,0,8.4339e-05,8.7994e-05,0.000172333
1,additional,1000,1000000,750000,100000,normal,499295,2,1,1095,0,0,0,0,0,0,0,0,8.6469e-05,8.9441e-05,0.00017591
2,additional,1000,1000000,750000,100000,normal,499295,2,1,1095,0,0,0,0,0,0,0,0,8.4562e-05,8.898e-05,0.000173542
3,additional,1000,1000000,750000,100000,normal,499295,2,1,1095,0,0,0,0,0,0,0,0,8.3663e-05,8.7555e-05,0.000171218
4,additional,1000,1000000,750000,100000,normal,499295,2,1,1095,0,0,0,0,0,0,0,0,9.5412e-05,9.8658e-05,0.00019407
0,additional,1000,1000000,1000000,100000,normal,998590,1,0,1000,0,0,0,0,0,0,0,0,7.4064e-05,7.8118e-05,0.000152182
1,additional,1000,1000000,1000000,100000,normal,998590,1,0,1000,0,0,0,0,0,0,0,0,8.5537e-05,9.0561e-05,0.000176098
2,additional,1000,1000000,1000000,100000,normal,998590,1,0,1000,0,0,0,0,0,0,0,0,8.551e-05,0.000104845,0.000190355
3,additional,1000,1000000,1000000,100000,normal,998590,1,0,1000,0,0,0,0,0,0,0,0,8.5564e-05,9.0829e-05,0.000176393
4,additional,1000,1000000,1000000,100000,normal,998590,1,0,1000,0,0,0,0,0,0,0,0,8.6136e-05,9.1547e-05,0.000177683
0,lazy,1000,1000000,100000,100000,normal,62411,16,6,2626,2543,27,12,12,0.000231,0.000010,0.000030,0.000015,0.000286678,0.000343423,0.000630101
1,lazy,1000,1000000,100000,100000,normal,62411,16,6,2626,2543,27,12,12,0.000228,0.000010,0.000027,0.000015,0.000279983,0.000337205,0.000617188
